id,text,party,country,region,from_user_realname,ground_truth,country_code,firstname,gender,genderprob
ideology_tweets_48,.@ArminLaschet bei #Triell: Innovationen zum #Klimaschutz bekommen wir nicht durch Verbote und Steuererhöhungen.,CDU,GERMANY,,Heribert Hirte,right,DE,Heribert Hirte,male,1.0
ideology_tweets_49,"Es gibt noch eine gute Alternative zur Frage, ob weiter personenbezogene Kontaktdaten in Restaurants &amp; Co. erhoben werden müssen oder diese Pflicht wie in NRW trotz steigender Inzidenz aufgehoben wird: Keine Kontaktdaten mehr, wenn man sich mit der @coronawarnapp eincheckt",SPD,GERMANY,,Ulrich Kelber,left,DE,Ulrich Kelber,male,1.0
ideology_tweets_50,Labor is aware of the concerns raised by pwd and disability advocacy orgs about conflict of interest to certain Royal Commissioners. We committed to reviewing the appt of certain commissioners in consultation with pwd/advocates. Pwd must have full confidence in the RC.,Australian Labor Party,AUSTRALIA,Tasmania,Carol Brown,left,AU,Carol Brown,female,1.0
ideology_tweets_51,Die Brandgefahr schien von Anfang an vorgeschoben. Jetzt stellt sie sich als bewusste Lüge dar. Das erinnert an die verlorenen Klausuren.,SPD,GERMANY,,Karl Lauterbach,left,DE,Karl Lauterbach,male,0.99
ideology_tweets_52,"Ska bli sån tuff kille som gör ryggdunkar och hälsningsrörelser när jag träffar andra killar.
Det blir kul.",Social Democrats,SWEDEN,,Elin Lundgren,left,SE,Elin Lundgren,female,0.99
ideology_tweets_53,Jeg bryder mig ikke om den nedladende facon statsministeren lægger for dagen. Prøv at lytte og svare i stedet @larsloekke . Roligt og med respekt. Bare et godt råd!,The Social Democratic Party,DENMARK,,Dan Jørgensen,left,DK,Dan Jørgensen,male,1.0
ideology_tweets_54,"""How we help the people who helped us at this dire time, this is a question of who we are as a country.... We must not stop in our efforts to stand up for those who stood for us.""",Conservative,CANADA,Alberta,Bob Benzen ??,right,CA,Bob Benzen,male,0.99
ideology_tweets_55,"De ki: ""Rabbim! Bağışla, merhamet et. Çünkü sen merhamet edenlerin en hayırlısısın!""
Mü'minûn, 23/118",AKP,TURKEY,İSTANBUL,Hüseyin Bürge,right,TR,Hüseyin Bürge,male,0.99
ideology_tweets_56,"#HumorMotHat om hundar i burka, hemliga kodnamn och annat vanvett. 
En vacker sensommarsöndag 7 dagar innan ödesvalet.
Dela!",Social Democrats,SWEDEN,,Olle Thorell,left,SE,Olle Thorell,female,0.57
ideology_tweets_57,We have 46 days to protect our country! VP @mike_pence &amp; I are standing on the wall— Who’s with us?,Republican,US,AZ,Martha McSally for U.S. Senate,right,US,Martha McSally for  Senate,female,1.0
ideology_tweets_58,"Well, travelling by train is a really cheap way to go, given the amount of refunds I have had from @LNRailway Just got to Rugby &amp; train terminated as no driver...

Lots of unhappy stranded passengers. Not good!",Conservative,UK,,Craig Tracey MP,right,GB,Craig Tracey,female,0.99
ideology_tweets_59,Blå blok rød blok 48/52 iflg Gallup en uge før valget - med brunt stemmespild i blå. Det trækker sammen til en gyser,The Liberal Party,DENMARK,,Søren Pind,right,DK,Søren Pind,male,1.0
ideology_tweets_60,"The richest give money to the Tories &gt; the Tories give honours to the richest. Seem fair to you?

Should we ban honours for large political donors?",Labour,UK,,Jon Trickett,left,GB,Jon Trickett,male,1.0
ideology_tweets_61,Tino mihi atu ki a Koe Keiran te kaihautu I tō mātou wakarereraingi me tana kawenga pūrongo I te reo Maori! Pāia!,Labour Party,NZ,Hauraki-Waikato,Nanaia Mahuta,left,NZ,Nanaia Mahuta,,
ideology_tweets_62,Die obsessive Reproduktion von #Rassismus hier ist abstoßend. In ?? trenden in kürzester Zeit das N- &amp; das Z-Wort sowie nun die rassistische Entgleisung des BDR-Sportdirektors #Moster. Wieso? Weil Rassist*innen gern rassistisch sind. Vorzugsweise anonym im Internet. Dumm &amp; feige.,SPD,GERMANY,,Helge Lindh,left,DE,Helge Lindh,male,0.99
ideology_tweets_63,"If only there was a more reliable way to measure popular support than rallies, like the largest public vote in UK history in which 17.4m people expressed their desire to leave the EU",Liberal Party of Australia,AUSTRALIA,Victoria,James Paterson,right,AU,James Paterson,male,1.0
ideology_tweets_64,"Hüdavendigar pazar alanında seçim çalışmalarımızı sürdürdük. Türkiye değişim istiyor. Herkese destekleri için teşekkür ederiz...

#ArtıkTamam
#MilletİçinGeliyoruz",CHP,TURKEY,BURSA,Erkan AYDIN,left,TR,Erkan AYDIN,male,0.98
ideology_tweets_65,"Okul öncesi, ilköğretim ve ortaöğretim kademesindeki okul sayısını 799'dan 829'a yükselttik. #AdıyamanŞahlanıyor",AKP,TURKEY,ADIYAMAN,İbrahim Halil FIRAT,right,TR,İbrahim Halil FIRAT,male,0.99
ideology_tweets_66,"1-Tütün üreticimizin herdaim yanında olduk,olmaya devam ediyoruz.Bugüne kadar bir gramının dahi satışı yasak olan tütünü, belli kurallarla ve kendi kuracakları kooperatifler eliyle serbest ve yasal hale getirdik. Üreticimizin uzun yıllardır var olan bu talebini biz karşıladık.",AKP,TURKEY,ADIYAMAN,Ahmet AYDIN,right,TR,Ahmet AYDIN,male,1.0
ideology_tweets_67,"#Muharremİnce:"" Ben bu süreçte gençlerle çalışıyorum. Prompter kullanmıyorum. Küçük notlar bana yetiyor. Zaten arkamda müthiş bir kadro var "" dedi.",CHP,TURKEY,İSTANBUL,Av.Mahmut TANAL,left,TR,Mahmut TANAL,male,0.98
ideology_tweets_68,"Lieber Illia, zu deinem Geburtstag heute Herzlichen Glückwunsch!Leider kannst du diesen nicht in #Freiheit und mit deiner Familie&amp;Freunden feiern. Deine Verhaftung war und ist Unrecht!
Alle politischen Gefangenen müssen unverzüglich freigelassen werden!?️
@viasna96 #WeStandBYyou",CDU,GERMANY,,Thomas Heilmann #NEUSTAAT,right,DE,Thomas Heilmann #NEUSTAAT,male,1.0
ideology_tweets_69,Engang talte man om DF’s ‘thulliarder’ nu er det @radikale s MØlliarder. Hver dag nye dyre udspil fra de radikale - men ingen økonomisk plan. Den var nok ikke gået med @vestager . Hvad siger du @oestergaard ? #dkpol #MØlliarder,The Social Democratic Party,DENMARK,,Dan Jørgensen,left,DK,Dan Jørgensen,male,1.0
ideology_tweets_70,Brilliant swim and Canadian record for @thebrenthayden and the @TeamCanada Men’s 400 free relay team. Nobody would have predicted a 4th place finish. Way to go guys! @JohnAtkinSwim @ownthepodium,Liberal,CANADA,Quebec,Anthony Housefather,left,CA,Anthony Housefather,male,1.0
ideology_tweets_71,It was 10 years ago today that we lost former NDP leader Jack Layton to cancer. At the time I offered a book of condolences in my constituency office that I would later share with Olivia. It was heart warming how many came in to sign in appreciation for Jack’s service. RIP Jack.,Conservative,CANADA,British Columbia,Dan Albas,right,CA,Dan Albas,male,1.0
ideology_tweets_72,Sorry I missed this. Rose is a lovely compassionate person and has been hugely supportive to me and other colleagues over the years. Good luck in your new role Rose.,Labour,UK,,Albert Owen MP,left,GB,Albert Owen,male,0.99
ideology_tweets_73,"Hörde Löfvens radioreklam där han ställer skattesänkningar mot välfärd. Själv har han höjt skatterna kraftigt samtidigt som välfärden försämrats. Trots stark högkonjunktur.

Alliansen sänkte skatterna, satsade mer på välfärd o polis och minskade vårdköerna. Trots finanskris...",Moderates,SWEDEN,,Jan Ericson,right,SE,Jan Ericson,male,0.98
ideology_tweets_74,"Prezydent @AndrzejDuda w #Augustów: Chcę nadal wzmacniać nasze bezpieczeństwo i sojusze. W naszym interesie jest, byśmy trwali w dobrych relacjach ze Stanami Zjednoczonymi. #DUDA2020",Law and Justice,POLAND,,Marzena Machałek#Duda2020??????,right,PL,Marzena Machałek#Duda2020,female,0.99
ideology_tweets_75,"Anyone with information on the whereabouts of Calgary resident Julianne Veltikold is urged to contact their local police, or Crimestoppers at 1-800-222-8477 (TIPS). #Kelowna #WestKelowna",Conservative,CANADA,British Columbia,Dan Albas,right,CA,Dan Albas,male,1.0
ideology_tweets_76,"Paul Eagle on the 2nd Mt Vic tunnel: “I'm a huge supporter of a second tunnel ... it's going to take five or 10 years to build so the sooner we start, the sooner it gets implemented.""

Good to see him endorsing @NZNationalParty policy!

Party vote National to get Mt Vic started.",National Party,NZ,Hutt South,Christopher Bishop,right,NZ,Christopher Bishop,male,1.0
ideology_tweets_77,"I like it. And Bullock’s great on health care. As Governor, he got Republicans in Montana to agree to Medicaid expansion - got 90,000 new people covered. 

Hold a minute for the link and ambitious goal.",Democrat,US,CT,Chris Murphy,left,US,Chris Murphy,male,0.94
ideology_tweets_78,"Last night, media reported that the Liberal candidate in Spadina-Fort York was charged with sexual assault in 2019. @JustinTrudeau must do the right thing and immediately fire this candidate and confirm that if elected, he will not sit in the Liberal Caucus.",Conservative,CANADA,Ontario,Bob Saroya,right,CA,Bob Saroya,male,0.99
ideology_tweets_79,"Today’s jobs report shows that our phased reopening of the economy and the #PaycheckProtectionProgram are working.

We still have work to do, but it’s clear that the Great American Comeback is beginning. #GAsen #GApol",Republican,US,GA,David Perdue,right,US,David Perdue,male,1.0
ideology_tweets_80,Aside from the Health Minister and the PM I do not believe this news will come as a surprise to anyone.,Conservative,CANADA,British Columbia,Dan Albas,right,CA,Dan Albas,male,1.0
ideology_tweets_81,"Welcome home, #MOTF1! We’re always so proud of all you do to help people in need at a moment’s notice",Republican,US,MO,Senator Roy Blunt,right,US,Roy Blunt,male,1.0
ideology_tweets_82,"We already have.

- An extra $2.8 billion through our Better Hospitals Fund
- $250m for a national elective surgery waiting list blitz
- $500m to improve wait times for public hospital cancer patients",Australian Labor Party,AUSTRALIA,"Ballarat, Victoria",Catherine King MP,left,AU,Catherine King,female,1.0
ideology_tweets_83,"In the 1980s, it was bottom-of-the-harbour. Today, it's bottom-of-the-river. The Liberals have never seen a tax lurk or loophole they won't defend. #auspol #watergate",Australian Labor Party,AUSTRALIA,"Fenner, Australian Capital Territory",Andrew Leigh,left,AU,Andrew Leigh,male,1.0
ideology_tweets_84,"I pledge to work with the Samaritans to make sure there is funding in place for councils to deliver suicide prevention plans, to help people who self-harm get the support they need and help everyone struggling get care that really works. #mentalhealthmatters",Labour,UK,,Ruth George,left,GB,Ruth George,female,1.0
ideology_tweets_85,Update:  I understand from those nearby that the bomb has now been made safe with a very loud bang - “louder than last months fireworks”.  I hope the roads will open again soon. Thank you again to everyone involved for the very rapid response.,Conservative,UK,,Vicky Ford,right,GB,Vicky Ford,female,0.98
ideology_tweets_86,"Vammen og @Spolitik er ude i tovene mht tilbagetrækning fra arbejdsmarkedet. En ukonkret gang luftsteg og vindfrikadeller, som bluffer vælgerne. #dkpol #FV19",The Liberal Party,DENMARK,,Kr. Pihl Lorentzen,right,DK,Pihl Lorentzen,male,1.0
ideology_tweets_87,Thank you to all the brilliant @UKLabour @WelshLabour &amp; trade union friends who came campaigning in #CardiffCentral today. We are a wonderful #labourfamily which I’m so proud to be part of 🌹 #VoteLabour #GE2019  #Go4Jo,Labour,UK,,Jo Stevens,left,GB,Jo Stevens,female,0.97
ideology_tweets_88,"This failing franchise causes endless problems to passengers in #Stretford and #Urmston. @UKLabour will take ownership of our rail services and run them for passengers, not profit",Labour,UK,,Kate Green,left,GB,Kate Green,female,1.0
ideology_tweets_89,"As a father of two daughters and with a third on the way in a few weeks - women’s rights for my family are non-negotiable today and tomorrow. 

We will not move backwards on the rights of women in ??.  @karinagould @JustinTrudeau #elexn44 #ElectionsCanada",Liberal,CANADA,Ontario,Francesco Sorbara,left,CA,Francesco Sorbara,male,1.0
ideology_tweets_90,"- Enerjide çok büyük kazanımlar sağlayacak adımlar atıldı.
- MARMARAY tamamlandı ve hizmet vermeye başkadı.
- Ankara-İstanbul YHT Projesi tamamlanma aşamasına geldi.
- Diyarbakır’da tarihi bir buluşma gerçekleşti. #17AralıkOperasyonu",AKP,TURKEY,İSTANBUL,Şirin ÜNAL,right,TR,Şirin ÜNAL,female,0.62
ideology_tweets_91,"CHP iktidarında emin olduğum bir şey var;
ÖĞRETMENE SAYGISIZLIK YAPMAYACAĞIZ

Öğretmenleri ASLA azarlamayacağız

Zira hiç kimse, hiçbir insan devlet tarafından azarlanamaz, aşağılanamaz.

#ÖğretmenlerTAMAMdiyor",CHP,TURKEY,BURSA,Dr. Ceyhun İrgil,left,TR,Ceyhun İrgil,male,0.98
ideology_tweets_92,"Our plan for Canada's recovery includes addressing the inequalities in our societies laid bare by the pandemic. We have to build social infrastructure, support vulnerable workers &amp; give businesses the tools they need to grow.",Liberal,CANADA,Ontario,Tony Van Bynen,left,CA,Tony Van Bynen,male,1.0
ideology_tweets_93,"With Labour MPs refusing to recall the Health Select Committee, there is no way for Opposition MPs to question the Director-General of Health about the Minister of Health seeming to blame his ministry for the systemic failure to test staff at the border for COVID-19.",National Party,NZ,Papakura,Judith Collins,right,NZ,Judith Collins,female,1.0
ideology_tweets_94,For en måned siden ville Løkke i regering med DF - siden har der været et par andre bud. Nu er han landet på de radikale. Alsidig er han i hvert fald. #dkpol #FV19,The Social Democratic Party,DENMARK,,Dan Jørgensen,left,DK,Dan Jørgensen,male,1.0
ideology_tweets_95,#Walkhighlights Old bloke bailing me up to tell me that he voted for me yesterday after watching @billshortenmp win Monday night's TV debate; Harvest Moon - Neil Young; Maggie Cassidy - Dave Graney 'n' The Coral Snakes; So. Central Rain (I'm Sorry) - Grant-Lee Phillips;,Australian Labor Party,AUSTRALIA,"Moreton, Queensland",Graham Perrett,left,AU,Graham Perrett,male,1.0
ideology_tweets_96,"At this point, McConnell's warped priorities shouldn't surprise anyone. It doesn’t faze me and I'm going to keep fighting for Americans to get the relief they deserve.",Democrat,US,MN,Senator Tina Smith,left,US,Tina Smith,female,1.0
ideology_tweets_97,Løkke indrømmer i duellen at have skåret på pædagoguddannelserne. Endelig klar besked. Han havde så råd til mere end 20 mia kr i skattelettelser. Klar prioritering. #dkpol #ftvalg19,The Social Democratic Party,DENMARK,,Rosenkrantz-Theil,left,DK,Rosenkrantz-Theil,,
