id,ground_truth,text,round,batch,sent_id,worker_0,worker_1,worker_2,worker_3,worker_4,worker_5,worker_6,worker_7,disagree,agree,neutral,guid,av_rating
stance_climate_16,neutral,"The environmental movement is now saying “ climate change ” because it can explain anything, including “ decades of global cooling, ” as one Fox News host claimed.",2,7,t4,neutral,disagrees,disagrees,disagrees,neutral,neutral,neutral,neutral,0.357916339664817,0.0043947117421102,0.6376889485930728,2_7_t4,-0.375
stance_climate_17,neutral,The politics of climate in Australia resist even the severe pressure that comes from natural disaster.,5,7,t4,neutral,agrees,agrees,neutral,neutral,neutral,neutral,agrees,0.0024330520222414,0.0146076647659881,0.9829592832117702,5_7_t4,0.375
stance_climate_18,agree,Even minor increases in sea level could have severe consequences around the world.,3,5,t35,agrees,neutral,neutral,agrees,agrees,agrees,agrees,agrees,0.0022203746877968,0.9542535878502167,0.0435260374619864,3_5_t35,0.75
stance_climate_19,disagree,Carbon dioxide is not a pollutant and it is not the driver of global warming.,1,9,t21,disagrees,disagrees,disagrees,disagrees,neutral,disagrees,agrees,neutral,0.8391040391048892,0.0554516560538162,0.1054443048412945,1_9_t21,-0.5
stance_climate_22,agree,The US government has known for decades that carbon dioxide emissions are endangering the planet.,4,1,t32,disagrees,neutral,agrees,agrees,agrees,agrees,agrees,neutral,0.002784093488519,0.9613741260563172,0.0358417804551637,4_1_t32,0.5
stance_climate_23,disagree,I don't think there is much need to address climate change because it is already a focal point across the rest of the media.,5,6,t15,disagrees,disagrees,agrees,disagrees,neutral,disagrees,disagrees,disagrees,0.9665544210677248,0.0259172822161076,0.0075282967161673,5_6_t15,-0.625
stance_climate_24,neutral,"But if we ground every plane, leveled every building in America, and lived in huts, the United States' amount of carbon emissions only accounts for 15 percent of the entire world.",5,3,t8,disagrees,disagrees,neutral,agrees,neutral,disagrees,neutral,neutral,0.2281428975290217,0.0768090031022754,0.6950480993687027,5_3_t8,-0.25
stance_climate_25,agree,The killer heat waves in Europe in 2003 and 2010 are also made far more likely by global warming.,2,8,t19,agrees,agrees,agrees,agrees,disagrees,agrees,agrees,neutral,0.003131768934767,0.9624314790742224,0.0344367519910106,2_8_t19,0.625
stance_climate_26,neutral,Carbon pollution harms human health and is therefore subject to the Clean Air Act.,1,9,t29,neutral,neutral,agrees,neutral,neutral,neutral,agrees,neutral,0.0029455421412603,0.1378090761765878,0.8592453816821517,1_9_t29,0.25
stance_climate_27,neutral,"I realized with all that has separated us from each other, climate justice is the great unifier.",5,5,t34,neutral,neutral,neutral,agrees,neutral,neutral,agrees,disagrees,0.0053628612362301,0.2519245983419056,0.7427125404218643,5_5_t34,0.125
stance_climate_28,disagree,"When the media the media speak of unusually hot weather as a sign of global warming, the media never seem to look for places where it is unusually cold to show natureâs balance.",4,2,t29,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,neutral,neutral,0.947876006799446,0.0024357238604365,0.0496882693401174,4_2_t29,-0.75
stance_climate_29,neutral,"After three years of little to no growth in total global carbon emissions, 2017 will see a relatively major spike.",3,3,t15,neutral,neutral,neutral,neutral,disagrees,neutral,agrees,agrees,0.0046585597798373,0.1646059255353262,0.8307355146848365,3_3_t15,0.125
stance_climate_30,agree,The ridiculously warm temperatures in the Arctic during October and November this year this year are off the charts over our 68 years of measurements.,3,1,t35,neutral,agrees,agrees,neutral,agrees,agrees,agrees,neutral,0.0044936765649812,0.7129620684228587,0.2825442550121599,3_1_t35,0.625
stance_climate_31,neutral,"Cutting out meat from an individual's diet reduces their greenhouse gas emissions by 35%, and substituting carbon-intensive meats such as beef and lamb with chicken or pork can reduce one person's emissions contribution by 18.",3,3,t0,neutral,neutral,agrees,neutral,agrees,neutral,neutral,agrees,0.0025113519205421,0.0873396291029156,0.9101490189765424,3_3_t0,0.375
stance_climate_32,agree,Climate change is a likely threat to national security – though scientists can not yet predict particular climate effects of anticipated global warming with any degree of certainty.,3,9,t13,agrees,neutral,agrees,agrees,agrees,neutral,neutral,agrees,0.0023937642779742,0.9745421244933358,0.02306411122869,3_9_t13,0.625
stance_climate_33,neutral,"Global average temperatures would not rise beyond the crucial 2˚C above preindustrial levels threshold, thought to be the tipping point at which irreversible damage would occur.",2,8,t12,neutral,neutral,neutral,disagrees,agrees,agrees,neutral,neutral,0.0490190279074522,0.052909341119248,0.8980716309732998,2_8_t12,0.125
stance_climate_34,neutral,Tuesday morning's frigid temperature of 8 degrees set the record for the coldest temperature this early in the season.,5,7,t15,neutral,agrees,agrees,agrees,neutral,neutral,neutral,neutral,0.0016946655295192,0.0043865931380059,0.9939187413324748,5_7_t15,0.375
stance_climate_35,agree,"Climate change poses unprecedented challenges to human societies, and our community of central banks and supervisors can not consider itself immune to the risks ahead of us.",5,0,t43,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0005818610798348,0.9983375409694584,0.0010805979507068,5_0_t43,1.0
stance_climate_36,disagree,Satellite data disputes global warming.,3,1,t20,neutral,disagrees,disagrees,disagrees,disagrees,agrees,disagrees,neutral,0.9508460248975504,0.0023834375687378,0.0467705375337115,3_1_t20,-0.5
stance_climate_37,neutral,The rhythm of ice ages parallels changes in the solar energy that heats the continents.,4,9,t11,agrees,neutral,agrees,neutral,neutral,disagrees,disagrees,neutral,0.0777048448633611,0.0100214088725696,0.9122737462640692,4_9_t11,0.0
stance_climate_38,agree,One round-trip flight from New York to Europe or to San Francisco creates a warming effect equivalent to 2 or 3 tons of carbon dioxide per person.,1,3,t8,agrees,neutral,agrees,agrees,agrees,neutral,agrees,neutral,0.0035757250453559,0.7863619049913587,0.2100623699632854,1_3_t8,0.625
stance_climate_40,agree,"If human-driven climate change continues on the present course, the ice covering the site could begin to melt in about 75 years.",1,2,t8,agrees,neutral,agrees,disagrees,agrees,agrees,agrees,neutral,0.0049487437250232,0.9555954982520096,0.0394557580229672,1_2_t8,0.5
stance_climate_41,neutral,"You could have two people in the same room who agree about the details of climate change investing, but then they start fighting over the nuance.",5,6,t29,neutral,neutral,neutral,disagrees,neutral,agrees,neutral,neutral,0.0029950934347476,0.0075077228269784,0.989497183738274,5_6_t29,0.0
stance_climate_43,neutral,"Between 1982 and 1999, global net primary production â a key measure of plants 'carbon uptake â rose 6 percent, or roughly 3 percent per decade.",4,4,t17,neutral,neutral,agrees,agrees,agrees,neutral,neutral,neutral,0.0034643445448995,0.3317752222004526,0.6647604332546478,4_4_t17,0.375
stance_climate_45,neutral,21st-century sea level rise is on the scale of three to six feet or more.,2,2,t20,neutral,neutral,agrees,neutral,neutral,neutral,neutral,neutral,0.0024352378415857,0.0502285167963079,0.9473362453621064,2_2_t20,0.125
stance_climate_46,agree,"Unlike the 1920s, climate change is a huge factor exacerbating inequality today.",5,2,t3,agrees,agrees,disagrees,neutral,agrees,agrees,neutral,agrees,0.0378755171053627,0.7670912388303106,0.1950332440643266,5_2_t3,0.5
stance_climate_47,neutral,"Countries like China and India, which rank among the top greenhouse gas emitters globally, and are plagued by worsening air pollution, have shown growing interest in sustainable, environmentally friendly buildings.",4,5,t0,neutral,agrees,agrees,neutral,agrees,neutral,neutral,neutral,0.0032736726345139,0.3503702125887797,0.6463561147767063,4_5_t0,0.375
stance_climate_48,neutral,Terrestrial ecosystems play a significant role in the global carbon cycle and offset a large fraction of anthropogenic CO2 emissions.,1,2,t4,neutral,neutral,disagrees,neutral,agrees,agrees,neutral,neutral,0.0692710167063194,0.282843482145291,0.6478855011483895,1_2_t4,0.125
stance_climate_49,neutral,"Renewables such as wind, solar and hydropower will surpass coal as the world's dominant source of electricity by 2030, growing to 42 percent of global generation.",5,4,t14,disagrees,neutral,neutral,neutral,neutral,neutral,neutral,neutral,0.0018772300733695,0.0014725630516435,0.9966502068749868,5_4_t14,-0.125
stance_climate_50,agree,The money inside the vaults of banks like Chase is driving the climate crisis.,5,7,t42,disagrees,agrees,agrees,disagrees,neutral,agrees,agrees,agrees,0.1438559802910629,0.8151395225083733,0.0410044972005638,5_7_t42,0.375
stance_climate_51,agree,"Climate change is not a hoax, but climate change is a terrible, terrible reality impacting our country and the entire world today.",5,4,t16,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0009513657738502,0.9982124013409496,0.0008362328852,5_4_t16,1.0
stance_climate_52,agree,It is most crucial to combat global warming.,4,7,t35,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0008018251081256,0.998637879622675,0.0005602952691993,4_7_t35,1.0
stance_climate_53,neutral,Climate change is his top priority.,5,5,t44,agrees,neutral,disagrees,neutral,neutral,agrees,neutral,neutral,0.0062976035705153,0.1856637978259559,0.8080385986035288,5_5_t44,0.125
stance_climate_54,agree,Global warming is happening and it will be dangerous to human health and welfare.,2,8,s3,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,,,,2_8_s3,1.0
stance_climate_56,agree,"We must nominate a candidate who will deploy clean energy and cut carbon pollution on the ambitious scale required, even if it means deferring other worthy goals.",5,7,t35,agrees,agrees,agrees,agrees,neutral,neutral,agrees,agrees,0.0060023294239705,0.7059619188547828,0.2880357517212467,5_7_t35,0.75
stance_climate_57,agree,"This may be the first time in the history of the United States that there are children wondering whether they are going to have a future, whether they should have children as a result of the potential for climate change to get worse and worse.",5,5,t23,neutral,agrees,neutral,agrees,agrees,agrees,agrees,neutral,0.0029517348275624,0.9420097673432586,0.0550384978291789,5_5_t23,0.625
stance_climate_59,agree,"The concentration in the atmosphere of carbon dioxide, a key greenhouse gas, rose to a new high of 396 parts per million last year.",4,6,t9,agrees,agrees,agrees,agrees,neutral,neutral,agrees,agrees,0.0038056500090081,0.76030092730628,0.2358934226847119,4_6_t9,0.75
stance_climate_60,neutral,"Flooding alone may cost $325 billion by the year 2100 in one of the worst-case scenarios, with $130 billion of that in Florida.",2,0,t18,agrees,neutral,agrees,neutral,neutral,neutral,agrees,agrees,0.0044705088193078,0.2951181176534441,0.7004113735272479,2_0_t18,0.5
stance_climate_61,neutral,A report on the threat of climate change based on more controversial data from the United Nations Intergovernmental Panel on Climate Change would doom the the U.S. economy while allowing the biggest polluters like China and India to continue polluting.,5,6,t18,neutral,disagrees,neutral,disagrees,neutral,agrees,neutral,agrees,0.0128826313408596,0.1926841951527458,0.7944331735063944,5_6_t18,0.0
stance_climate_62,neutral,It's related to rather than `caused by' climate change.,5,0,t30,neutral,neutral,disagrees,agrees,disagrees,neutral,disagrees,neutral,0.2781945694114465,0.008631356392319,0.7131740741962344,5_0_t30,-0.25
stance_climate_63,neutral,These are the effects of climate change.,5,1,t29,agrees,neutral,neutral,neutral,agrees,agrees,neutral,agrees,0.0029426270225774,0.1386931359208013,0.8583642370566211,5_1_t29,0.5
stance_climate_64,disagree,Tending to the needs of the poor constitutes a greater priority than curbing global warming.,2,8,t3,disagrees,neutral,disagrees,disagrees,agrees,disagrees,disagrees,agrees,0.8876547802063461,0.0565739153729261,0.0557713044207278,2_8_t3,-0.375
stance_climate_65,neutral,"But the plant will strip out about two-thirds of carbon dioxide emissions, leaving emissions at about the same level as cleaner-burning natural gas.",2,6,t30,disagrees,neutral,neutral,neutral,neutral,neutral,agrees,disagrees,0.2537459678486451,0.0086790811824328,0.7375749509689221,2_6_t30,-0.125
stance_climate_66,agree,Climate change is affecting the Antarctic more than previously believed and is likely to prompt global projections of sea-level rise to be revised upward.,1,7,t2,neutral,agrees,agrees,agrees,neutral,agrees,agrees,agrees,0.0021017991471449,0.9419777063438728,0.0559204945089821,1_7_t2,0.75
stance_climate_67,disagree,The findings will infuriate environmental campaigners who argue by 2030 we could be facing increased sea levels and flooding due to glacial melt at the poles.,4,5,t16,disagrees,disagrees,disagrees,neutral,disagrees,agrees,neutral,neutral,0.6373946197030057,0.0218683338258774,0.3407370464711169,4_5_t16,-0.375
stance_climate_68,agree,"While many people already face the dire consequences of the climate crisis, the reality of an environment that is becoming uninhabitable is still not obvious to everyone.",5,0,t3,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0005678983743603,0.9984071689012144,0.0010249327244254,5_0_t3,1.0
stance_climate_70,disagree,"It gives us a dangerous climate that we make safe, above all, by using energy from fossil fuels.",2,3,t18,agrees,neutral,disagrees,neutral,neutral,agrees,disagrees,disagrees,0.6397428690229486,0.1991276589998936,0.1611294719771577,2_3_t18,-0.125
stance_climate_72,neutral,The margins around Antarctica experience surface melting today .,3,4,t11,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,0.0008334324430614,0.0011502697633819,0.9980162977935566,3_4_t11,0.0
stance_climate_73,disagree,Our need to focus on it and on jobs and not worry so much about global warming.,4,7,t10,disagrees,disagrees,agrees,disagrees,disagrees,disagrees,disagrees,agrees,0.9985635384094916,0.0010112116717988,0.0004252499187094,4_7_t10,-0.5
stance_climate_74,disagree,But only half of the carbon dioxide stays up there.,4,5,t44,neutral,disagrees,disagrees,neutral,disagrees,neutral,neutral,disagrees,0.6479417067349755,0.0033330022559684,0.348725291009056,4_5_t44,-0.5
stance_climate_75,agree,"Global warming is influencing the weather, in the wake of a string of deadly extreme events in the US.",1,6,t11,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0009227373122801,0.9977263550931824,0.0013509075945374,1_6_t11,1.0
stance_climate_77,neutral,Carbon dioxide is coming out of your nose right now.,2,4,t18,neutral,neutral,neutral,neutral,neutral,neutral,disagrees,neutral,0.0018222236640442,0.001662302918316,0.9965154734176396,2_4_t18,-0.125
stance_climate_78,disagree,Climate change spending has been the biggest waste of taxpayer money in 2019.,5,1,t41,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,neutral,0.9980889022741728,0.0007929834935693,0.0011181142322576,5_1_t41,-0.875
stance_climate_79,agree,Climate change threatens every living thing on this planet and the urgency of the moment can not be overstated.,5,2,t4,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0006791922146864,0.9982624091916708,0.0010583985936426,5_2_t4,1.0
stance_climate_80,agree,The focus on growth is an anomaly in this climate emergency.,5,1,t42,agrees,agrees,agrees,agrees,neutral,neutral,agrees,disagrees,0.0030126132830692,0.9435636352592228,0.053423751457708,5_1_t42,0.5
stance_climate_81,agree,"Worldwide levels of the chief greenhouse gas that causes global warming have hit a milestone, reaching an amount never before encountered by humans.",4,2,t2,neutral,agrees,agrees,neutral,agrees,agrees,agrees,neutral,0.0035640481856497,0.7668604310833329,0.2295755207310174,4_2_t2,0.625
stance_climate_82,disagree,The secret of being green is to have zero economic growth: no manufacturing no pesky carbon emissions.,4,9,t22,agrees,disagrees,agrees,agrees,agrees,neutral,disagrees,disagrees,0.9618064571063548,0.036150207847873,0.0020433350457721,4_9_t22,0.125
stance_climate_83,neutral,"To get any improvement in ice forecasting, you really have to improve weather forecasting in the Arctic.",4,6,t40,neutral,neutral,neutral,agrees,neutral,neutral,neutral,disagrees,0.0216186207442136,0.0023346016311948,0.9760467776245916,4_6_t40,0.0
stance_climate_84,disagree,Global warming is a Chinese hoax.,1,8,t29,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,0.9988319786578704,0.00067152821495,0.0004964931271793,1_8_t29,-1.0
stance_climate_85,neutral,Pricing carbon obviously adds a cost to our production and our products.,3,4,t8,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,0.0008531927887426,0.0011896044519964,0.9979572027592608,3_4_t8,0.0
stance_climate_86,agree,"Because climate change perceptions in children seem less susceptible to the influence of worldview or political context, it may be possible for them to inspire adults toward higher levels of climate concern, and in turn, collective action.",5,8,t20,agrees,agrees,agrees,neutral,agrees,agrees,agrees,agrees,0.002325663051269,0.9676540290840558,0.030020307864675,5_8_t20,0.875
stance_climate_87,disagree,Climate is an extremely complicated science that remains far less than fully understood.,5,3,t37,agrees,disagrees,neutral,disagrees,neutral,disagrees,neutral,disagrees,0.6417319643480003,0.0065878182176392,0.3516802174343605,5_3_t37,-0.375
stance_climate_89,agree,Everyone is responsible for trying to reduce carbon dioxide in the air-a surplus of which scientists say contributes to global warming.,5,1,t3,agrees,agrees,agrees,agrees,agrees,neutral,agrees,neutral,0.0013939926817016,0.9890398128991008,0.0095661944191976,5_1_t3,0.75
stance_climate_90,neutral,"A market mechanism can reach more deeply into the economy than any other approach, changing the behavior even of people and companies that might not necessarily care about global warming.",4,7,t32,neutral,neutral,neutral,neutral,neutral,agrees,neutral,agrees,0.0022720047393648,0.0168165482535817,0.9809114470070532,4_7_t32,0.25
stance_climate_91,disagree,Better models are needed before exceptional events can be reliably linked to global warming.,1,5,t29,neutral,disagrees,neutral,disagrees,disagrees,disagrees,neutral,neutral,0.8706242897768445,0.0036151797083127,0.1257605305148427,1_5_t29,-0.5
stance_climate_92,agree,"Global warming had ensured that the incidence of that Texas heat wave is 20 times more likely than it would have been in 1960; similarly, abnormally warm temperatures like those experienced in Britain last November are said to be 62 times as likely because of global warming.",2,0,t30,neutral,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0007920783279099,0.9981431843083864,0.0010647373637036,2_0_t30,0.875
stance_climate_93,disagree,Climate alarmists necessarily demonize American patriots.,5,6,t5,disagrees,agrees,agrees,disagrees,neutral,neutral,neutral,disagrees,0.7047422050218874,0.0709242446053173,0.2243335503727952,5_6_t5,-0.125
stance_climate_95,agree,"Heat waves in recent years have become more intense, a consequence of global warming.",4,4,t35,agrees,neutral,agrees,agrees,agrees,agrees,agrees,agrees,0.0010377416311476,0.9922783306068108,0.0066839277620415,4_4_t35,0.875
stance_climate_96,agree,The Keystone pipeline would unduly worsen climate change.,5,9,t46,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0005804412363939,0.9986169318299468,0.0008026269336592,5_9_t46,1.0
stance_climate_97,neutral,Fossil fuels will be used for the foreseeable future.,1,0,t5,neutral,neutral,neutral,neutral,neutral,neutral,disagrees,neutral,0.0369044113982233,0.0028931662764624,0.9602024223253142,1_0_t5,-0.125
stance_climate_98,neutral,The Trump budget would eliminate $250 million for NOAAâs coastal research programs that prepare communities for rising seas and worsening storms.,4,2,t19,neutral,neutral,neutral,neutral,neutral,neutral,disagrees,neutral,0.0085904253898941,0.0018990658980265,0.9895105087120792,4_2_t19,-0.125
stance_climate_99,neutral,"One of the most effective ways to cut methane is to reduce global populations of ruminant livestock, especially cattle.",2,9,t37,neutral,neutral,agrees,neutral,neutral,agrees,neutral,neutral,0.0022876079151105,0.0591116517494409,0.9386007403354484,2_9_t37,0.25
stance_climate_101,agree,The world must halve global emissions or face cataclysmic global warming.,1,6,t3,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0009121488146965,0.9977353644293904,0.001352486755913,1_6_t3,1.0
stance_climate_102,agree,Dealing with global warming is an international responsibility.,3,4,t25,agrees,neutral,agrees,neutral,agrees,agrees,neutral,agrees,0.0033779825435193,0.7129988837331062,0.2836231337233744,3_4_t25,0.625
stance_climate_103,agree,"The region’s increasingly drastic droughts are caused, at least in part, by global warming trends affecting the entire planet.",2,8,t39,agrees,agrees,agrees,agrees,disagrees,agrees,agrees,agrees,0.0014088938816425,0.9972087079758566,0.0013823981425007,2_8_t39,0.75
stance_climate_104,neutral,This summer is seeing record lows for Arctic ice.,3,9,t1,neutral,neutral,neutral,neutral,agrees,neutral,neutral,neutral,0.0024530923134866,0.0193883547055272,0.978158552980986,3_9_t1,0.125
stance_climate_105,disagree,Scientists had manipulated data to hide the decline in global temperatures.,1,3,t13,disagrees,neutral,disagrees,disagrees,neutral,disagrees,disagrees,neutral,0.8825892419938292,0.003048195837185,0.114362562168986,1_3_t13,-0.625
stance_climate_106,agree,Universities are the bastions of wisdom and knowledge that are urgently needed to combat the climate crisis.,5,7,t5,agrees,agrees,agrees,disagrees,agrees,agrees,agrees,agrees,0.0012126200987143,0.9979423874181244,0.0008449924831613,5_7_t5,0.75
stance_climate_107,disagree,The scientists are wrong when they say global warming is real.,4,3,t2,disagrees,disagrees,agrees,neutral,disagrees,disagrees,disagrees,disagrees,0.9951741710234508,0.0021437995173884,0.0026820294591607,4_3_t2,-0.625
stance_climate_108,agree,Risky technologies are the only ways to address climate change.,5,4,t5,agrees,agrees,agrees,neutral,agrees,agrees,agrees,agrees,0.0020194277335304,0.9855458511579072,0.0124347211085623,5_4_t5,0.875
stance_climate_109,neutral,"The latest Intergovernmental Panel on Climate Change predictions (of a maximum just under three foot ocean rise by the end of the century) may turn out to be wildly optimistic, if the Greenland ice sheet breaks up.",2,1,t32,neutral,neutral,neutral,agrees,disagrees,neutral,agrees,neutral,0.0938644359393268,0.270175964123626,0.635959599937047,2_1_t32,0.125
stance_climate_110,disagree,"All that our world leaders need is a little more common sense, in order to avoid the nonsense of seeking a globally-binding treaty to reduce CO2 emissions.",3,6,t3,disagrees,neutral,disagrees,agrees,agrees,neutral,disagrees,disagrees,0.8323661912353291,0.0525833803353994,0.1150504284292716,3_6_t3,-0.25
stance_climate_111,disagree,"Global warming will be small, slow, harmless and net beneficial.",5,3,t2,agrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,0.9977358154502508,0.0013798114712994,0.0008843730784494,5_3_t2,-0.75
stance_climate_112,neutral,"Our economy is vitally dependent on fossil fuels, and yet our landscape is relatively exposed to climate change.",5,8,t30,agrees,disagrees,neutral,agrees,neutral,neutral,neutral,agrees,0.0059593146740038,0.3487123406025147,0.6453283447234814,5_8_t30,0.25
stance_climate_114,disagree,Researchers are gaming the science to win public support for the idea that countries need to act to correct global warming.,4,1,t34,neutral,neutral,disagrees,neutral,disagrees,agrees,disagrees,disagrees,0.869520490532621,0.0412152235322562,0.0892642859351227,4_1_t34,-0.375
stance_climate_116,disagree,"There is little evidence to support claims, such as those by Al Gore, that the sea would rise by 20 feet by the end of the century.",3,0,t3,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,0.9982586555732088,0.0010421514475874,0.0006991929792036,3_0_t3,-1.0
stance_climate_117,agree,"We are committed to tackling climate change without a carbon tax or an emissions-trading scheme that will hike up power bills for families, pensioners and businesses.",4,9,t16,agrees,agrees,disagrees,agrees,neutral,agrees,neutral,agrees,0.013855793502888,0.8978381224923964,0.0883060840047155,4_9_t16,0.5
stance_climate_119,neutral,Reducing carbon emissions would also reduce airborne hazards like mercury and ozone.,4,4,t41,neutral,neutral,neutral,agrees,agrees,agrees,neutral,neutral,0.0033905843482182,0.3686151020728641,0.6279943135789178,4_4_t41,0.375
stance_climate_120,agree,"It is urgent to move away from fossil fuels and towards renewable energy, including large scale wind and household solar.",3,2,t34,agrees,agrees,agrees,agrees,agrees,agrees,agrees,neutral,0.0010961405411138,0.9896305155056456,0.0092733439532404,3_2_t34,0.875
stance_climate_121,agree,Burning fossil fuels will indeed result in catastrophic climate change.,2,4,t4,agrees,agrees,agrees,agrees,agrees,agrees,neutral,agrees,0.0008955322839901,0.9978792678131044,0.0012251999029054,2_4_t4,0.875
stance_climate_122,agree,Greenland warming up is a problem because Greenland contributes about 40 percent of current sea level rise.,2,7,t31,agrees,neutral,agrees,agrees,agrees,agrees,neutral,neutral,0.0023045018501112,0.8842675867590059,0.1134279113908828,2_7_t31,0.625
stance_climate_123,neutral,"Temperature records are broken in France, Germany and elsewhere.",5,5,t49,neutral,neutral,neutral,neutral,neutral,neutral,neutral,agrees,0.0011942547591768,0.0018194949638919,0.9969862502769312,5_5_t49,0.125
stance_climate_124,disagree,"The Southern Hemisphere must be balancing the warming of the Northern Hemisphere by becoming colder (and thus, net global warming is zero).",4,0,t40,disagrees,neutral,disagrees,neutral,disagrees,disagrees,disagrees,disagrees,0.9835747960193584,0.0009195502825181,0.0155056536981234,4_0_t40,-0.75
stance_climate_125,agree,"The loss of Arctic sea ice, which bears rely on for hunting and denning, is accelerating to record levels due to global warming.",4,6,t32,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,0.0009966229044748,0.9974891651430854,0.0015142119524398,4_6_t32,1.0
stance_climate_126,agree,"Continued global warming poses a risk of rapid, drastic changes in some human and natural systems.",4,3,t22,agrees,agrees,agrees,disagrees,agrees,neutral,agrees,agrees,0.0025652269558063,0.994252319094672,0.0031824539495215,4_3_t22,0.625
