id,ground_truth,text
hatespeech_explicit_98,explicit hate,you're a muslim hater . no white person or christian has committed mass shootings in america ?
hatespeech_explicit_99,explicit hate,too white  not right : non-white hysteria over white as snow miss france via via
hatespeech_explicit_100,explicit hate,: new black panther negroes have started mobilization to burn white communities
hatespeech_explicit_101,explicit hate,"  "" : obert pencer is a racist "" "" islam is not a "" "" race "" "" it's a sick deviant twisted mind boggling theology by satan """
hatespeech_explicit_102,explicit hate,good blm is a racist hate group and should not be getting any press . let them die in the media
hatespeech_explicit_103,explicit hate,( ( ( msm ) ) ): whites are evil racist planet killers and need to stop breeding also white countries must have non-white immigration to survive
hatespeech_explicit_104,explicit hate,sorry  ... my white privilege marginalized the black racist guilt trip
hatespeech_explicit_105,explicit hate,you are a coward ! you refused to listen to the actual people your #grahamcassidy bill will devastate & possibly kill ! i used to respect you .
hatespeech_explicit_106,explicit hate,yes it's simple protect the jew and kill everyone else .
hatespeech_explicit_107,explicit hate,"attack back, but with heavy weapons!"
hatespeech_explicit_108,explicit hate,"yes, they've proven themselves to be savages."
hatespeech_explicit_109,explicit hate,deport all muslims ! don't let any more in . they are not compatible with american culture !
hatespeech_explicit_110,explicit hate,there you go snowflake  play the race card . securing the borders is not racist
hatespeech_explicit_111,explicit hate,"Illegal aliens are an imminent threat to this country. They must be rounded up, interned, and deported NOW. All illegal crossings at the border must be stopped with GUNFIRE. #InternAndDeport"
hatespeech_explicit_112,explicit hate,he gives priority to syrian rapugees rather the unemployed  he favors race wars black vs white
hatespeech_explicit_113,explicit hate,"  "" white live metter ' "" "" confedrate stataes of amrican "" "" how about learn how to spell and propper grammar ... trailer trash .. """
hatespeech_explicit_114,explicit hate,exercise your 2a with your 1a and watch those antifa faggots run .
hatespeech_explicit_115,explicit hate,the punchable fat white liberal face
hatespeech_explicit_116,explicit hate,aka the jewish pedophile ring .
hatespeech_explicit_117,explicit hate,muhammed was a pedophile and invader of europe.muslims are pawns of greater power structures
hatespeech_explicit_118,explicit hate,these people are like the poor inbred white trash if jews
hatespeech_explicit_119,explicit hate,the nation wrecking race afflicting white lands : #withjewswelose #endjewishtyranny
hatespeech_explicit_120,explicit hate,you white people are so foolish . lady you might not even go to school have a seat .
hatespeech_explicit_121,explicit hate,and how were the alt white peaceful when they attacked white leftist american citizens ?
hatespeech_explicit_122,explicit hate,but wait  i thought non-white people were not welcome because they are genetic
hatespeech_explicit_123,explicit hate,shut the fuck up you useless scandinavian. you're as worthless as a mick
hatespeech_explicit_124,explicit hate,don't be stupid ! ! american classic idiot ! ! !
hatespeech_explicit_125,explicit hate,how about a class for bigot jews who think they're god's chosen ?
hatespeech_explicit_126,explicit hate,Nice false equivalency you cretinous niggerstain.
hatespeech_explicit_127,explicit hate,i think they finally got it ~ american-jews are bad for white people
hatespeech_explicit_128,explicit hate,"islam =monstruous machine destroiyng human minds trough congenital child abuse. antihuman,supremacist"
hatespeech_explicit_129,explicit hate,"  "" white ppl have a right to x "" "" is a gay  ineffective talking point . no race got anywhere by begging for their "" "" rights "" "" to be respected """
hatespeech_explicit_130,explicit hate,<<===eat a dick you faggot piece of shit
hatespeech_explicit_131,explicit hate,ding ding ding . we have a winner  hunter here  and a cuck of the day award to brandon .
hatespeech_explicit_132,explicit hate,wearing blue jeans is for degenerates.
hatespeech_explicit_133,explicit hate,keep telling yourself that  cuck
hatespeech_explicit_134,explicit hate,jw is a truth organization not a hate orginzation . islam is all about hate . #arabnotmuslim
hatespeech_explicit_135,explicit hate,so now you're really going after the drunken white trash demographic  eh ?
hatespeech_explicit_136,explicit hate,he's the definition of white trash .
hatespeech_explicit_137,explicit hate,kill isis . kill islam . kill allah akbar . love america . love jesus .
hatespeech_explicit_138,explicit hate,not even people of color  just elderly people you racist hypocritical moron .
hatespeech_explicit_139,explicit hate," rt there are very few  "" white supremacists "" "" in charleston . there are more blm racist activists than any other extremist group . """
hatespeech_explicit_140,explicit hate,most of the sheriffs are members of white extremists groups
hatespeech_explicit_141,explicit hate," the marxist / gay  "" takedown "" "" of america #withjewswelose """
hatespeech_explicit_142,explicit hate,: muslims are into genital mutilation so why not castrate muslims who sexually abuse and rape .
hatespeech_explicit_143,explicit hate,as in you are leaving ? you're too white looking to be native . bye ugly and your fatty ! #smallhands
hatespeech_explicit_144,explicit hate," ' holocaust ' debate / comments / news yet another fake  "" antisemitic ' effort by a racist supremacist jew : here ... """
hatespeech_explicit_145,explicit hate,"  "" white live metter "" "" how about learn how to spell and propper grammar .. trailer trash ... """
hatespeech_explicit_146,explicit hate,awww  poor lil fat white thugslol
hatespeech_explicit_147,explicit hate,jewish #bolshevik rape - it's not just the muslims who rape #german and european women by the thousands
hatespeech_explicit_148,explicit hate,kill these people
hatespeech_explicit_149,explicit hate,whether it is jews like shapiro  english faggots like cooke  or creatures of #truconservatism like ted cruz  they have no ethnic appeal
hatespeech_explicit_150,explicit hate,is right . i went 2ur website . u all sound like a bunch of #ignorant  #xenophobic  #racist #rednecks . #immigrantsmakeamericagreat
hatespeech_explicit_151,explicit hate,us white people aren't supposed to reproduce with each other . #whitegenocide
hatespeech_explicit_152,explicit hate,#ferguson people must be destroy to they make a fun by the murder ! ! ! #freedomtoblakcs #wearenotaslave
hatespeech_explicit_153,explicit hate,take a stand  join the klan . we are the superior race . we shall dominate politically  economically and socially . #whitepride #white
hatespeech_explicit_154,explicit hate,i am equally fair complexioned ; look better than white skin ; i don't like blackies ; i am pure racist
hatespeech_explicit_155,explicit hate,taking jobs off of america's wetbacks
hatespeech_explicit_156,explicit hate,"  "" : kkk alive and well white brother hood unite ku klux klan "" "" good job crackers """
hatespeech_explicit_157,explicit hate,parents  siblings & anchors ... strain on education  welfare  citizens ! we demand illegals deported & end of anchor baby program ! #nodreamact
hatespeech_explicit_158,explicit hate,breivik says zionism / anti-islam was a ruse to prolong the debate & attack #cuckservatives #vdare
hatespeech_explicit_159,explicit hate,was about time ... let's make those fat white people lose some weight .
hatespeech_explicit_160,explicit hate,i know yall are broke  but you can help make america white again by sending this blackie backie .
hatespeech_explicit_161,explicit hate,roy moore rapes kids
hatespeech_explicit_162,explicit hate,europe must follow national socialism to save itself from barbarians .
hatespeech_explicit_163,explicit hate,poor blacks n america are the most spoiled & pampered group of people n
hatespeech_explicit_164,explicit hate,you should all do the world a favor and kill yourselves . i'm a white  conservative midwesterner  by the way .
hatespeech_explicit_165,explicit hate,"- take them out back and shoot them, screw that jail time."
hatespeech_explicit_166,explicit hate,: jews outraged over diversity is white genocide banner in australia
hatespeech_explicit_167,explicit hate,jews must not be a part of our ruling class . we shouldn't allow them into any white society .
hatespeech_explicit_168,explicit hate,bought  and paid for by islam . this stupid  evil woman !
hatespeech_explicit_169,explicit hate,you lowlife white trash mofos attack the black church because you know they're docile . can't drag y'all near a black muslim mosque !
hatespeech_explicit_170,explicit hate,marxist socialism is supercapitalism via #withjewsyoulose
hatespeech_explicit_171,explicit hate,more i learn  more i realize how similar jews & muslims are . both are clearly an alien parasite in white society .
hatespeech_explicit_172,explicit hate,oh wow . look at this white trash .
hatespeech_explicit_173,explicit hate,at least they're finally getting the right people this time jew on jew violence i love it
hatespeech_explicit_174,explicit hate," rt crooked hillary you didn't lose because you couldn't portray yourself as an  "" agent of change "" "" you loss because you are a socialist agent of destruction . shut up hillary and stop whining ! """
hatespeech_explicit_175,explicit hate,stupid white cuck - no sympathy from me ! #islam
hatespeech_explicit_176,explicit hate,white lives don't matter . diversity means chasing down the last white person .
hatespeech_explicit_177,explicit hate,says the racist white privileged . stop  only making yourself look stupid af
hatespeech_explicit_178,explicit hate,. love white tears  lol
hatespeech_explicit_179,explicit hate,who cares if hes illegal. these people are savages. its no wonder mexico is a shithole country
hatespeech_explicit_180,explicit hate,take your worthless black asses back to africa. fuck you.
hatespeech_explicit_181,explicit hate,"more nigger punks like trayvon need killing. i'd love to kill me a nigger. if riots happen, i'll kill several niggers!"
hatespeech_explicit_182,explicit hate,#mollymacauley was stabbed to death by feral racist blacks who've been told white ppl are evil by democrats
hatespeech_explicit_183,explicit hate,throw political correctness outthe window.if your a illegal alien  black punk  white trash  orradical that's you !
hatespeech_explicit_184,explicit hate,yes  white people are the most pathetic people in the entire
hatespeech_explicit_185,explicit hate,white race genocide nonwhites than be genocided
hatespeech_explicit_186,explicit hate,what you deserve for being useless white goy i am more than done and ive been trying with you lot for 30 years ps you dont want to hear what i really think with all the new characters your jew overlords let me type in one space now
hatespeech_explicit_187,explicit hate,white genocide is good
hatespeech_explicit_188,explicit hate,"  "" white flight . "" "" nice jew euphemism for us fleeing their invading hordes of non white pets . """
hatespeech_explicit_189,explicit hate,white genocide is going to work great in us .
hatespeech_explicit_190,explicit hate,heil hitler and long live ns
hatespeech_explicit_191,explicit hate,please subscribe and view my jew lies white genocide playlist non profit
hatespeech_explicit_192,explicit hate,this tranny doesn't even look white !
hatespeech_explicit_193,explicit hate,not just the left also cuckservatives rinos jewish neo conservatives
hatespeech_explicit_194,explicit hate,"islamofascists, savage sub-animal heathens, eradicate"
hatespeech_explicit_195,explicit hate,jesus u hyper sensitive lib wackos now what print school books showing blacks owned whites ? bring golden calf ahole
hatespeech_explicit_196,explicit hate,"every religion is better than #islam, and so are atheists. 3 reasons via"
hatespeech_explicit_197,explicit hate,more diversity in america : white couple brutally beaten by racist negroes | read more : via
hatespeech_explicit_198,explicit hate,great grandparents came here legally . more than i can say for the illegal / daca immigrants . deport them all ! ! !
hatespeech_explicit_199,explicit hate,absolutely correct niggers are stupid fn baboons!!!
hatespeech_explicit_200,explicit hate,look at this cuck far right watch you can watch as we step on you cuck antifa commie faggots .
hatespeech_explicit_201,explicit hate,if there was a group that was called white lives matter and it was a group that had the same wants as black lives matter as a white person i would be ashamed  i would feel racist just because i was white .. blm is just people who pretend that everyone else is racist but them ..
hatespeech_explicit_202,explicit hate,: kkk alive and well white brother hood unite ku klux klan crying .
hatespeech_explicit_203,explicit hate,#SellOutSessions #JusticeDenied #Trump Let's get colonial on these traitors... give them due process and hang them. http://madworldnews.com/jeff-sessions-owe-fbi-agen...
hatespeech_explicit_204,explicit hate,who would ever support you ? white male scum
hatespeech_explicit_205,explicit hate,my conscience is clear . i am not a flak for genocidal jew-hating jihadis like you - you know what a guilty conscience is .
hatespeech_explicit_206,explicit hate," this so called  "" white aryan uptopia "" "" won't happen unless you exterminate white liberals  centrists  socialists  independents & lgbt  """
hatespeech_explicit_207,explicit hate,because jews are white too . they are caucasoid devils . but you hate them because they have a different religion .
hatespeech_explicit_208,explicit hate,please subscribe and view my non profit white genocide jew lies playlist
hatespeech_explicit_209,explicit hate,hey  i agree . white genocide . jew driven . what was your thesis on child sacrifice ?
hatespeech_explicit_210,explicit hate,now to get pernicious greedy cancerous whites out
hatespeech_explicit_211,explicit hate,bernie was a freedom rider who racially cleansed white cities north & south . jews hate white catholics too . #dncinphl #negroinphl #orcinphl
hatespeech_explicit_212,explicit hate,"lol,,, welcome to world, this is what she lobbies for, and this is how it begins good job! good job ann you f'n tranny"
hatespeech_explicit_213,explicit hate,"Aw, ya had ta mention it...#HangTheBitches"
hatespeech_explicit_214,explicit hate,: via : boko haram leader : kill  kill  kill  kill  kill christians ! #tcot
hatespeech_explicit_215,explicit hate,sheesh . is there not one sane female ' news ' person on ? they're all stupid  racist bimbos . profiling white men ? good luck with that !
hatespeech_explicit_216,explicit hate,"  "" stop being racist "" "" lol yes  surely they will love the beaners more after you call them ' white trash . ' #diversitybraintrust """
hatespeech_explicit_217,explicit hate," uk : muslim abducts  rapes woman :  "" you white women are good at it "" "" """
hatespeech_explicit_218,explicit hate,#news channels must not invite mulla rats on tv to air anti-hindu views  they glorify invaders and anti-nationals on our money
hatespeech_explicit_219,explicit hate,"  "" : : one white person started this . so let's blame all white people . "" "" death to the whitezz "" "" """
hatespeech_explicit_220,explicit hate,it's gay but it doesn't bother me that much because white nationalism isn't bigoted and our side acted
hatespeech_explicit_221,explicit hate,white woman raped by haitan savage  blames white civilization
hatespeech_explicit_222,explicit hate,maggie dehart is a racist . i worked full time while i put myself through 7 years of post secondary  with no help . everything i own and have done in life i earned . if white privilege is a thing i have seriously been jewed .
hatespeech_explicit_223,explicit hate,some whites are very smart but most are stupid poor white trash like you .
hatespeech_explicit_224,explicit hate,a bunch of faggots laughing at us & spending money wildly while talking about fiscal conservatism & values
hatespeech_explicit_225,explicit hate,look at what this filthy  anti-white jew tim wise said . threatening trump supporters .
hatespeech_explicit_226,explicit hate," a jewish attention-whore homosexual who  "" prefers "" "" congoid men thinks he speaks for the dwindling white race """
hatespeech_explicit_227,explicit hate,muslim who murdered jewish girlfriend says im going to kill every jew . one isnt enough for me .
hatespeech_explicit_228,explicit hate,10 % of norwegian women have been raped by muslim invaders  half before they were 18 | more :
hatespeech_explicit_229,explicit hate," and your  "" white "" "" race is not pure  racial intermixing has been occurring for millenia . see hellenism """
hatespeech_explicit_230,explicit hate,learn 4 words about white western people . they are murderers who have killed millions of non white people throughout history
hatespeech_explicit_231,explicit hate,niggers are wats wrong with the world keep them out of earth they are alien
hatespeech_explicit_232,explicit hate,yeah blacks run fast but they're stupid  prone to violence  and ugly . only a white moron would mix with one .
hatespeech_explicit_233,explicit hate," what should say :  "" to violent  radical anti-white fanatics who are corrupted by jewish propaganda  know this : your days are numbered . "" "" """
hatespeech_explicit_234,explicit hate,you guys must have pretty miserable penises to hate blacks that much .
hatespeech_explicit_235,explicit hate,dual-citizen natalie portman questions centrality of fake jewish holocaust narrative
hatespeech_explicit_236,explicit hate,i want to see swedes raped to death collectively
hatespeech_explicit_237,explicit hate,yet black people continue to fail at every level of the education system . no solution for low iq !
hatespeech_explicit_238,explicit hate,promise of patriotic americans kill every member of isis kill everyone who supports them
hatespeech_explicit_239,explicit hate,proof  faggots .
hatespeech_explicit_240,explicit hate," rt : .  "" kill any jew who falls into your power "" "" - muhammad in """
hatespeech_explicit_241,explicit hate,"they are murderers, thieves and rapists. there is nothing devout or pure about them. they are degenerate satanists."
hatespeech_explicit_242,explicit hate,ban that pos plague called islam ! ! ! they are illegal here ! ! !
hatespeech_explicit_243,explicit hate,stupid white liberals at a demonstration  apologising for slavery of blacks ... words fail me ...
hatespeech_explicit_244,explicit hate,"First of all, you're a fucking wetback. Secondly, you're pro-kike, therefore anti-White. Firing squad for you, traitor."
hatespeech_explicit_245,explicit hate,yep deb black dumbocrats are loyal to the party of baby butchers . sad
hatespeech_explicit_246,explicit hate,but raping women is ok ? well  i guess that's consistent ; it's ok in the bible . that's why you support trump  aka satan's hemorrhoid .
hatespeech_explicit_247,explicit hate,"my blood is boiling! damned drunken illegals! leave, take your children and get out now!"
hatespeech_explicit_248,explicit hate,i'm sorry you lost your good workers  let the white crackers do some work to see how bad they are
hatespeech_explicit_249,explicit hate,white people crazy
hatespeech_explicit_250,explicit hate," rt  "" an imam is demanding the extermination of the jews "" "" ( via vladtepes ) the jew hate is mainstream islamic ... """
hatespeech_explicit_251,explicit hate,we are surrounded by self hating liberal white fucktards ... everywhere i look . 50 years ago this place was white ... shame
hatespeech_explicit_252,explicit hate,they're worse-useful idiot twits-fools that caused a massive flow of islam refug into eur th
hatespeech_explicit_253,explicit hate,they dump negroid invaders in lily white suicidal sweden
hatespeech_explicit_254,explicit hate,barack obama is a racist black man who hates white people.and he is a communist muslim who hates america.and it trickled down for 8 yrs .
hatespeech_explicit_255,explicit hate,he saw a movie where white people were nice and darkies wanted to kill a midget and now he must make a stand
hatespeech_explicit_256,explicit hate,Nuke 'em 'till they glow and use them for runway lights.
hatespeech_explicit_257,explicit hate,#fearthewalkingdead caption : look at all the black people die !
hatespeech_explicit_258,explicit hate,deport the invading islamic barbarians!!!
hatespeech_explicit_259,explicit hate,and that's why white brainless idiots like you support trump :)
hatespeech_explicit_260,explicit hate,with over 60 % of the white vote going to moore id say the racist homophobic redneck hillbilly demogr
hatespeech_explicit_261,explicit hate,"  "" i stand fer the confederacy but i hate you racist white people ! "" "" """
hatespeech_explicit_262,explicit hate,if you hire illegals you support slavery  cheap labor needs to go  along with you  cheap bastards !
hatespeech_explicit_263,explicit hate,the northwest front : the no-queers  no-jews  no-mudsharks alternative .
hatespeech_explicit_264,explicit hate,there's you in the crowd cuck boy
hatespeech_explicit_265,explicit hate,you got that backwards . blacks took over thriving white cities and destroyed them . you are delusional and racist .
hatespeech_explicit_266,explicit hate,black rasists don't exsist ! white = rasist . black = plague .
hatespeech_explicit_267,explicit hate,lil american white girl could kill five negros from a mile a way
hatespeech_explicit_268,explicit hate,lmao no all white people are despicable and gross and unhygienic
hatespeech_explicit_269,explicit hate,between adopting niglets  welcoming mestizos and securing israel's borders  the #cuckservative has no time left for his own white race .
hatespeech_explicit_270,explicit hate,"Every now and then, as sure as clockwork, a miserable little Internet #TROLL (such as you) comes along in order to upset the apple cart to the consternation of all #DECENT* people here online!!!!!!!! GO AWAY!!!!!!!!!!!!!!!! And get FUCKED by a horse's cock if *that* is your ultimate desire!!!!!!!!!!!!!"
hatespeech_explicit_271,explicit hate,every liberal  interacial  and white trash does
hatespeech_explicit_272,explicit hate,brain damage!! blacks never created anything but human shit
hatespeech_explicit_273,explicit hate,you jews & cucks have been leeches on america's right wing instincts for 60 years  and built only a house of cards .
hatespeech_explicit_274,explicit hate,i hope they kill white antifa .
hatespeech_explicit_275,explicit hate,idiotic masked #antifa cowards want communism in america . look how moronic these #libtard #fascists are .
hatespeech_explicit_276,explicit hate,"I'd bet a bag full of the finest jew hair that my level of hatred for kikes surpasses the entirety of the 220 million dog eating chinks in Chinkland. Not only are The Yellow Jew patterning their own culture after the bugman mentality, they are actively spewing bioindustrial waste all over their land in the name of ""progress."" Chinks are kike knockoffs. Gas 'em."
hatespeech_explicit_277,explicit hate,traitorous cucks
hatespeech_explicit_278,explicit hate,italians aren't romans . whites are just pale neanderthal half-breeds
hatespeech_explicit_279,explicit hate,the biggest racist in uk politics - diane i hate whites abbott !
hatespeech_explicit_280,explicit hate,this man has reported   and many other white brothers . he is a dirty jew and he must be stopped .
hatespeech_explicit_281,explicit hate,it's over : top cuck donald trump strikes deal on daca amnesty  no border wall funding via
hatespeech_explicit_282,explicit hate,errr don't white people massacre people almost every year ?
hatespeech_explicit_283,explicit hate,there is no hate like islamic hate .
hatespeech_explicit_284,explicit hate,cuckservatives : trump  tubmans  and trannyrestrooms
hatespeech_explicit_285,explicit hate,: another #jew admits to white #genocide being their goal . must watch # #immigration #racism
hatespeech_explicit_286,explicit hate,centers around predatory control of queers & hires molesters like . why would they hate trump ?
