id,ground_truth,text
hatespeech_implicit_51,white grievance,where's balanced immigration ? we gonna allow male isis invasion europe is having ? ! america won't be the liberal bastion of freedom anymore .
hatespeech_implicit_52,white grievance,it's the white man's fault #saysomethingliberalin4words
hatespeech_implicit_53,stereotypical,i am westgerman  rightwing but ill.mother dead.who can teach me jewish / babylonian magic ?
hatespeech_implicit_54,incitement,germany : non-white in one generation via
hatespeech_implicit_55,white grievance,anyone who doesnt agree with liberal agenda is racist . so i guess your a racist  you dont agree with me . #noamnesty
hatespeech_implicit_56,stereotypical,al qaeda to jihadis : make sure to kill white people to avoid hate crime label #orlando #al-qaeda
hatespeech_implicit_57,white grievance,he'd tell you the same today . noticing adverse events involving black people is racist .
hatespeech_implicit_58,white grievance,well jeb ! is a white #antiwhite traitor ...
hatespeech_implicit_59,inferiority,"There's African Americans and then there's black people. There's a difference. Like, Oprah is an African American, but some random black guy off the street doesn't deserve the title, you know?"
hatespeech_implicit_60,inferiority,hitler would have never sacrificed one of his own people to a turkish dog.
hatespeech_implicit_61,stereotypical," i've have been repeatingly tell people that  "" illegal-immigration "" "" is the main cause of america's great demographic shift """
hatespeech_implicit_62,white grievance,you say that if anybody objects to turning europe / america non-white ( genocide under law )  they are white supremacistsyou don't hate all whites  just the ones who object to the genocide you demand upon whites
hatespeech_implicit_63,stereotypical,daily terrorism the new normal in the lands of diversity  aka white countries & only white countries .
hatespeech_implicit_64,irony,"don't tell our cultural overlords that, though. they know better"
hatespeech_implicit_65,inferiority," rt total clown world we live in - non-whit invaders are welcomed into white countries  & white women end up  "" falling in love "" "" with them . """
hatespeech_implicit_66,incitement,this is just another good reason for white southerners to quit giving their money to the nfl .
hatespeech_implicit_67,incitement,#germans burn down more facilities planned for non-white immigrants #auspol send them back via
hatespeech_implicit_68,inferiority,"moron, palestinians have inhabited palestine since time immemorial unlike z invading ashkinazi scum."
hatespeech_implicit_69,incitement,you people are unable to  you need white people we don't need you . one way ticket to africa .
hatespeech_implicit_70,inferiority,"those australian aboriginals sure are terrible! """": a race of blue-eyed devils we live amongst. vermin of the planet"
hatespeech_implicit_71,white grievance,#charlotteriots join to put a stop to this anti-white hate .
hatespeech_implicit_72,incitement,they are not just my heroes  but of the white race . later generations will sing of their poster-affixing  sticker-sticking deeds !
hatespeech_implicit_73,white grievance,this issue is misleading  migration is legal reason for immigration reform is e . u . human trafficking ( white slavery ) .
hatespeech_implicit_74,white grievance,white genocide accelerates in #germany : three large german cities to tip non-white #auspol via
hatespeech_implicit_75,white grievance," rt and i will point it out here  when u call white people  "" white supremacist "" "" just cause they disagree with you . it's like me calling you the "" "" n "" "" word . with no proof """
hatespeech_implicit_76,incitement,i'm randomly on a white power racist website and find this ! ! ! : adolf hitler smiley face t-shirt
hatespeech_implicit_77,threatening,no amnesty. deport
hatespeech_implicit_78,incitement,we do not have to except unvetted immigrants obama's scheme to alter america's make up ..
hatespeech_implicit_79,irony,Women deserve equal rights. And Other Hilarious Jokes You Can Tell Yourself
hatespeech_implicit_80,incitement,"let businesses know that if they take this & hire illegals, they will loose american business, say no to sellouts!"
hatespeech_implicit_81,inferiority,the main threat to whites ( europeans ) are other whites ( antiwhite whites )  not any low iq 3rd worlder .
hatespeech_implicit_82,white grievance,then raise taxes on the rich dems/repubs in congress who vote for this. no healthcare for illegals!!!
hatespeech_implicit_83,inferiority,over 80% of the filthy mud invaders do not have any qualifications which destroys zog's myth of the 'professional/highly skilled migrant'!
hatespeech_implicit_84,white grievance,no new deal rt : communism in america ! thanks to obama's personal wish list.the end to white america
hatespeech_implicit_85,irony," race cucks like paul ryan should be banished to live in a  "" diverse "" "" neighbrhd if they want t spout such nonsense """
hatespeech_implicit_86,stereotypical,help us in california . they are killing americans jobs and taking over the state . some wont go out if they dont have to . a lot dont speak english . they have taken over everything . the politicians are not for americans . they are for illegals . cant move
hatespeech_implicit_87,white grievance,i think bet needs more programming with white cast members . bet must be racist al sharpton !
hatespeech_implicit_88,incitement,the south has already risen again . dixie has an economy larger than germany . we just need independence
hatespeech_implicit_89,irony,put mexican hats on the machines and drive on
hatespeech_implicit_90,stereotypical,: uk : 2007 video on muslim rape gangs not used amid fears of appearing racist
hatespeech_implicit_91,irony,"i may be powerless to stop trannies from sharing a locker room with my daughter, but gosh darn it i can get a lot of sons killed overseas!"
hatespeech_implicit_92,white grievance,these daca activists hate the us why legalize them ? ? ?
hatespeech_implicit_93,irony,Heard this from a 12 year old: 'Whats the difference between black people and apples?' I like apples
hatespeech_implicit_94,white grievance,start breeding or else white genocide accelerates in france : 1 in 3 newborns are non-white via
hatespeech_implicit_95,white grievance,the comment was more of a conditional : white people must not be fractured or we'll may
hatespeech_implicit_96,threatening,"moats, alligators and the politics of border security #afire"
hatespeech_implicit_97,threatening,can ice please arrest and deport all these undocumented jack wagons?
hatespeech_implicit_98,inferiority,"#enddaca #endh1b doesn't matter you are still illegal. even if you somehow get to stay here, your life is poisoned from its illegal"
hatespeech_implicit_99,incitement,jews and white nationalism go together like fire & diarrhea . #tcot #cuckservative
hatespeech_implicit_100,inferiority,you are a turd with eyes.
hatespeech_implicit_101,white grievance,southerners are considered ' bad whites ' msm only cared about hurricane katrina bc ... you know
hatespeech_implicit_102,white grievance,white genocide is not peace
hatespeech_implicit_103,incitement,do you believe that all muslims are enemies of the united states and that all muslims must be expelled from the u.s.?
hatespeech_implicit_104,inferiority,if black dysfunction is an indicator of institutionalized white supremacy  it appears cities get more white supremacist as they get blacker .
hatespeech_implicit_105,white grievance,anti-racist usually means anti-white . whites are only 8 % of world's population  and when you take out the liberals we are a real minority .
hatespeech_implicit_106,threatening,january 20th is an important day. roll these people up and throw them out.
hatespeech_implicit_107,inferiority,this is a white identitarian group silly  no parasites here
hatespeech_implicit_108,stereotypical," as riots rage   "" moderate "" "" palestinians circulate lie about israel trying to destroy al-aqsa mosque in 1969 : ... """
hatespeech_implicit_109,white grievance,splc preaches hate against conservatives and white people
hatespeech_implicit_110,white grievance,they want all white children to be dead .
hatespeech_implicit_111,white grievance,we is those who want white people to exist and do well . they is everyone else .
hatespeech_implicit_112,inferiority,america was meant to be a white country . jim crow was meant to preserve the america the founding fathers envisioned .
hatespeech_implicit_113,inferiority,. clearly lgbts too stupid to know difference between psychotherapy & religious prayer ! ! #tcot
hatespeech_implicit_114,inferiority,: sharia law is barbaric
hatespeech_implicit_115,white grievance,it is like calling people a witch . one day white people won't fall for it
hatespeech_implicit_116,incitement," demand majority white counties in usa become  "" white reservations "" "" via ' endangered species act'-like legislation * the only solution 4 whites """
hatespeech_implicit_117,incitement,if lauren is ' new ' southern  then grace before race yields the gift that white could keep on racing .
hatespeech_implicit_118,white grievance," rt replace  "" white people "" "" with any other race & you'd be suspended.this is mainstream culture now  when will you wake up and help your own ? """
hatespeech_implicit_119,incitement," latest track   "" ethnostate 2088 "" "" """
hatespeech_implicit_120,inferiority,deport all daca illegals. u.s taxpayer money spent on these illegals wrong and needs to stop. article shows they are not intelligent by any stretch but they do know how to use the u.s. taxpayer thanks to democrats in congress and their crooked ways.
hatespeech_implicit_121,stereotypical,"  "" : non-white hate crime mob violence comes to finland ( video ) via "" "" """
hatespeech_implicit_122,incitement,if you don't put your money where your mouth and heart are then you don't care . donate to a pro-white organization today !
hatespeech_implicit_123,incitement,"1952 by the un our constitution was amended to ban all islamic people from usa, trump is right these people are to dangerous to america !!!"
hatespeech_implicit_124,white grievance,working class white people voting in their self interests are vilified in the press as racist xenophobic bigots .
hatespeech_implicit_125,white grievance,the globalist multicultural anti-white minions gonna hate . whatcha gonna do  smh . keep it up jess  we're winning .
hatespeech_implicit_126,stereotypical,heretics = infidels halal to kill
hatespeech_implicit_127,incitement,it took 160 years  but only now is the conquest of the south being finalized .
hatespeech_implicit_128,white grievance,antifa hate whites . many are self hating white psychopaths ...
hatespeech_implicit_129,incitement,: southern nationalism has a better chance in dixie  than wn / ns does in yankeedom or pacifica .
hatespeech_implicit_130,incitement,that will happen . the alt-right nationalist vibe is strong . and growing stronger . soldier on to victory .
hatespeech_implicit_131,threatening,"that's correct, fuel & encourage the jews 2 kill of the muslims themselves, when both sides r wiped out we can take over the oil."
hatespeech_implicit_132,white grievance,you're delusional . firstly race determines culture & secondly race relations continue to decline due to forcing diversity on the white west .
hatespeech_implicit_133,incitement,the scythians return for the remnant before they all head off to europe . #altright is going after the rest of our human capital : hahah real #israelites
hatespeech_implicit_134,white grievance,wonder if white separatist will discuss #racist prison gangs killing law officials at conference near nashville  tn this wknd
hatespeech_implicit_135,white grievance,being white in philly : pennsylvania h / t sbpdl the black mayor of philadelphia is trying to the human rights c ...
hatespeech_implicit_136,stereotypical,the jews again . jew hate is prevalent in muslim communities .
hatespeech_implicit_137,incitement,barbados  the birthplace of new world slave societies  is the most successful black country .
hatespeech_implicit_138,irony,what's next? maybe he will give muslims the white house a new car. new houses and more
hatespeech_implicit_139,white grievance,and exactly why do white lives matter rallies offend american values ? white people founded this country .
hatespeech_implicit_140,stereotypical,then what do you want ? i want to be able to live on the south side ... but black crime dissuades that . #chicago
hatespeech_implicit_141,irony,A black man walks into a bar with a parrot on his shoulder. Bar tender goes he man that's neat where did you get that?   The parrot says Africa there all over the fucking place!
hatespeech_implicit_142,inferiority,"it just amazes me how so called starving people have energy to have sex, but no energy to help their own living standards."
hatespeech_implicit_143,inferiority,they are worse than slaves & black americans flocking to islam.
hatespeech_implicit_144,inferiority,"third world immigration will destroy western civilization long before climate change, and who gives a shit if the brown people who replace us have comfy weather?"
hatespeech_implicit_145,inferiority,: degenerate black racist murdered young white national socialist for swastikatattoo by
hatespeech_implicit_146,stereotypical," democracy is being governed by a  "" majority "" "" of wealthy jews and their non-white identity group lackeys """
hatespeech_implicit_147,stereotypical," rt video :  "" exterminate all whites "" "" says jew professor noel ignatiev | more : """
hatespeech_implicit_148,stereotypical,‘George Soros wants to remove Slovakia’s anti-immigration government.’
hatespeech_implicit_149,incitement,following the jcc arrest  can we be smarter about anti-semitism ? via
hatespeech_implicit_150,irony,What's the difference between a black person and a bicycle? The bicycle doesn't start singing when you put chains on it.
hatespeech_implicit_151,irony,"now if that isn't the pot calling the kettle mexican, i don't know what is!"
hatespeech_implicit_152,white grievance,the black football player that punched a white girl in the face  gets to stay at school and continue playing . white privilege ?
hatespeech_implicit_153,incitement,"california is violating constitutional law,so let's just break them off,and give em back to mexico"
hatespeech_implicit_154,inferiority,that's a consolationto be killed by a middle class  educated jihadi rather than by
hatespeech_implicit_155,inferiority,"when it comes to dirty laundry, the world is the maid of the middle east"
hatespeech_implicit_156,stereotypical,look - another parrott / heimbach tradworker spreading false sexual smears about a pro-white activist - what trad workers always do - make up false sexual smears about anyone trying to help white people  like . go tell your ( ( ( boss ) ) ) it's not working  #tradworker
hatespeech_implicit_157,inferiority,we really dont care about offending you fools..just stay there an slaughter eachother.fuqin animals
hatespeech_implicit_158,white grievance,: detroit : the death of white civilisation
hatespeech_implicit_159,incitement,#aryan men & women will either rise up to fight for their heritage  children  & future  or the white race will cease to exist . choose now .
hatespeech_implicit_160,white grievance,a future for white kids .
hatespeech_implicit_161,white grievance,#whitegenocide means no more white children .
hatespeech_implicit_162,white grievance,nomore babysitters for the illegals breaking the law .
hatespeech_implicit_163,white grievance,splc uses itunes to help gather donations to finish destroying the white race via
hatespeech_implicit_164,stereotypical,... criticism as islamophobia and / or racist abuse because you are scared .
hatespeech_implicit_165,white grievance,"  "" race problem "" "" = white problem.diversity is the final solution to the white problem.diversity means #chasingdownwhites . """
hatespeech_implicit_166,incitement,that banner you are holding  is invented by white people  even the clothes you are wearin
hatespeech_implicit_167,incitement,white and black is none of our business ; only aryans are invited
hatespeech_implicit_168,threatening,go to cabellas and get own with 32 round clips start firing at all illegals before they cross borders
hatespeech_implicit_169,threatening,time to purge within our own communities. make all suspected muslims dissapear. do it in a fashion where nobody will notice. make examples!
hatespeech_implicit_170,incitement,it may be stigmatized  but it is real ; the us flag is losing relevance for all us whites  one knee at a time .
hatespeech_implicit_171,threatening,well white people have killed a lot of people so maybe it's a good thing . or maybe we should just kill vile nazis like you .
hatespeech_implicit_172,white grievance,pathological altruism . the nail in the coffin for the white race .
hatespeech_implicit_173,white grievance,u can stick that hood where the sun don't shine you freaks call every white person against illegal immigration racist
hatespeech_implicit_174,irony,jackin it to the statue of david to uhhh save the white race
hatespeech_implicit_175,stereotypical,hey hillary why do you take millions in donations from arab nations who beat rape and kill innocent women and young girls ?
hatespeech_implicit_176,inferiority,i believe they are too lazy. isn't that why we went and brought back slaves in the first place?
hatespeech_implicit_177,inferiority,"no, nothing about hating degeneracy is unhealthy."
hatespeech_implicit_178,inferiority,blue lives do matterwhen the cop is white
hatespeech_implicit_179,inferiority,#arkansas always bn infested w / incestuous  psychotic  white supremacist trash & still supports #hillbilly2
hatespeech_implicit_180,white grievance,enjoy your white genocide
hatespeech_implicit_181,inferiority,Africans actually have more of some things. Like infant mortality.
hatespeech_implicit_182,stereotypical,so answer this : are u jewish ? cause jews  though they have some white blood  are semites and many jews claim to be white when convenient .
hatespeech_implicit_183,irony,there's always a jew in the woodpile ...
hatespeech_implicit_184,irony,you evil white ( not-white ) supremacist ! ! honestly i expect the next left attack on poc that support to be that you imagine you are .
hatespeech_implicit_185,inferiority,"grow your own. they're almost impossible to screw up, you imbicile"
hatespeech_implicit_186,white grievance,another california public school persecutes a white student . #tcot #whitepeople
hatespeech_implicit_187,white grievance," what's even more disgusting is that if you give in to their agenda as a white person your  "" white privilege "" "" is excused :d """
hatespeech_implicit_188,white grievance,if a non-white wants a white person to be fired or exiled etc.all they need to do is claim the white p
hatespeech_implicit_189,incitement,i think richard spencer would say a white ethnostate is a dream meant to inspire
hatespeech_implicit_190,threatening,baltimore don't you have enough problems get illegals out & apparently the prosecutors giving this type of advice need to be fired
hatespeech_implicit_191,incitement,i support the alt right aspersions for portion of us to be all white ethnostate  even
hatespeech_implicit_192,incitement,cousyness factor 1488  makeeuropegreatagain  preserve white volk ! #svpol #vpol #migpol #makeeuropegreatagain #eupol
hatespeech_implicit_193,incitement,many thanks to all of you who have retweeted our tweets ! ! we appreciate it 88 ! #hitler #wpww #whitepride
hatespeech_implicit_194,white grievance,this has got to stop! petition2fire lopez attempt 2indoctrinate our kids!
hatespeech_implicit_195,stereotypical,these are just young people who are looking for ooportunities in our country  the american dream ... to kill actual americans who are too stupid to stop them from coming here
hatespeech_implicit_196,threatening,just my opinion but britain needs to take a page from n.ireland and bomb all the mosques.
hatespeech_implicit_197,incitement,i will take white nationalism > jewish nationalism
hatespeech_implicit_198,incitement,auschwitz didn't have a cinema and swimming pool for its prisoners ! #kkk #bbc3 #auschwitz #stopracism #alllivesmatter
hatespeech_implicit_199,white grievance,dr . david duke : the racial murder and rape of white women in america | read more : via
hatespeech_implicit_200,inferiority,border agent: obama 'catch and release' policies fueling illegal immigration to u.s.
hatespeech_implicit_201,stereotypical,islam phobia = is going to kill you
hatespeech_implicit_202,inferiority,"way to control men. the ignorant mohammid, couldn't read or write so someone like his wife kadisha, wrote it to fill her pockets with gold."
hatespeech_implicit_203,white grievance,in meantime whites / alt-right must focus on helping themselves and establishing their own web tech to ev
hatespeech_implicit_204,white grievance,it's wonderful if these white women will wake up to anti-white racism.but some whites love to be punished for being white .
hatespeech_implicit_205,stereotypical,muslims will not condemn koranic verses . making them all part of the problem .
hatespeech_implicit_206,white grievance,cops kill more whites than blacks .
hatespeech_implicit_207,incitement,they were good allies of hitler and still revere him today so that's a good thing :)
hatespeech_implicit_208,incitement,the key to maintaining a civilized society is maintaining the white race ! deport the third worlders !
hatespeech_implicit_209,threatening,we should kick their asses back to their own countries. imagine what they will demand when they decide to stay here after college???
hatespeech_implicit_210,stereotypical,i'm surprised that jihad enablers would not be onto you  but anyway smears are all from you to me  not vice versa
hatespeech_implicit_211,irony,What do you call a picture of smoke? A Jewish family photo
hatespeech_implicit_212,white grievance,you sound like a racist . do you hate white people  support genocide of native whites ?
hatespeech_implicit_213,incitement,send the illegals back.the parents should have entered legally.mexico will take them back .
hatespeech_implicit_214,irony,look  as long as you goys don't point out that jews get zionism & israel  and we suppress white nationa
hatespeech_implicit_215,stereotypical,i am not jewish blood . i don't support jew agenda's or jew supremacy . jason are you a jewish supremacist ?
hatespeech_implicit_216,irony,"How do you always win an argument against a black person? Call him ""Dad"" and he'll run away."
hatespeech_implicit_217,stereotypical,another white man shot by blacks over confederate flag on his car via
hatespeech_implicit_218,incitement,if only the fuhrer would have given rommel one more division in north africa ...
hatespeech_implicit_219,inferiority,if he really wants 2 b a chic its just as gross as white women dating blacks . we should preserve the white race .
hatespeech_implicit_220,white grievance,refugees can go right to social security and all other social benefits day one.
hatespeech_implicit_221,irony,naw - they can resort to what they're best at - 'hawking' that dope !
hatespeech_implicit_222,irony,black people only seem to thrive in white countries . how strange .
hatespeech_implicit_223,stereotypical,"Believe me, my son is NOT gay. He has never once touched a Barbie, he's built like a linebacker, and he's a real man's man."
hatespeech_implicit_224,threatening,the best medicine for perverts is to ship to isil..they will take good care of u..
hatespeech_implicit_225,stereotypical,Has that frickin boon doggle Obama been arrested yet?
hatespeech_implicit_226,inferiority,"either way, animals."
hatespeech_implicit_227,incitement,"  "" : blood & honour - white aryan resistance t-shirt from the white resister : "" "" ; """
hatespeech_implicit_228,incitement,liverpool jews very unhappy about upcoming white man march va
hatespeech_implicit_229,irony,billy boy will select a harem for himself if he is put in charge!
hatespeech_implicit_230,threatening,Pedos going down
hatespeech_implicit_231,incitement," white people are beautiful . whiteness should be treasured and preserved . i know its scandalous . i don't care about being  "" mainstream "" "" """
hatespeech_implicit_232,inferiority,seriously ? see baltimore  dc  detroit  chicago  st . louis  nola  every black nation in africa after european or indian withdrawal .
hatespeech_implicit_233,white grievance,globalization = white genocide . usa next on the list ! never in america . keep your guns !
hatespeech_implicit_234,incitement,"  "" you need a bombed out white civilization for black run america to work . "" "" """
hatespeech_implicit_235,stereotypical,isn't that how it usually begins ? this hatred for infidels and belief in islamic supremacy etc .
hatespeech_implicit_236,threatening,hang them by the neck!!
hatespeech_implicit_237,inferiority,70 million us white christian racist superiors are in 21st century against racial mix.please be fai
hatespeech_implicit_238,stereotypical,aggressive hiv strain causes aids faster - african expected to bring it to the usa and europe via
hatespeech_implicit_239,stereotypical,dressing like their dads or milton from office space . they selling me annuities insurance along with the ethnostate ?
hatespeech_implicit_240,white grievance,the false narrative : it's open season on killing whites and cops via
hatespeech_implicit_241,stereotypical,the third-world colonization of australia has continued apace ! read more : via
hatespeech_implicit_242,white grievance,i suppose european patriots do ' hate ' in the sense they hate the idea of white demise and displacement .
hatespeech_implicit_243,white grievance," so basically your ok with no firing blacks and affirmative action but firing whites because  "" muh free market "" "" . ok . """
hatespeech_implicit_244,white grievance,fight white genocide ! #whitegenocide #jewishsupremacy
hatespeech_implicit_245,irony,"quote from democrats """"e-verify system will disadvantage many illegal immigrants in the agriculture sector."""" god forbid."
hatespeech_implicit_246,inferiority,civilized world must set aside its differences at least for time being to wipe out the barbarians or else live in permanent fear & #terror.
hatespeech_implicit_247,white grievance,white south africans trapped like frogs in boiling water anti-white racial violence escalates #swrm #whitegenocide
hatespeech_implicit_248,threatening,turn them into road pizza!
hatespeech_implicit_249,inferiority,first save yourselves from barbarians you created 1400 years ago from islamic technology; you pigs have no idea
hatespeech_implicit_250,white grievance,: new black panther negroes started mobilization to burn white communities
hatespeech_implicit_251,stereotypical,"  "" jewish "" "" bolsheviks are a clever bunch . "" "" zionists "" "" . "" "" neo cons "" "" . they own our media . """
hatespeech_implicit_252,inferiority,are u denying the average black iq around the planet is 85 ? btw are u black ?
hatespeech_implicit_253,inferiority,"what is this absolute garbage doing on my timeline? i live in a sanctuary city, you useless idiots. crawl back under the rock you came from."
hatespeech_implicit_254,incitement,are you a student and sick of the #antiwhite message on campus ? john us . #projectsiege
hatespeech_implicit_255,incitement,help us honor george lincoln rockwell today by going the extra mile with literature distribution : #wpww #whitepride
hatespeech_implicit_256,white grievance,so you admit you hold whites to a higher standard than non-whites  you racist you .
hatespeech_implicit_257,white grievance,jew caught and tortured rudolkf hoess : uncle ...
hatespeech_implicit_258,white grievance,the white genocide manifesto via
hatespeech_implicit_259,stereotypical,freeze religious proportion of voters at 1947 level  no voting right for having more than 2 children
hatespeech_implicit_260,white grievance,obama knows that and is why he has a sharia czar in the whitehouse
hatespeech_implicit_261,threatening,close down the borders!! allow non government working class to watch them
hatespeech_implicit_262,incitement,"  "" optics frat "" "" - i . e .  "" "" i'm interested in being a spectacle for the anti-white media  not organizing white people into a cohesive pro-white movement . "" "" being a clown will get your media coverage . is your goal is to get on tv for a 2 minute hate ? """
hatespeech_implicit_263,incitement,: islam is not a race ? obama white house wants to change that via
hatespeech_implicit_264,white grievance,white men must act to save the honour of white women and girls .
hatespeech_implicit_265,stereotypical,belgium : non-white invader rapes white woman after dont rape course : via
hatespeech_implicit_266,white grievance,weak white people have nearly destroyed us . no other race is so self-hating .
hatespeech_implicit_267,incitement,what about the betsy ross flag  though ? back-to-basics white nationalism  13 white ethnostate
hatespeech_implicit_268,stereotypical,anti-racist activist raped by non-white illegal immigrant after attending anti-racism festival va
hatespeech_implicit_269,white grievance,i have a shocker for you  there are no white supremacists  but there are white ( ( ( supremacists ) ) )
hatespeech_implicit_270,threatening,"people, get on the horn & call the senate now to stop this big govt dysfunction called #amnesty. time is running out! call now 202.224.3121"
hatespeech_implicit_271,inferiority,it goes way deeper than skin . racial iq  k / r selection  evolutionary psychology  etc .
hatespeech_implicit_272,threatening,build the wall. deport all illegals
hatespeech_implicit_273,inferiority,"ur right it's simple! islam is not part of our civilization via bill warner, phd:"
hatespeech_implicit_274,white grievance,i dont know why you feel the need to call us neo-nazis for openly defending our people . black lives matter must be neo-nazis as well just like the mexican government that has it written in their constitution that demographics must be protected .
hatespeech_implicit_275,incitement,russia is the only white nation in the world . white people the world over should embrace putin . he knows how to pull this .
hatespeech_implicit_276,white grievance,if it is so sad why you jews want it for pple of white race ?
hatespeech_implicit_277,white grievance,social justice = black allowed to kill white .
hatespeech_implicit_278,white grievance,all black people are racist .
hatespeech_implicit_279,stereotypical," rt  "" i hate you all "" "" - racist note from the black boy who raped his white teacher & slit her throat via """
hatespeech_implicit_280,white grievance,people are getting more tribal and racially aware every day  mainly due to leftists going all-out anti-white  and pro-white-genocide . thus .
hatespeech_implicit_281,stereotypical," rt dawa = > barbaric  totalitarian political ideology intent on enslaving all human beings for  "" allah "" "" imagine founding a club on these principles """
hatespeech_implicit_282,stereotypical,ur black kill him
hatespeech_implicit_283,threatening,that's right cut off all funding to these so called sanctuary cities and let them fend for themselves they will regret it in the end
hatespeech_implicit_284,incitement,serbian parliament gives jews $ 1 million per year for holocaust restitution #withjewswelose
hatespeech_implicit_285,white grievance,hey white people . if you don't hate yourself  don't want to be killed or honor murdered white people  you are a bigot and hater !
hatespeech_implicit_286,white grievance,white supremacists were less than . 02 of the pop before they amped up the war on white people . that numbers tripled . they are forcing this .
