id,year,party,text,ground_truth,manifesto_id,date,cmp_code,countryname,partyname,partyabbrev,parfam
manifestos_issues_detailed_38,2013,23420,Promoting. organic. farming,Agriculture and Farmers,23420_201310,201310,703,Luxembourg,Democratic Party,DP/PD,40
manifestos_issues_detailed_39,2000,93430,"develop and improve communal roads,",Agriculture and Farmers,93430_200011,200011,703,Romania,National Liberal Party,PNL,40
manifestos_issues_detailed_40,2015,51421,shifting CAP payments to the active farmer rather than the landowner.,Agriculture and Farmers,51421_201505,201505,703,United Kingdom,Liberal Democrats,LibDems,40
manifestos_issues_detailed_41,2015,51421,Liberal Democrats have kept farming and the natural environment at the top of the agenda over the past five years.,Agriculture and Farmers,51421_201505,201505,703,United Kingdom,Liberal Democrats,LibDems,40
manifestos_issues_detailed_42,2002,86422,"(the more they spend on their agricultural sector, the richer they are).",Agriculture and Farmers,86422_200204,200204,703,Hungary,Alliance of Free Democrats,SzDSz,40
manifestos_issues_detailed_43,2012,88450,and land management will become more rational and in line with people's expectations. ,Agriculture and Farmers,88450_201210,201210,703,Lithuania,Liberal Movement,LRLS,40
manifestos_issues_detailed_44,2002,86422,but the adjustment to the new world economic situation was mainly hindered by domestic agricultural policy.,Agriculture and Farmers,86422_200204,200204,703,Hungary,Alliance of Free Democrats,SzDSz,40
manifestos_issues_detailed_45,2010,96440,"In agriculture, it is particularly true that major changes in legislation and regulations are being formulated at European Union level.",Agriculture and Farmers,96440_201006,201006,703,Slovakia,Freedom and Solidarity,SaS,40
manifestos_issues_detailed_46,2009,181411,Reviewing the budgets and guaranteeing the political independence of research organisations like the Agricultural Research Centre.,Agriculture and Farmers,181411_200904,200904,703,South Africa,Democratic Alliance,DA,40
manifestos_issues_detailed_47,2012,88440,We will encourage people to create and develop traditional and alternative businesses.,Agriculture and Farmers,88440_201210,201210,703,Lithuania,Labour Party,DP,40
manifestos_issues_detailed_48,2004,23420,"Here, action must be taken in accordance with the precautionary principle.",Agriculture and Farmers,23420_200406,200406,703,Luxembourg,Democratic Party,DP/PD,40
manifestos_issues_detailed_49,2009,181411,Reinstating the Territorial Reserves (the Commando system) to help with rural security.,Agriculture and Farmers,181411_200904,200904,703,South Africa,Democratic Alliance,DA,40
manifestos_issues_detailed_50,2005,12420,The complicated regulations and many agricultural laws are an obstacle to the development of a more flexible agriculture where those who want to invest in the industry have the opportunity to do so.,Agriculture and Farmers,12420_200509,200509,703,Norway,Liberal Party,V,40
manifestos_issues_detailed_51,2009,80510,Optimising the Rural Development Programme in view of the changes in the country and the reform of the EU Common Agricultural Policy;,Agriculture and Farmers,80510_200907,200907,703,Bulgaria,Citizens for European Development of Bulgaria,GERB,50
manifestos_issues_detailed_52,2013,80510,Farms that did not meet the requirements of various European regulations within the time limit were not allowed to close,Agriculture and Farmers,80510_201305,201305,703,Bulgaria,Citizens for European Development of Bulgaria,GERB,50
manifestos_issues_detailed_53,2011,35520,Forestry registration is essential and has to be done.,Agriculture and Farmers,35520_201106,201106,703,Portugal,Social Democratic Center-Popular Party,CDS-PP,50
manifestos_issues_detailed_54,2004,34511,"- ATE's interest rates for professional farmers will be reduced by the amount of the State subsidy, compared to the corresponding market rates, and not as is currently the case.",Agriculture and Farmers,34511_200403,200403,703,Greece,New Democracy,ND,50
manifestos_issues_detailed_55,2004,34511,"Greek agricultural products, especially those characterised as Mediterranean, would find their way to the consumer markets of Central and Northern Europe and the trade balance of agricultural products would improve significantly, to the benefit of farmers and the national economy.",Agriculture and Farmers,34511_200403,200403,703,Greece,New Democracy,ND,50
manifestos_issues_detailed_56,2009,23520,The CSV would like to see agricultural technical colleges given the financial and infrastructural resources they need to carry out all their missions.,Agriculture and Farmers,23520_200906,200906,703,Luxembourg,Christian Social People’s Party,CSV/PCS,50
manifestos_issues_detailed_57,2004,34511,Eight directions for Rural Development,Agriculture and Farmers,34511_200403,200403,703,Greece,New Democracy,ND,50
manifestos_issues_detailed_58,2004,34511,The settlement will be different for farmers than for other debtors.,Agriculture and Farmers,34511_200403,200403,703,Greece,New Democracy,ND,50
manifestos_issues_detailed_59,2007,53520,"This will be carried out in partnership with the stakeholders,",Agriculture and Farmers,53520_200705,200705,703,Ireland,Family of the Irish,,50
manifestos_issues_detailed_60,2006,42520,With the Green Pact for Austria's agriculture,Agriculture and Farmers,42520_200610,200610,703,Austria,Austrian People’s Party,ÖVP,50
manifestos_issues_detailed_61,2013,23520,Winegrowing is what makes the Moselle region so special.,Agriculture and Farmers,23520_201310,201310,703,Luxembourg,Christian Social People’s Party,CSV/PCS,50
manifestos_issues_detailed_62,2012,96523,We will push for a level playing field for farmers from all EU Member States under the EU's Common Agricultural Policy.,Agriculture and Farmers,96523_201203,201203,703,Slovakia,Slovak Democratic and Christian Union - Democartic Party,SDKÚ-DS,50
manifestos_issues_detailed_63,2005,12520,that production-dependent support schemes should continue to form an important part of the public support schemes for agriculture.,Agriculture and Farmers,12520_200509,200509,703,Norway,Christian People’s Party,KrF,50
manifestos_issues_detailed_64,2002,42520,and veterinary medicinal products.,Agriculture and Farmers,42520_200211,200211,703,Austria,Austrian People’s Party,ÖVP,50
manifestos_issues_detailed_65,2008,97521,"We are committed to farming in a way that does not have a negative impact on the environment, that does not impoverish our space with native plants and animals, and that guarantees the preservation of our space for the future.",Agriculture and Farmers,97521_200809,200809,703,Slovenia,Slovenian People's Party,SLS,50
manifestos_issues_detailed_66,2006,22521,Quitting a business or finding that there are no prospects for the next generation is painful.,Agriculture and Farmers,22521_200611,200611,703,Netherlands,Christian Democratic Appeal,CDA,50
manifestos_issues_detailed_67,2007,53620,Secure the highest achievable level of support for the farming sector at EU and WTO levels.,Agriculture and Farmers,53620_200705,200705,703,Ireland,Soldiers of Destiny,,60
manifestos_issues_detailed_68,2011,92436,"In this regard, it will be necessary to organize the efficient and effective work of paying agencies and provide budget resources for co-financing, as well as support for farmers from the agricultural advisory system.",Agriculture and Farmers,92436_201110,201110,703,Poland,Law and Justice,PiS,60
manifestos_issues_detailed_69,2011,92436,This requires the development of a scholarship program for these young people.,Agriculture and Farmers,92436_201110,201110,703,Poland,Law and Justice,PiS,60
manifestos_issues_detailed_70,2011,14620,"In a better nation, food culture is developed by promoting both organic food production and the use of local food, including in school meals.",Agriculture and Farmers,14620_201104,201104,703,Finland,National Coalition,KK,60
manifestos_issues_detailed_71,2002,74628,"Considering that the population and national income of our country increased during this period, it is better understood how great the decline in the livestock sector has been.",Agriculture and Farmers,74628_200211,200211,703,Turkey,Justice and Development Party,AKP,60
manifestos_issues_detailed_72,2015,62623,"Today, Canada's commercial fishery employs, directly and indirectly, about 80,000 Canadians, and exports about $5 billion worth of fish and other seafood every year.",Agriculture and Farmers,62623_201510,201510,703,Canada,Conservative Party of Canada,CP,60
manifestos_issues_detailed_73,2006,86421,We will develop an efficient and comprehensive agricultural insurance system to manage farmers' business risks.,Agriculture and Farmers,86421_200604,200604,703,Hungary,Alliance of Federation of Young Democrats - Hungarian Civic Union - Christian Democratic People's Party,FiDeSz-MPSz-KDNP,60
manifestos_issues_detailed_74,2012,88621,"We will continue to fund initiatives by associations of users of drainage facilities, including the development of new soil improvement systems.",Agriculture and Farmers,88621_201210,201210,703,Lithuania,Homeland Union - Lithuanian Christian Democrats,TS-LKD,60
manifestos_issues_detailed_75,2000,88620,reduced agricultural dependence on the volatile Russian market;,Agriculture and Farmers,88620_200010,200010,703,Lithuania,Homeland Union,TS,60
manifestos_issues_detailed_76,2003,171601,"Reform the Income Tax Law to establish tax incentives for individuals and corporations that make direct investments in the sector and related services, such as port infrastructure, cold storage, storage and transportation networks, among others.",Agriculture and Farmers,171601_200306,200306,703,Mexico,Alliance for Change,,60
manifestos_issues_detailed_77,2011,64620,We will introduce offsetting on 1 January 2013 regardless of the lack of international agreement.,Agriculture and Farmers,64620_201111,201111,703,New Zealand,New Zealand National Party,National,60
manifestos_issues_detailed_78,2012,31630,This new agricultural law must also be a law for the competitiveness of our agriculture in an open European and global economy.,Agriculture and Farmers,31630_201206,201206,703,France,New Centre,NC,60
manifestos_issues_detailed_79,2011,92436,They became centers of social and political alignments and interest groups.,Agriculture and Farmers,92436_201110,201110,703,Poland,Law and Justice,PiS,60
manifestos_issues_detailed_80,2015,62623,And we've announced key programs to ensure Canada's supply-managed sectors -- and the communities that depend on them -- continue to thrive.,Agriculture and Farmers,62623_201510,201510,703,Canada,Conservative Party of Canada,CP,60
manifestos_issues_detailed_81,2007,83611,We are completing land reform.,Agriculture and Farmers,83611_200703,200703,703,Estonia,Pro Patria and Res Publica Union,IRL,60
manifestos_issues_detailed_82,2008,61620,"Our farm economy produces for the world; its prosperity depends, more than ever before, on open markets.",Agriculture and Farmers,61620_200811,200811,703,United States,Republican Party,Republicans,60
manifestos_issues_detailed_83,2009,12620,right will pursue a policy that aims to make it easier to develop a more varied and exciting range of Norwegian-produced food products.,Agriculture and Farmers,12620_200909,200909,703,Norway,Conservative Party,H,60
manifestos_issues_detailed_84,2011,14820,Generational transfers of farms or businesses should be promoted by simplifying legislation.,Agriculture and Farmers,14820_201104,201104,703,Finland,True Finns,PS,70
manifestos_issues_detailed_85,2013,80710,the rate on other Bulgarian products should be 5%.,Agriculture and Farmers,80710_201305,201305,703,Bulgaria,National Union Attack,ATAKA,70
manifestos_issues_detailed_86,2013,63710,"Again, gross farm debt has been increasing steadily while net farm income remains constant.",Agriculture and Farmers,63710_201309,201309,703,Australia,Katter's Australian Party,KAT,70
manifestos_issues_detailed_87,2012,93981,Promoting and developing agrotourism,Agriculture and Farmers,93981_201212,201212,703,Romania,People's Party - Dan Dianconescu,PP-DD,70
manifestos_issues_detailed_88,2013,63710,"In effect, the agricultural economy will always fall behind the broader economy with the free market mentality that economic rationalists have so fervently and recklessly pursued.",Agriculture and Farmers,63710_201309,201309,703,Australia,Katter's Australian Party,KAT,70
manifestos_issues_detailed_89,2013,63710,Farm debt is steadily increasing while net farm incomes are not increasing with the debt.,Agriculture and Farmers,63710_201309,201309,703,Australia,Katter's Australian Party,KAT,70
manifestos_issues_detailed_90,2006,96711,"and increase the share of agricultural products for industrial processing, following EU recommendations.",Agriculture and Farmers,96711_200606,200606,703,Slovakia,Movement for a Democratic Slovakia,HZDS,70
manifestos_issues_detailed_91,2011,74712,"Livestock will be supported,",Agriculture and Farmers,74712_201106,201106,703,Turkey,National Action Party,MHP,70
manifestos_issues_detailed_92,2013,80710,Due to the great age (almost half a century) of the land consolidation it was possible that the land division became a big scam where thousands of owners were deceived and did not receive their inherited lands within their real boundaries.,Agriculture and Farmers,80710_201305,201305,703,Bulgaria,National Union Attack,ATAKA,70
manifestos_issues_detailed_93,2001,63810,"In the meantime, water is the immediate problem, because both NSW and Queensland State  Governments have moved to reduce irrigation allocations without proper compensation.",Agriculture and Farmers,63810_200111,200111,703,Australia,National Party of Australia,NPA,80
manifestos_issues_detailed_94,2009,12810,", food supply",Agriculture and Farmers,12810_200909,200909,703,Norway,Centre Party,Sp,80
manifestos_issues_detailed_95,2002,86810,"their disadvantaged position is removed,",Agriculture and Farmers,86810_200204,200204,703,Hungary,Independent Smallholders’ Party,FKgP,80
manifestos_issues_detailed_96,2010,63810,Increased support for quarantine and biosecurity,Agriculture and Farmers,63810_201008,201008,703,Australia,National Party of Australia,NPA,80
manifestos_issues_detailed_97,2010,63810,Develop and implement a strategic plan for food security for rest of the 21st  Century.,Agriculture and Farmers,63810_201008,201008,703,Australia,National Party of Australia,NPA,80
manifestos_issues_detailed_98,2009,12810,Introduce state subsidies for new cultivation of land.,Agriculture and Farmers,12810_200909,200909,703,Norway,Centre Party,Sp,80
manifestos_issues_detailed_99,2002,86810,"if it has, we will take it back!",Agriculture and Farmers,86810_200204,200204,703,Hungary,Independent Smallholders’ Party,FKgP,80
manifestos_issues_detailed_100,2007,14810,"ensure up-to-date, adequately resourced and high-quality advice on agriculture and forestry.",Agriculture and Farmers,14810_200703,200703,703,Finland,Finnish Centre,SK,80
manifestos_issues_detailed_101,2011,14810,"The growing global demand for food, clean water, bioenergy and fibre also opens up a whole new horizon for Finnish agriculture, forestry and the countryside as a whole.",Agriculture and Farmers,14810_201104,201104,703,Finland,Finnish Centre,SK,80
manifestos_issues_detailed_102,2011,33091,"To this end, Geroa Bai considers that agriculture and livestock farming should continue to be an important pillar of the rural economy, whose exploitation should preferably be family-based, together with the creation of small and medium-sized industrial and service companies.",Agriculture and Farmers,33091_201111,201111,703,Spain,Future Yes,,90
manifestos_issues_detailed_103,2012,93951,Agriculture in Romania is based on a special system of family farms.,Agriculture and Farmers,93951_201212,201212,703,Romania,Hungarian Democratic Alliance of Romania,UDMR/RMDSz,90
manifestos_issues_detailed_104,2011,33907,"R&D&I is a key factor in improving the competitiveness of the agricultural sector, taking into account the important role it can play in the fight against climate change and in the protection and enhancement of biodiversity.",Agriculture and Farmers,33907_201111,201111,703,Spain,Canarian Coalition,CC,90
manifestos_issues_detailed_105,2000,93951,development of the industry linked to the marketing of agricultural products and services - rural tourism - by exploiting existing conditions;,Agriculture and Farmers,93951_200011,200011,703,Romania,Hungarian Democratic Alliance of Romania,UDMR/RMDSz,90
manifestos_issues_detailed_106,2011,33612,and recovery of traditional infrastructures adapted to current conditions.,Agriculture and Farmers,33612_201111,201111,703,Spain,Forum Asturias,FAC,90
manifestos_issues_detailed_107,2000,33611,"An Animal Health Plan will be established in coordination with the Autonomous Communities in order to implement a model to detect, fight and suppress any outbreak of infection or animal scourge, whether from the Community or from third countries,",Agriculture and Farmers,33611_200003,200003,703,Spain,Convergence and Union,CiU,90
manifestos_issues_detailed_108,2000,33902,"Likewise, in view of the globalization of world markets, it is necessary to promote initiatives for food quality and differentiation, and to create instruments to defend our products against the massive entry of products from third countries.",Agriculture and Farmers,33902_200003,200003,703,Spain,Basque Nationalist Party,PNV/EAJ,90
manifestos_issues_detailed_109,2014,181910,"In one province alone the State owns 600,000 hectares, which emerging black farmers could own without the need for government to pay compensation.",Agriculture and Farmers,181910_201405,201405,703,South Africa,Inkatha Freedom Party,IFP,90
manifestos_issues_detailed_110,2006,62901,"By comparison, Canada's rate is 49.1%.",Agriculture and Farmers,62901_200601,200601,703,Canada,Quebec Bloc,BQ,90
manifestos_issues_detailed_111,2008,62901,"The Bloc Québécois proposes that the Department of Fisheries and Oceans fund a plan to buy back fishing licenses with new money, while ensuring equitable regional sharing of fish stocks.",Agriculture and Farmers,62901_200810,200810,703,Canada,Quebec Bloc,BQ,90
manifestos_issues_detailed_112,2008,33907,"The establishment of a distribution center for Canary Island products to facilitate their commercialization on the European continent, especially with regard to the flower, plant and cuttings sector.",Agriculture and Farmers,33907_200803,200803,703,Spain,Canarian Coalition,CC,90
manifestos_issues_detailed_113,2015,51902,"This includes measures such as Road Equivalent Tariff,",Agriculture and Farmers,51902_201505,201505,703,United Kingdom,Scottish National Party,SNP,90
manifestos_issues_detailed_114,2010,96955,Support for marketing organisations of primary producers.,Agriculture and Farmers,96955_201006,201006,703,Slovakia,Bridge,,95
manifestos_issues_detailed_115,2002,22952,"The SGP, however, has always been committed to agriculture.",Agriculture and Farmers,22952_200205,200205,703,Netherlands,Reformed Political Party,SGP,95
manifestos_issues_detailed_116,2011,33093,- Streamlining the payment of aid granted to them,Agriculture and Farmers,33093_201111,201111,703,Spain,Commitment-Q,,95
manifestos_issues_detailed_117,2012,22952,"Also, business owners who can dispose of manure in the vicinity of their farms should be inconvenienced as little as possible.",Agriculture and Farmers,22952_201209,201209,703,Netherlands,Reformed Political Party,SGP,95
manifestos_issues_detailed_118,2013,23951,The ADR will work to maintain efficient and profitable viticulture.,Agriculture and Farmers,23951_201310,201310,703,Luxembourg,Alternative Democatic Reform Party,ADR,95
manifestos_issues_detailed_119,2004,93001,AGRICULTURE Young farmers will receive loans for the purchase of agricultural land.,Agriculture and Farmers,93001_200411,200411,703,Romania,National Union PSR+PUR,PSD-PUR,98
manifestos_issues_detailed_120,2004,93001,We will provide massive subsidies to the agricultural sector.,Agriculture and Farmers,93001_200411,200411,703,Romania,National Union PSR+PUR,PSD-PUR,98
manifestos_issues_detailed_121,2007,21112,Ecological fiscal measures are measures that steer socioeconomic development in an ecological direction.,Anti-Growth Economy,21112_200706,200706,416,Belgium,Green!,groen!,10
manifestos_issues_detailed_122,2009,171101,which in turn could produce goods and services for future consumption.,Anti-Growth Economy,171101_200907,200907,416,Mexico,Mexican Green Ecologist Party,PVEM,10
manifestos_issues_detailed_123,2007,21112,1.12 Green! wants to make organic food cheaper.,Anti-Growth Economy,21112_200706,200706,416,Belgium,Green!,groen!,10
manifestos_issues_detailed_124,2007,53110,high value fish aquaculture processing;,Anti-Growth Economy,53110_200705,200705,416,Ireland,Green Party,Greens,10
manifestos_issues_detailed_125,2007,53110,"(e.g. square mesh panels in fishing nets to allow escape of juveniles and small non-target species), and the phase-out of destructive gear",Anti-Growth Economy,53110_200705,200705,416,Ireland,Green Party,Greens,10
manifestos_issues_detailed_126,2013,41113,"We therefore advocate clear legal requirements that make human rights standards as well as energy and resource efficiency binding,",Anti-Growth Economy,41113_201309,201309,416,Germany,Alliance‘90/Greens,90/Greens,10
manifestos_issues_detailed_127,2007,21112,These environmental requirements are progressive over time and known long in advance.,Anti-Growth Economy,21112_200706,200706,416,Belgium,Green!,groen!,10
manifestos_issues_detailed_128,2010,82110,"Today, more than ever before, people understand that ecology, social cohesion and responsible management go hand in hand.",Anti-Growth Economy,82110_201005,201005,416,Czech Republic,Green Party,SZ,10
manifestos_issues_detailed_129,2006,22110,We can still do a lot domestically to save energy.,Anti-Growth Economy,22110_200611,200611,416,Netherlands,Green Left,GL,10
manifestos_issues_detailed_130,2007,21112,Firm cars also serve as part of employees' wages.,Anti-Growth Economy,21112_200706,200706,416,Belgium,Green!,groen!,10
manifestos_issues_detailed_131,2012,22110,"Local government supports the local storage of electricity (e.g. in homes, residential areas or electric cars).",Anti-Growth Economy,22110_201209,201209,416,Netherlands,Green Left,GL,10
manifestos_issues_detailed_132,2010,21112,green chemistry is a sector with important future prospects.,Anti-Growth Economy,21112_201006,201006,416,Belgium,Green!,groen!,10
manifestos_issues_detailed_133,2002,41113,"Instead of continuing existing, environmentally harmful structures, we are focusing on innovative, environmentally friendly technologies.",Anti-Growth Economy,41113_200209,200209,416,Germany,Alliance‘90/Greens,90/Greens,10
manifestos_issues_detailed_134,2009,171101,"and, in general, the raising of standards for water quality and maximum permissible levels of water pollution.",Anti-Growth Economy,171101_200907,200907,416,Mexico,Mexican Green Ecologist Party,PVEM,10
manifestos_issues_detailed_135,2012,31110,"Growth in GDP, whose value as a relevant indicator of collective wealth we dispute, is neither an objective nor a condition for implementing our project.",Anti-Growth Economy,31110_201206,201206,416,France,Europe Ecology - The Greens,EÉLV,10
manifestos_issues_detailed_136,2006,82110,We are creating an irrevocable legacy for future generations.,Anti-Growth Economy,82110_200606,200606,416,Czech Republic,Green Party,SZ,10
manifestos_issues_detailed_137,2009,23113,The trend in oil and gas prices alone demonstrates the extent to which dependence on fossil fuels is jeopardizing our economy and hence our prosperity.,Anti-Growth Economy,23113_200906,200906,416,Luxembourg,The Greens,,10
manifestos_issues_detailed_138,2007,21112,The ecological footprint of the Belgian is 4.9 ha of the earth's surface - that is 2.7 times the space available per inhabitant (1.8 ha of the world's surface).,Anti-Growth Economy,21112_200706,200706,416,Belgium,Green!,groen!,10
manifestos_issues_detailed_139,2011,43110,The multiple crises of recent years have made it abundantly clear that the global economic system is in no way sustainable.,Anti-Growth Economy,43110_201110,201110,416,Switzerland,Green Party of Switzerland,GPS/PES,10
