id,text,ground_truth
tone_10,"[People talking in background] [Announcer]: ""ImagineRoger Wicker had his way and Congress passed his plan to gamble Social Security in the Stock Market. Bankrupt firms and companies going under and taking your Social Security with them. If Roger Wicker and his Wall Street friends risky scheme to put Social Security in the Stocket Market had passed, it would have been snake eyes for your future. Roger Wicker: too risky for Mississippi. The Democratic Senatorial Campaign Committee is responsible for the content of this ad."" [PFB]: DSCC",negative
tone_11,"[John McCain]: ""We lost the trust of the American people when some Republicans gave in to the temptations of corruption."" [Picture of Mitch McConnell shown.] [Announcer]: John McCain singled out Mitch McConnell on corruption. [John McCain]: ""The old, big spending."" [Announcer]: McConnell voted for the infamous Bridge to Nowhere. Twice. [John McCain]: ""Me first, country second crowd."" [Announcer]: Voted himself pay raises but opposed raising the minimum wage. [John McCain]: ""Change is coming."" [Bruce Lunsford]: ""I'm Bruce Lunsford, and I approve this message because it's time for a change."" [PFB]: FRIENDS OF BRUCE LUNSFORD",negative
tone_12,"[Bruce Lunsford]: I'm Bruce Lunsford and I approve this message. People all across Kentucky want change and they've endorsed Bruce Lunsford. Now, Kentucky's leading newspapers have weighed in - if you don't like what's happening to this country, hold Senator Mitch McConnell accountable. Bruce Lunsford has better ideas: tax cuts, job creation, lower healthcare costs. Lunsford has the grit and intelligence to be a successful senator. He'll bring Main Street business principles to Washington. Bruce Lunsford will bring change and chart new directions that will benefit all Americans. [PFB]: FRIENDS OF BRUCE LUNSFORD",positive
tone_13,"[Announcer]: Something's wrong. Millions of dollars from outside Minnesota are buying away our Senate seat. Party insiders are pushing Al Franken, a celebrity with no leadership experience. Franken's lived outside Minnesota for 36 years. How can he be effective for us? He can't even manage his own life. Priscilla Lord Faris has spent her life helping Minnesota families. The daughter of Judge Miles Lord, she'll bring people together to get things done. [Priscilla Lord Faris]: ""I'm Priscilla Lord Faris, and I approve this message."" [PFB]: PRISCILLA LORD FARIS VOLUNTEER COMMITTEE",negative
tone_14,"[Mark Warner]: ""We all know these are tough economic times... too many families struggling with the high price of gas, wondering if they're going to be able to keep their home, seeing their retirement accounts disappear. For too long there were too many folks both in Washington and on Wall Street asleep at the switch. We need a fresh approach, where we don't allow CEO's on Wall Street to walk away with millions of dollars while their companies go into the ditch. But, we've got to have leaders in Washington who put our country's interest first, not partisanship. That's what I'll do if you send me to Washington. I'm Mark Warner, and I approve this message."" [PFB]: FRIENDS OF MARK WARNER",positive
tone_15,"[Ron Wyden]: ""I'm Ron Wyden, and I have some really good news. The political ads will be over in less than a month. So let's turn off the TV and do something positive. Let's support Jeff Merkley for Senate. Jeff and I will work hard to put the economy back on track, end the billions in subsidies for oil companies, stand up for our veterans and fight for good jobs here at home. Together, with our new president, we can bring the change Oregon deserves."" [Jeff Merkley]: ""I'm Jeff Merkley, and I approve this message."" [PFB]: JEFF MERKLEY FOR OREGON",positive
tone_16,"[Al Franken]: I'm Al Franken and I approve this message. [Announcer]: Is there anything Norm Coleman and his allies won't say to get re-elected? The latest ads are among the most misleading and false. Bringing rape ads into our living rooms to smear Al Franken is a disgrace. Minnesota women are outraged that Norm Coleman thinks these desperate, blatantly untrue attacks will work on them. Norm Coleman should be ashamed. And it would be a shame for Minnesota to send Norm Coleman back to the U.S. Senate. [PFB]: AL FRANKEN FOR U.S. SENATE",negative
tone_17,"[Announcer]: Since coming back to the Senate Tim Johnson has not missed a single vote. He helped pass the new farm bill that protects our producer, and an energy bill that doubles ethanol production. Tim dramatically increased funding for veterans' healthcare. Then he stopped the Bush administration from cutting South Dakota's water projects - securing 54 million for our small state. Tim Johnson is always working hard. Making a difference. [Tim Johnson]: ""I'm Tim Johnson and I approve this ad."" [PFB]: TIM JOHNSON FOR SOUTH DAKOTA, INC.",positive
tone_18,"[Announcer]: Imagine your car ranked near the bottom on reliability. Well, Senator Elizabeth Dole is ranked 93rd in effectiveness, seventh from the bottom. And her ineffectiveness is costing us at the pump. She voted for billions in tax breaks for big oil, against funding for alternative energy like wind and solar, even tried to eliminate mileage standards. On gas prices, she's part of the problem. Elizabeth Dole, just not getting the job done. The Democratic Senatorial Campaign Committee is responsible for the content of this advertising. [PFB]: DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE",negative
tone_19,"[Hillary Clinton]: ""You know what's at stake - George Bush and his Republican allies have led our country astray. So we care about the economy, about healthcare, about energy, education, Iraq, Afghanistan - it's a long list. I think that one of the great gifts Kentucky can give our country is to send Bruce Lunsford to the Senate and retire Mitch McConnell on November 4th."" [Bruce Lunsford]: I'm Bruce Lunsford and I approve this message. [PFB]: FRIENDS OF BRUCE LUNSFORD",positive
tone_20,"[Announcer]: From the mom who can't afford her child's check up, to the senior who can't pay for prescriptions New Hampshire families are struggling... And, Senator John Sununu is making things worse. Sununu took over 200,000 dollars in contributions from drug companies and HMO's, and then voted against lower drug prices. His plan protects HMO profits, and leaves us paying more. John Sununu, special interest money for him, higher costs for us. SEIU Cope is responsible for the content of this advertising. [PFB]: SEIU COPE",negative
tone_21,"[Announcer]: This is Norm Coleman, he's trying to fool you. He's running a fake positive campaign while his allies smear Al Franken. Norm Coleman really did take 52 trips paid for by special interests... remember Alaska? Norm Coleman really does live in a million dollar home owned by his special interest friend. Norm Coleman really has voted with George Bush almost 90 percent of the time. Norm Coleman. Why would we ever give him six more years? [Al Franken]: ""I'm Al Franken, and I approve this message."" [PFB]: AL FRANKEN FOR SENATE",negative
tone_22,"[Jay Rockefeller]: ""When I stand up for the good hardworking people of West Virginia I'm never alone. Together we've brought veterans new health clinics. Fought for clean coal to free us from foreign oil. Expanded health insurance for children. And, always worked for new and better jobs. Everyday I know who I'm fighting for, the people of West Virginia. I'm Jay Rockefeller, and I approve this message."" [PFB]: FRIENDS OF JAY ROCKEFELLER",positive
tone_23,"[Ted Stevens]: ""I'm Ted Stevens. I approve this message."" [Lisa Murkowski]: ""Let's talk about Senator Stevens and Tuesday's election. Many of us Alaskans feel that this trial was not fair and Ted is seeking an appeal. Government prosecutors had to turn themselves in for ethical violations. The jury was given evidence that the government knew was false and evidence of Ted's innocence was hidden. Alaskans should judge Ted Stevens on his record. Please join me in voting for our senator."" [PFB]: STEVENS FOR SENATE",positive
tone_24,"[Announcer]: Look out. Spinning around with Social Security. John Kennedy. First he said he'd protect Social Security. Now, Kennedy supports the Bush privatization plan that would cut Social Security. Kennedy would have your Social Security spinning around and spiraling down in the stock market. The Kennedy Plan: Your benefits could be cut almost in half. John Kennedy. So confused, he'd cut Social Security. Now that's one confused politician. [Mary Landrieu]: ""I'm Mary Landrieu, and I approve this message."" [PFB]: FRIENDS OF MARY LANDRIEU",
tone_25,"[Man]: ""You know, sometimes being hardheaded is OK."" [Announcer]: When our military was ordered to eliminate bases one hard headed man was able to prove that every Oklahoma base was worth every penny. [Robert C. Otto]: ""Hardheaded saved our bases."" [Announcer]: Then there's Tar Creek--poisoned earth, the threat of schools and churches sinking into abandoned mines. Everyone thought it was too much to tackle. Except, for one stubborn man named Inhofe. [Woman]: ""Stubborn helped the people of my town."" [Announcer]: Oklahomans have always paid more in gas taxes then we've received in road improvements. Until, one man fought on the Senate floor for three weeks, and brought us home three billion dollars for safer roads and bridges. Impossible challenges? Not for one man in America. [Jim Inhofe]: ""I'm Jim Inhofe, and I approve this message."" [PFB]: FRIENDS OF JIM INHOFE",positive
tone_26,"[Announcer]: John Sununu's blaming Jeanne Shaheen for the economic mess he and George Bush created? Unbelievable. It's Sununu who's been in Washington for 12 years. Sununu who voted for the bill that started the Wall Street crisis. Put our savings at risk. Sununu who voted to double the national debt to ten trillion dollars. Jeanne Shaheen knows we need to end the era of greed and reckless spending and get our economy working again for the middle class. A new direction takes a new senator. [Jeanne Shaheen]: ""I'm Jeanne Shaheen. I approve this message."" [PFB]: JEANNE SHAHEEN FOR SENATE",negative
tone_27,"[Announcer]: Every major newspaper across the state has endorsed Kay Hagan for U.S. Senate, calling Hagan a bundle of brains and energy. A businesswoman, mother of three, Kay's ranked one of North Carolina's ten most effective senators. With a moderate and business-friendly record, her priorities include fiscal responsibility, investing in education, healthcare reform and new energy development. Kay Hagan. Exactly the change our economy needs. [Kay Hagan]: ""I'm Kay Hagan, and I approve this message."" [PFB]: HAGAN SENATE COMMITTEE, INC.",
tone_28,"[Roberts]: ""This is my friend Grace and she's a brave little girl because doctors can do things that sting. But so does government. But what really stings is when kids don't have healthcare. We must extend healthcare coverage to children. When Washington makes you choose between politics and our kids' health- our only choice is our kids' health. Right kids?"" [Kids]: ""Right Pat!"" [Roberts]: ""I'm Pat Roberts and I approve this message."" [PFB]: Pat Roberts for U.S. Senate",positive
tone_29,"[Announcer]: ""65 people have served Kentucky in the U.S. Senate, but only two have risen to be leaders. Alben Barkley's legacy as Senate leader and Truman's Vice President helped build our state. Now Senate Leader Mitch McConnell has a vision for a new Kentucky. Securing more than $1 billion for environmental clean up and lifesaving healthcare for workers, and more than $20 million for Paducah's economic development. Mitch McConnell, the leader who can do more for Kentucky's future. [McConnell]: ""I'm Mitch McConnell and I approve this message."" [PFB]: McConnell Senate Committee '08",positive
tone_30,"[Sherry Edwards]: â€œAs Governor, Ronnie Musgrove expanded health insurance to cover 61,000 uninsured children.â€ [Savina Schoenhofer]: â€œIn Congress, Rodger Wicker voted against childrenâ€™s health insurance 8 times, but he voted to increase his own salary 9 times.â€ [Announcer 1]: Come November, Mississippi has a choice: Ronnie Musgrove, a leader who fights for childrenâ€™s healthcare, or Rodger Wicker, a politician who fights to raise his own pay. [Announcer 2]: The Democratic Senatorial Campaign Committee is responsible for the content of this advertising. [PFB]: DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE",neutral
tone_31,"[Announcer]: For six years in Congress big oil Bob Schaffer repeatedly supported tax breaks for the oil companies and opposed renewable energy. Then, Schaffer left Congress, went through the revolving door, and got on the oil payroll. Schaffer's take? Over 800,000 dollars. Just last year Schaffer said, 'I'm in the oil and gas business these days.' Don't let big oil Bob Schaffer back through the revolving door. The Democratic Senatorial Campaign Committee is responsible for the content of this advertising. [PFB]: DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE",negative
tone_32,"[Vic Vickers]: ""I'm Vic Vickers, and I'm running against Ted Stevens to stop corruption. Big oil committed environmental crimes in Alaska, and Ted Stevens is taking campaign money from big oil while he is under criminal investigation. I will not accept a single penny from any oil company or special interest. I approved and paid for this message to ask you to join me in this fight to take back Alaska."" [PFB]: VIC VICKERS FOR U.S. SENATE COMMITTEE",neutral
tone_33,"[Announcer]: Who says Gordon Smith is Bi-Partisan? Look at the facts, Gordon Smith supports George Bush 85 percent of the time. Smith voted for George Bush's energy bill that gave 14.5 billion dollars in tax breaks to big oil. Smith even voted against fuel mileage standards that could save Oregon families 1,700 dollar a year. Tell Gordon Smith it's time to stop voting with George Bush and start working to lower our fuel costs. [PFB]: MAJORITY ACTION",negative
tone_34,"[Announcer]: Greg Fischer attacks Democrats for crossing party lines. [Greg Fischer]: ""I invite checking of my references."" [Announcer]: But Fischer and his family have given thousands to Republicans like George Bush and Mitch McConnell. Fischer claims his business record is clean. [Greg Fischer]: ""I invite checking of my references."" [Announcer]: But Fischer's companies were investigated and fined by the federal government for unsafe working conditions. Instead of falsely accusing other Democrats, Greg Fischer should talk straight with voters. [Bruce Lunsford]: I'm Bruce Lunsford and I approve this message. [PFB]: FRIENDS OF BRUCE LUNSFORD",negative
tone_35,"[John Sununu]: ""I'm John Sununu and I approve this message. John Sununu or Jeanne Shaheen, you know us both well. But on tough issues facing New Hampshire families, I'll provide leadership. I led the fight to crack down on mortgage giants like Fannie Mae. I wrote legislation banning internet taxes, and stood up on the Patriot Act to protect our civil liberties. No one could possibly agree with me on every issue, my 7 brothers and sisters sure don't. But I'll alway listen, do my homework and be a principled, independent voice for New Hampshire."" [PFB]: TEAM SUNUNU",positive
tone_36,"[Lynch]: ""In this election you have to remember what matters. And, what matters now is change in Washington - that's why I'm supporting Jeanne Shaheen. America just can't continue with the same failed economic policies. When Jeanne Shaheen was Governor she kept New Hampshire's tax burden the lowest in the country, revitalized the economy with 66,000 new jobs - she got results. I've known Jeanne Shaheen for 30 years - she'll be a great Senator for New Hampshire."" [Shaheen]: ""I'm Jeanne Shaheen and I approved this message."" [PFB]: DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE AND JEANNE SHAHEEN FOR SENATE",positive
tone_37,"[Announcer]: Lee Moore is a Vietnam veteran who was awarded the silver and bronze stars and the purple heart. [Lee Moore]: ""I am a member of the Military Order of the Purple Heart, the official organization of combat-wounded veterans. Our veterans demand an investigation into the negligent care Bruce Lunsford's clinics provided. Scores of veterans tell the same story about Lunsford's poor healthcare - vital tests ignored, botched prescriptions, broken and nonexistent equipment - all to make more profits for Lunsford. I'm not surprised that Lunsford would manipulate an 83-year-old veteran to protect his profits, but he cannot hide from the fact that his company mistreats veterans or that his company was fined more than $130,000 for bad care. In one horrifying example, a veteran lost his foot and a finger because of negligent care. I'm not political, but you deserve to know the truth."" [Mitch McConnell]: I'm Mitch McConnell and I approve this message. [PFB}: MCCONNELL SENATE COMMITTEE '08",negative
tone_38,"[Steve Pearce]: ""Big banks gave out bad loans and made millions. Wall Street billionaires played fast and loose with your money, took huge salaries and even bigger bonuses. Giant corporations sold mortgages to unsuspecting people who could not afford them and did not need them. Like you, I believe in free markets and free enterprise. It's the American way. Higher taxes, bigger government and greedy lobbyists are not the answer. I'm Steve Pearce and I approve this message."" [PFB]: PEOPLE FOR PEARCE",positive
tone_39,"[Various Speakers]: ""I went to Iraq for my country, Bob Schaffer went to Iraq for a big oil company. I tried to secure peace in Iraq, Bob Schaffer tried to secure oil in Iraq. Our time in Iraq left thousands with head trauma, Bob Schaffer's time in Iraq helped land a contract for oil. Too many vets can't get the care they need, Congressman Schaffer voted against billions in funds for veterans. We fought for our country, why hasn't Bob Schaffer fought for us?"" [PFB]: VOTE VETS ACTION FUND",negative
tone_40,"[Announcer]: When it comes to Bob Schaffer and big oil the numbers tell the story. Gas prices at four dollars a gallon, oil companies making record profits, and what's Bob Schaffer done? Bob Schaffer's campaigns have taken over 180,000 from big oil and gas, and in Congress he gave big oil and gas 13 billion in tax breaks, then as an oil executive Bob Schaffer was paid over a million dollars. Tell Bob Schaffer Coloradans not big oil need help at the pump. Colorado First Project is responsible for the content of this advertising. [PFB]: COLORADO FIRST PROJECT",negative
tone_41,"[Announcer]: Liberal Mary Landrieu: she supported amnesty for illegal immigrants, a plan that could have cost taxpayers 126 billion and require some immigrant workers to paid more than Americans for doing the same job. Liberal Mary Landrieu voted to allow immigrants to collect Social Security benefits for work done illegally. When it comes to immigration, Mary Landrieu is on the wrong side of the fence. The National Republican Senatorial Committee is responsible for the content of this advertising. [PFB]: NATIONAL REPUBLICAN SENATORIAL COMMITTEE",negative
tone_42,"[News reporters]: ""Senator, Senator, what are the allegations about your wife receiving $75,000? Why won't the Senator answer the question?"" [Announcer]: Here's why Norm Coleman is running away from reporters. Court documents allege one of his top fundraisers secretly funneled $75,000 intended for Coleman's personal use. The same man reportedly gave Coleman free suits and trips on his private jet. [Reporter]: ""Please answer the question Senator."" The Democratic Senatorial Campaign Committee is responsible for the content of this advertising. [PFB]: DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE",negative
tone_43,"[Roger Wicker]: I'm Roger Wicker and I approve this message. [Announcer 1]: Gas prices, illegal immigration, Iraq, Afghanistan... These are the real problems. [Announcer 2]: Roger Wicker fights for us. A leader in energy independence, a leader in helping create jobs, Air Force veteran. [Announcer 1]: Ronnie Musgrove, no solutions, just false attacks. Musgrove failed us as a governor and his ethical misconduct is an embarrassment. [Announcer 2]: You want positive solutions? Roger Wicker. [Announcer 1]: You want negative, failed politics? That's Ronnie Musgrove. [PFB]: ROGER WICKER FOR SENATE",neutral
tone_44,"[Announcer]: She's 200 miles wide and 400 miles long. She's seen a lot of history. She's coming into her own. Mississippi. Leading her forward, one of the most respected statesmen in our country. His stature and prestige have helped our state time and time again. Time magazine calls him one of America's ten best senators. With all of our challenges, Mississippi needs Thad Cochran more than ever. [Thad Cochran]: ""I'm Thad Cochran, and I approve this message."" [PFB]: CITIZENS FOR COCHRAN",
tone_45,"[Brynne Merkley]: ""I'm just a kid, but even I can see that Gordon Smith is afraid of you, dad."" [Jeff Merkley]: ""Brynne, what Gordon Smith really afraid of is change, the type of change I'll bring to Washington."" [Brynne Merkley]: ""And with a new Democratic president, too."" [Jeff Merkley]: ""We'll be fighting for kids and families, not for the big special interests like Gordon Smith does."" [Brynne Merkley]: ""And change means end the war."" [Jeff Merkley]: ""Exactly the kind of change we need."" [Brynne Merkley]: ""You go dad."" [Jeff Merkley]: ""I'm Democrat Jeff Merkley and Brynne and I approve this message."" [Brynne Merkley]: ""Definitely."" [PFB]: JEFF MERKLEY FOR OREGON",positive
tone_46,"[Steve Pearce]: ""I'm Steve Pearce, and I approve this message. I grew up in New Mexico, in 4H, majored in economics, built a business and raised a family. I'm a decorated Vietnam veteran. God has blessed me. Today though we face challenges--the economy, energy, environment. We need to stabilize our economy, develop renewables, build nuclear and drill now. New Mexico needs someone with experience to fight these challenges. Vote your hopes, not your fears."" [PFB]: PEOPLE FOR PEARCE",positive
tone_47,"[Jim Martin]: ""I'm Jim Martin. I don't have to tell you the middle class is hurting in Georgia, I won't insult your intelligence, but apparently we do have to tell Saxby Chambliss. We need to reverse the George Bush economic policies that Saxby's been voting for all these years. Crack down on the Wall Street oil speculators, stop the wasteful spending, and we can't afford to continue spending 10 billion dollars a month in Iraq. I approve this message, because Saxby won't do that in the Senate, but I will."" [PFB]: MARTIN FOR SENATE",
tone_48,"[Announcer]: Pain at the pump. Out of control gas prices. Roger Wicker voted against controlling Wall Street speculators who are making fortunes from the pain of Mississippi families, while oil companies make record profits. Roger Wicker votes to give them 28 Billion dollars in tax breaks. And, Roger Wicker received 263,000 from big oil and gas. On election day, make sure Roger Wicker feels your pain. The Democratic Senatorial Campaign Committee is responsible for the content of this advertising. [PFB]: DEMOCRATIC SENATIORIAL CAMPAIGN COMMITTEE",negative
tone_49,"[Announcer]: In tough economic times, Senator Landrieu delivers. Ranked in the top 10 in Senate effectiveness. ""A centrist leader."" Landrieu broke with her party, voting to end the death tax, lower energy and income taxes, voted against Social Security for illegal immigrants, and her seniority won us $40 billion in oil royalties and billions for hurricane recovery. [Mary Landrieu]: ""I'm independent, Louisiana-focused. Which means, I always stand up for our state. I'm Mary Landrieu and I approve this message."" The Democratic Senatorial Campaign Committee is responsible for the content of this advertising. DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE",positive
tone_50,"[Announcer]: Heâ€™s a seventh-generation Mainer. Tom Allen. His father served in World War II. His mother was active in their community. They taught him the meaning of service, integrity and to stand up for what you believe. He attended public schools, met his wife Diana in the seventh grade. Graduated from Bowdoin. Harvard Law. A Rhodes scholar. Worked with Ed Muskie and George Mitchell. Helped revitalize Portland as its mayor. In Congress he made the right choices. Opposing the War in Iraq, the Bush economic policies, the Cheney energy bill. Leading the fight for healthcare, education and jobs. In the Senate, Tom Allen will fight for real change. A deadline for Iraq withdrawal, affordable healthcare for all, a $2,000 tax credit for home heating oil, and an economic plan that creates jobs here. Tom Allen: husband, father and now a new grandfather, who understands that for our childrenâ€™s future, itâ€™s time to take care of our own. In Maine, and in America. [Tom Allen]: Iâ€™m Tom Allen and I approve this message [PFB]: TOM ALLEN FOR SENATE",
tone_51,"[Dick Durbin]: ""There's too much squabbling in politics. I know that, and you do, too. It's alright to fight for what you believe in, but at some point, the fighting has got to stop. And when it comes to the issues for American families like protecting American jobs, energy, taking care of our veterans when they come home, I've tried to find common ground. I don't believe there's a Republican answer or a Democratic answer, just an American answer. And we've got to keep doing more of that to bring real change to Washington. I'm Dick Durbin, and I approve this message."" [PFB]: DICK DURBIN FOR IL 2008",positive
tone_52,"[Saxby Chambliss]: ""We are facing the worse financial crisis in my lifetime. Businesses are failing, Georgians are losing their jobs, their homes, their retirements, and their lifesavings. Congress had to act. I'm as mad as you are about what happened, but doing nothing would have been a disaster. The Rescue Bill is a strong, bi-partisan effort to fix the economy and protect your financial future. I'm Saxby Chambliss and I approve this message because I know in my heart that this legislation is good for all Georgia families."" [PFB]: CHAMBLISS FOR SENATE",positive
tone_53,"[Announcer]: Like most Washington politicians, Gordon Smith wants it both ways. In this ad, Smith says he's opposed to partisan fighting and looking for a better way. But Smith's other ads attack Democratic opponents and smear Jeff Merkley. Fact is, Jeff Merkley didn't take a dime from state lobbyists during the legislative session and Gordon Smith knows it. Doesn't Oregon deserve better? The Democratic Senatorial Campaign Committee is responsible for the content of this advertising. [PFB]: DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE",negative
tone_54,"[Suspenseful music in background] [Man 1]: ""What you got?"" [Man 2]: ""Your gonna love this. Steven's remodeled his house, gets a Land Rover, even his grill, a Viking, top of the line. He didn't miss a single perk."" [Man 1]: ""Incredible. Steven's is above the law, I'll get a meeting with the U.S. Attorney. Stevens isn't going to want this taken to court."" [Woman 1]: ""And I voted for him."" The Democratic Senatorial Campaign Committee is responsible for the content of this advertising. [PFB]: DEMOCRATIC SENATORIAL CAMPAIGN COMMITTEE",negative
tone_55,"[Announcer]: They really are shameless. Bruce Lunsford and his out-of-state allies attack on Wall Street money. But who's paying for the ads smearing Mitch McConnell? Wall Street is. 45 million in Wall Street money pays for these attacks. CEO Bruce Lunsford makes his millions the Wall Street way. Hedge funds, oil money. Regular people lose out. Mitch McConnell helped create thousands of Kentucky jobs. What's Bruce Lunsford ever done for Kentucky? [Mitch McConnell]: ""I'm Mitch McConnell, and I approve this message."" [PFB]: MCCONNELL SENATE COMMITTEE 08",negative
tone_56,"[Laurie Coleman]: ""In a political race, people will say a lot of things. They'll say Norm is a rubber stamp for the president, but he's been ranked as one of the most independent Senators. They'll say he's in the pocket of big oil, but he voted to take away their special tax breaks. Actually, there is a special interest that Norm will answer to. Hey Norm, will you take out the trash?"" [Norm Coleman]: ""I got it, honey. I'm Norm Coleman. I approve this message."" [PFB]: COLEMAN FOR SENATE 08",positive
tone_57,"[Bruce Lunsford]: ""I'm Bruce Lunsford and I approve this message."" [Announcer]: Mitch McConnell has run a campaign of, ""deceit and defamation,"" against Bruce Lunsford. Each McConnell smear, discredited. The most ""negative"" and ""dishonest"" campaign in history. What's McConnell trying to cover up? For 24 years, McConnell has sided with Washington lobbyists, over regular Kentuckians. Following George Bush. Shipping jobs to China. Blocking healthcare to children. A $700 billion bailout for Wall Street. McConnell will say anything to hide his record. Isn't it time for a change? [PFB]: FRIENDS OF BRUCE LUNSFORD",negative
tone_58,"[Al Franken]: ""I'm not a politician, and sometimes I've gone too far."" [TV rewinds] [Al Franken]: ""I've gone too far."" [Announcer]: Too far? Jokes about rape, columns of pornography, profanity laced tirades, physically attacking a heckler. His work's called inappropriate, unacceptable, and offensive by fellow Democrats. [Al Franken]: ""I've gone too far."" [Announcer]: We couldn't agree more. With Al Franken it isn't outrage, it's just anger. The National Republican Senatorial Committee is responsible for the content of this advertising. [PFB]: NATIONAL REPUBLICAN SENATORIAL COMMITTEE",negative
