id,ground_truth,text,status_id,user_id,screen_name,created_at,relevant_paula,relevant_fabio,frame_paula,frame_fabio,relevance_agreement_check,relevant_ra,mturk_annotation,WorkerId
frames_tweets17_10,other,Congratulations to Rep. Geanie Morrison for being honored today by the Texas Federation of Republican Women. @GeaniewmW https://t.co/36N5QSlAMc,1007804323835863040,13218102,JohnCornyn,2018-06-16T01:57:29.000Z,1.0,1.0,other,other,True,1.0,"['other', 'security']","['A2HESXT4DAGASU', 'A2Q1YS118AO2BP']"
frames_tweets17_11,economic,"The demand for products #MadeInAmerica reached an 11-month high in August, adding to the list of good news for manufacturers across #GA07, #Georgia, and the entire country! https://t.co/PBPeTBfdTc",1047952265515061250,2382685057,RepRobWoodall,2018-10-04T20:51:04.000Z,1.0,1.0,economic,economic,True,1.0,"['morality', 'economic']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_12,health,".@senrobportman Regulations help make sure we have clean air &amp; water, &amp; safe working conditions. No one wants to go back to an ear w/out safety standards https://t.co/BSSzgvX3Ex",857670923402588161,1061029050,SenatorHeitkamp,2017-04-27T19:00:57.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['health', 'health']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_13,political,When will Republicans in Congress reach across the aisle and seek compromise?,887410974680113152,2968451607,RepBonnie,2017-07-18T20:37:18.000Z,1.0,1.0,political,political,True,1.0,"['cultural', 'political']","['A2Q1YS118AO2BP', 'A31Z5TPD8QKE26']"
frames_tweets17_14,law,I now have significantly greater confidence that the investigation will follow the facts wherever they lead.,864976838552150016,17494010,SenSchumer,2017-05-17T22:52:03.000Z,1.0,1.0,"law and order, crime and justice","law and order, crime and justice",True,1.0,"['capacity', 'law']","['A2Q1YS118AO2BP', 'A2YYQJ3JWA2KGD']"
frames_tweets17_15,political,There's a better path forward. Real solutions to improve our #HealthCare system are within reach if Republicans &amp; Democrats work together.,890915166040326145,1099199839,MartinHeinrich,2017-07-28T12:41:42.000Z,1.0,1.0,political,political,True,1.0,"['policy', 'law']","['A2IOT3PCS9G5RK', 'A2Q1YS118AO2BP']"
frames_tweets17_16,economic,"Go figure. Corporate CEOs want a massive tax cut and don’t care about the middle-class Americans who will sees their taxes rise, health care costs increase and infrastructure deteriorate.
https://t.co/bATxGDnEla",933020940094488576,462143773,RepCicilline,2017-11-21T17:15:01.000Z,1.0,1.0,economic,economic,True,1.0,"['constitutionality', 'policy']","['A2Q1YS118AO2BP', 'A2YYQJ3JWA2KGD']"
frames_tweets17_17,economic,"""To sum up five imperative items for #TaxReform: Growth. Postcard. Full expensing. Tax cuts. And repeal Dodd-Frank."" With @taxfoundation https://t.co/6Dq8XhKKdr",908097790361964545,1074480192,SenTedCruz,2017-09-13T22:39:19.000Z,1.0,1.0,economic,economic,True,1.0,"['fairness', 'policy']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_18,political,The passing of President George H W Bush is also the passing of civility and a sense of decency in our polity.,1069012060896399360,78445977,GerryConnolly,2018-12-01T23:35:11.000Z,1.0,1.0,political,political,True,1.0,"['quality', 'political']","['A2Q1YS118AO2BP', 'A37WXDYYT7RCZ0']"
frames_tweets17_19,security,"This #VeteransDay marks 100 years since the end of WWI. Over 122,000 Wisconsinites served our country bravely in that war and nearly 4,000 lost their lives. We will never forget the sacrifice they made to defend the freedoms we all cherish.",1061663423946256384,1074518754,SenatorBaldwin,2018-11-11T16:54:19.000Z,1.0,1.0,security and defense,security and defense,True,1.0,"['constitutionality', 'constitutionality']","['A18DUG8EA8Y766', 'A2Q1YS118AO2BP']"
frames_tweets17_20,other,"Happy to announce federal funding to complete the Blue River Basin/Dodson Levee &amp; Turkey Creek Basin projects!
https://t.co/6C7EMEPQJ2https://t.co/vS7DgNUcbD",874694310226264064,163570705,repcleaver,2017-06-13T18:25:49.000Z,1.0,1.0,other,other,True,1.0,"['capacity', 'capacity']","['A2Q1YS118AO2BP', 'ACDX50KGPE97I']"
frames_tweets17_21,political,John Kelly needs to resign.,966004597566341121,36686040,RepMaxineWaters,2018-02-20T17:40:18.000Z,1.0,1.0,political,political,True,1.0,"['political', 'policy']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_22,health,Here at the Southern Oaks Learning and Wellness Center grand opening in #OKC today. This center will provide immunizations and quality healthcare for some of the neediest people in our community. #OK05 https://t.co/lZYijKTNdi,1058012346470281217,2966758114,RepRussell,2018-11-01T15:06:14.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['health', 'constitutionality']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_23,health,"Today, on #NationalGunViolenceAwarenessDay, we must redouble our efforts stop the senseless loss of life from gun violence in our country. #EnoughisEnough #WearOrange https://t.co/yxbbfXmBC1",1002640608496963584,937723303,RepJohnDelaney,2018-06-01T19:58:43.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['security', 'policy']","['A18DUG8EA8Y766', 'A2Q1YS118AO2BP']"
frames_tweets17_24,law,Do you believe @POTUS @realDonaldTrump's #MuslimBan is against the law? #QuestionOfTheDay,830085509582028802,1531521632,RepBeatty,2017-02-10T16:06:22.000Z,1.0,1.0,"law and order, crime and justice","law and order, crime and justice",True,1.0,"['public', 'constitutionality']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_25,economic,"@NWTC Thank you ACE Marine for having me today in Green Bay, and for your critical role in boosting Wisconsin’s maritime industry and supporting our #MadeInWI economy. Looking forward to the North Coast Marine Manufacturing Training Center in Marinette! https://t.co/Q3xBjViRR5",979413137140088832,1074518754,SenatorBaldwin,2018-03-29T17:41:03.000Z,1.0,1.0,economic,economic,True,1.0,"['economic', 'economic']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_26,health,Today is the 52nd anniversary of #Medicare and #Medicaid. And this is my mom and me. In a few… https://t.co/pM5Yy9G4Gh,891701225648828416,558769636,RepBonamici,2017-07-30T16:45:13.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['morality', 'health']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_27,health,Toured the new @VirginiaGarcia clinic today in Beaverton. Incredibly impressive site that provides quality health care for so many in Washington County. https://t.co/3KXkVtVHq4,1057408490702962688,250188760,RonWyden,2018-10-30T23:06:44.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['constitutionality', 'health']","['A2Q1YS118AO2BP', 'A2YYQJ3JWA2KGD']"
frames_tweets17_28,political,"I joined @NLC for their successful event in SA. Now more than ever, it is important that young leaders get involved in all aspects of gov. https://t.co/0MfpqYabaA",901213363035877376,153944899,RepLloydDoggett,2017-08-25T22:43:04.000Z,1.0,1.0,political,political,True,1.0,"['quality', 'political']","['A2Q1YS118AO2BP', 'A3CFNUD7VR2E1E']"
frames_tweets17_29,policy,".@TheIndependent: “Smith, Fischer applaud plan to repeal #WOTUS” Read more: https://t.co/ywZA3Gp2uD",880050198944370688,1071402577,SenatorFischer,2017-06-28T13:08:12.000Z,1.0,1.0,policy prescription and evaluation,policy prescription and evaluation,True,1.0,"['public', 'constitutionality']","['A2Q1YS118AO2BP', 'A2YYQJ3JWA2KGD']"
frames_tweets17_30,security,The #ChibokGirls are our girls and we won’t stop fighting until their safe return! @mlfudge https://t.co/WAjehbziJm,852977236156317696,234014087,RepWilson,2017-04-14T20:09:55.000Z,1.0,1.0,security and defense,security and defense,True,1.0,"['public', 'cultural']","['A2Q1YS118AO2BP', 'A2YYQJ3JWA2KGD']"
frames_tweets17_31,economic,TeMa is opening its very first North American facility in Kearneysville—another great example of companies recognizing that #WV is a great place to invest and do business. Happy to have my staff at the groundbreaking earlier this week to celebrate the big day. https://t.co/HN1ZrW55ZX,984558781949464576,193794406,SenCapito,2018-04-12T22:28:00.000Z,1.0,1.0,economic,economic,True,1.0,"['constitutionality', 'economic']","['A2Q1YS118AO2BP', 'A2R2YZTSME1K3F']"
frames_tweets17_32,other,Wishing our Sikh American friends and neighbors a happy #Vaisakhi on this historically significant day!,852886884233695236,2970279814,RepDebDingell,2017-04-14T14:10:53.000Z,1.0,1.0,other,other,True,1.0,"['cultural', 'capacity']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_33,external,America is strongest when we work together with our allies – including the 28 NATO members who share our democratic values. Undermining NATO is a gift to Putin that @realDonaldTrump seems all too happy to give.,1017123021369364480,970207298,SenWarren,2018-07-11T19:06:40.000Z,1.0,1.0,external regulation and reputation,external regulation and reputation,True,1.0,"['external', 'morality']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_34,health,"#TX25 - be sure to celebrate the #4thofJuly safely/responsibly
- Purchase fireworks from licensed dealers
- Obey laws, including those regarding where fireworks can be  legally fired
- An adult should be present
- Wear safety glasses
- Secure long hair back
- Always wear shoes https://t.co/DX2c9Ewzzk",1014146744806850561,1077446982,RepRWilliams,2018-07-03T14:00:00.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['capacity', 'health']","['A2Q1YS118AO2BP', 'A37WXDYYT7RCZ0']"
frames_tweets17_35,economic,"Veterans earned their benefits and shouldn't suffer because of the @DeptVetAffairs' IT problems.
#ICYMI: I asked the VA's Undersecretary for Benefits how they plan to repay G.I. Bill beneficiaries. Doing nothing is unacceptable. 
https://t.co/0LTdugUkyw",1068633365484589059,1135486501,RepScottPeters,2018-11-30T22:30:23.000Z,1.0,1.0,economic,economic,True,1.0,"['health', 'cultural']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_36,policy,➫ Less coverage for Americans &amp; more loopholes for insurance company executives. #RxForDisaster,839230775862169601,74508260,BillPascrell,2017-03-07T21:46:23.000Z,1.0,1.0,policy prescription and evaluation,policy prescription and evaluation,True,1.0,"['public', 'health']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_37,economic,NEW REPORT: The TrumpTax plan is basically tax cuts for billionaires &amp; corporations. How is @SenateGOP planning to pay for it? By raising taxes on the working class. Take a look for yourself: https://t.co/SjBuvuyjXx,931284086915780608,242555999,SenWhitehouse,2017-11-16T22:13:23.000Z,1.0,1.0,economic,economic,True,1.0,"['political', 'political']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_38,constitutionality,"Americans across the country saw so-called ""voter fraud"" commission for what it was- a thinly veiled attempt to suppress the vote. However, our fight to make sure all Americans can exercise their right to vote is far from over.",948932238745456642,92186819,maziehirono,2018-01-04T15:00:50.000Z,1.0,1.0,constitutionality and jurisprudence,constitutionality and jurisprudence,True,1.0,"['public', 'public']","['A2Q1YS118AO2BP', 'A2UCKZZI9KBBCV']"
frames_tweets17_39,policy,"Today, I am announcing my plan to lower prescription drug prices at events across Michigan! https://t.co/DngjB9l89A",978999126439407616,76456274,SenStabenow,2018-03-28T14:15:55.000Z,1.0,1.0,policy prescription and evaluation,policy prescription and evaluation,True,1.0,"['quality', 'cultural']","['A18DUG8EA8Y766', 'A2Q1YS118AO2BP']"
frames_tweets17_40,economic,"Get the facts on https://t.co/zqQZ3XE1d2 → Under our plan, the average family of four will see a tax cut of $1182. https://t.co/NgDvo2uHiD",941430362197995520,17976923,cathymcmorris,2017-12-14T22:11:03.000Z,1.0,1.0,economic,economic,True,1.0,"['morality', 'economic']","['A2Q1YS118AO2BP', 'A3O81LHBBI8NPK']"
frames_tweets17_41,security,Discussed the important role Indiana has in the defense sector with @LGSuzanneCrouch. https://t.co/U6hi3Vd8mT,842855890852175872,17544524,ToddRokita,2017-03-17T21:51:18.000Z,1.0,1.0,security and defense,security and defense,True,1.0,"['fairness', 'security']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_42,economic,"Last month, I wrote an open letter to farmers &amp; ranchers regarding the threat of NAFTA withdrawal &amp; urging Ag groups to rally folks to speak up regarding the importance of trade in your industry. #Farmers4NAFTA Read the full letter in @agripulse: https://t.co/VJCqB4Kb0L",938466269669576704,18632666,JerryMoran,2017-12-06T17:52:49.000Z,1.0,1.0,economic,economic,True,1.0,"['capacity', 'external']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_43,health,"My heart goes out to all affected by the ongoing wildfires. Thank you to our heroic first responders—pay attention to evacuation orders, make a plan and stay safe! https://t.co/Lg4ytc9umh",1061361856378474497,1055730738,RepLowenthal,2018-11-10T20:56:00.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['security', 'capacity']","['A23LXQ5ZX2YONR', 'A2Q1YS118AO2BP']"
frames_tweets17_44,external,Pres. Macron offers eloquent defense of freedom and liberty in French-accented English at joint session of Congress. Quel dommage our own president cannot/will not do the same.,989158816880189440,78445977,GerryConnolly,2018-04-25T15:06:54.000Z,1.0,1.0,external regulation and reputation,external regulation and reputation,True,1.0,"['policy', 'political']","['A2Q1YS118AO2BP', 'A37WXDYYT7RCZ0']"
frames_tweets17_45,health,"As a doctor, I know health care touches every American. We have an obligation to work together &amp; solve problems. See my remarks today --&gt; https://t.co/40yhHw70ky",906193220534767616,950783972,RepBera,2017-09-08T16:31:14.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['health', 'political']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_46,health,I enjoyed my meeting with the Illinois Primary Health Care Association today about the importance of Community Health Centers in our region. https://t.co/IKIk3J1i5E,913137406135738368,1092979962,RepCheri,2017-09-27T20:24:57.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['public', 'health']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_47,political,How many times do the American people have to reject #ACA repeal efforts before Republicans are ready to move on? https://t.co/ddeH3Qpawh,909853567300890625,28602948,RepRaulGrijalva,2017-09-18T18:56:09.000Z,1.0,1.0,political,political,True,1.0,"['constitutionality', 'political']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_48,political,Tonight it was my distinct privilege to speak on the Senate floor in support of my friend &amp; our Attorney General Jeff Sessions. https://t.co/UoIYp1R3ES,829504231203885057,21111098,SenShelby,2017-02-09T01:36:34.000Z,1.0,1.0,political,political,True,1.0,"['law', 'political']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_49,health,I’m thinking of the Capital Gazette employees and their families in the wake of today’s heartbreaking shooting. The work they—and reporters all over the country—do is critical to the health of our democracy. -Joe,1012518922468413440,216503958,SenDonnelly,2018-06-29T02:11:37.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['health', 'security']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_50,security,Great work by our professional and dedicated law enforcement in handling the recent pipe bomb threats. Violence in American politics is abhorrent and never the answer.,1055971274370007040,2891210047,SenDanSullivan,2018-10-26T23:55:45.000Z,1.0,1.0,security and defense,security and defense,True,1.0,"['law', 'law']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_51,political,"""We know that every Democratic member of @senjudiciary is going to vote no...Doesn’t depend on what they read in documents, doesn’t depend on what Kavanaugh says—they’ve announced ahead of time they’re voting no &amp; most of the Senate Dems have announced that in the full Senate."" https://t.co/6Sqkw6Hq3S",1037082068210073601,1074480192,SenTedCruz,2018-09-04T20:56:47.000Z,1.0,1.0,political,political,True,1.0,"['morality', 'political']","['A2Q1YS118AO2BP', 'A2UCKZZI9KBBCV']"
frames_tweets17_52,health,I was honored to be w/ the Fargo VA today to celebrate their new departments. Their dedication to healthcare for veterans is second to none. https://t.co/cuJRghPlnG,916408545192611841,1048784496,SenKevinCramer,2017-10-06T21:03:17.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['health', 'constitutionality']","['A23WTODPHXZ68Y', 'A2Q1YS118AO2BP']"
frames_tweets17_53,health,"The NO vote from @SenateDems took pay away from our troops and health care from 9 million children nationwide (88,000 in MO) who rely on the Children’s Health Insurance Program every day. #FundTheGovernment #SchumerShutdown https://t.co/5GqnVAkv5Mhttps://t.co/SuvCJqSsUR",954749760468148225,237763317,RepHartzler,2018-01-20T16:17:35.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['cultural', 'policy']","['A2Q1YS118AO2BP', 'A37WXDYYT7RCZ0']"
frames_tweets17_54,security,Law enforcement officers make immeasurable sacrifices every single day and we are forever indebted to those who bravely serve our communities. Thank you for all you do to keep our families safe. #NationalPoliceWeek https://t.co/kdwWJiZ7mt,996423094263795713,1128514404,RepDavidValadao,2018-05-15T16:12:32.000Z,1.0,1.0,security and defense,security and defense,True,1.0,"['law', 'law']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_55,health,"Nurse practitioners and physicians assistants are on the front lines of the opioid epidemic, and are ready, willing, and more than able to help; when we let them do their job, they save and change lives. I spoke in support of this provision yesterday. WATCH: https://t.co/igZls9acTr",1042088567479193600,1068481578,SenAngusKing,2018-09-18T16:30:50.000Z,1.0,1.0,health and safety,health and safety,True,1.0,"['quality', 'health']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_56,security,Today we celebrate the incredible sacrifice of our service members in all branches of military. We honor you for your commitment to this country and we thank you for keeping this nation safe. Happy #VeteransDay2018 https://t.co/jIlhs5eLhI,1061619556517642241,26778110,RepWalterJones,2018-11-11T14:00:00.000Z,1.0,1.0,security and defense,security and defense,True,1.0,"['fairness', 'security']","['A2Q1YS118AO2BP', 'A5YVMQWA2IYPF']"
frames_tweets17_57,other,It's #NationalLibraryWeek! Libraries are critical to the communities they serve and I'm always happy to assist them in any way I can. I urge everyone in #MO05 to go out and support their local libraries this week. I hear @MCPLMO is even having a scavenger hunt... https://t.co/G7JTuGM30e,984164925114404866,163570705,repcleaver,2018-04-11T20:22:57.000Z,1.0,1.0,other,other,True,1.0,"['morality', 'capacity']","['A2Q1YS118AO2BP', 'A37WXDYYT7RCZ0']"
frames_tweets17_58,policy,Clear message today in PDX: #Trumpcare must be stopped. Proud to work w/ @SenJeffMerkley &amp; @RepBonamici in this fight of our lifetime. https://t.co/TAFGMWpXyx,883040154738319360,250188760,RonWyden,2017-07-06T19:09:13.000Z,1.0,1.0,policy prescription and evaluation,policy prescription and evaluation,True,1.0,"['health', 'health']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_59,policy,"Seismic testing has disastrous consequences for marine wildlife and is designed to lead to drilling off New Jersey’s coast. We will continue to fight the administration’s dangerous environmental policies in New Jersey, the courts and in Congress.
https://t.co/Gj1qICZ5fV",1072595661726605312,31801993,FrankPallone,2018-12-11T20:55:08.000Z,1.0,1.0,policy prescription and evaluation,policy prescription and evaluation,True,1.0,"['political', 'capacity']","['A2Q1YS118AO2BP', 'A37WXDYYT7RCZ0']"
frames_tweets17_60,fairness,“No country can ever truly flourish if it stifles the potential of its women and deprives itself of the contributions of half of its citizens.” —Michelle Obama #WomensHistoryMonth https://t.co/JzdmctAIsr,970348968797450241,30354991,KamalaHarris,2018-03-04T17:23:17.000Z,1.0,1.0,fairness and equality,fairness and equality,True,1.0,"['fairness', 'cultural']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_61,security,So proud of #VT National Guard units and the VT veterans who have served and sacrificed to keep this country safe &amp; secure. @vtarngrrb #VTVets https://t.co/PhE02Zr2MJ,929353405075787776,242836537,SenatorLeahy,2017-11-11T14:21:32.000Z,1.0,1.0,security and defense,security and defense,True,1.0,"['security', 'morality']","['A2IOT3PCS9G5RK', 'A2Q1YS118AO2BP']"
frames_tweets17_62,other,Thank you so much to the American Conservative Union for this award. I will continue to fight each and everyday for conservative values. https://t.co/AWWcJlE1rh,983853486919045120,278145569,MarshaBlackburn,2018-04-10T23:45:25.000Z,1.0,1.0,other,other,True,1.0,"['cultural', 'morality']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_63,security,"This #ThanksgivingWeek, I’m thankful for the dedicated Marines at Camp Pendleton, and across the world, who sacrifice to keep us safe. https://t.co/KHRrc0h9MS",1065013680415354881,30354991,KamalaHarris,2018-11-20T22:47:03.000Z,1.0,1.0,security and defense,security and defense,True,1.0,"['law', 'morality']","['A18DUG8EA8Y766', 'A2Q1YS118AO2BP']"
frames_tweets17_64,law,"If #Kavanaugh won’t insist the @FBI complete his background investigation as to this new allegation, he is unfit to serve as a federal judge. It is not a small matter for a federal judge to participate in a kangaroo hearing.",1042522209426792450,242555999,SenWhitehouse,2018-09-19T21:13:58.000Z,1.0,1.0,"law and order, crime and justice","law and order, crime and justice",True,1.0,"['capacity', 'constitutionality']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_65,economic,"It’s real simple why: that’s the priority of Texans. We want more jobs, we want higher wages, we want more opportunity. Texans understand that the way you get jobs is lower taxes, lower regulations &amp; creating an environment where small biz can prosper. —&gt; https://t.co/RsBCnlTUuD",1039637297711521793,1074480192,SenTedCruz,2018-09-11T22:10:21.000Z,1.0,1.0,economic,economic,True,1.0,"['economic', 'law']","['A2JPOXYZM5AJZZ', 'A2Q1YS118AO2BP']"
frames_tweets17_66,economic,"3/ We have spent more than $3 billion per month to continue the conflict, with little gain on the ground.",899805671184449537,88806753,RepGaramendi,2017-08-22T01:29:24.000Z,1.0,1.0,economic,economic,True,1.0,"['constitutionality', 'security']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_67,political,"While bipartisanship may be in short supply in Washington, D.C., it is alive and vocal in New Jersey.  Reps. Josh Gottheimer  and Leonard Lance defend the Gateway Project at a press conference Friday.   Gottheimer and Lance are members of the bipartisan Problem Solvers Caucus. https://t.co/Ca1Rmq9Igr",990969852969046016,613725908,RepLanceNJ7,2018-04-30T15:03:18.000Z,1.0,1.0,political,political,True,1.0,"['cultural', 'policy']","['A2Q1YS118AO2BP', 'A37WXDYYT7RCZ0']"
frames_tweets17_68,external,"This week, I spoke to the Japan America Society of St. Louis. Proud of the growing trade relationship between our two nations. https://t.co/r4u5Gy3N22",918149794446659585,1051446626,RepAnnWagner,2017-10-11T16:22:24.000Z,1.0,1.0,external regulation and reputation,external regulation and reputation,True,1.0,"['morality', 'economic']","['A2Q1YS118AO2BP', 'A3CFNUD7VR2E1E']"
frames_tweets17_69,economic,"Yesterday, our country's debt surpassed $20 trillion. Washington has got to wake up. FULL STATEMENT —&gt; https://t.co/AbFSZcQ3kzhttps://t.co/L27ED8QQJA",907734101377130496,2863210809,sendavidperdue,2017-09-12T22:34:09.000Z,1.0,1.0,economic,economic,True,1.0,"['quality', 'economic']","['A2Q1YS118AO2BP', 'A2WGW5Y3ZFBDEC']"
frames_tweets17_70,economic,"I'm proud to support this major  project, which would create nearly 100 new jobs in Goshen. Investing in our infrastructure is common sense. 
https://t.co/WN7L2z8P4m",957659540845219840,1072467470,RepSeanMaloney,2018-01-28T17:00:01.000Z,1.0,1.0,economic,economic,True,1.0,"['quality', 'external']","['A2HESXT4DAGASU', 'A2Q1YS118AO2BP']"
