id,ground_truth,text,implied_statement,implied_statement_without_target_info
hatespeech_target_54,muslims,pegida is all about saving white race from onslaught of islam . hitler was saving his race from ill effects . his people voted 4him,Muslims want to conquer the white race,"{'race', 'conquer', 'want'}"
hatespeech_target_55,white people,check out my white race is superior to anything book . moral supremacy : the revolution for god . sept . 1 is when it hits .,White people are better than other people.,"{'people', 'better'}"
hatespeech_target_56,muslims,better to just cut the jihadists down.,Muslims are terrorists,{'are'}
hatespeech_target_57,black people,doesn't having white friends usually clear blacks of hate crime charges ?,Blacks are hypocrites.,{'hypocrite'}
hatespeech_target_58,muslims,i'm not anti-white racist . i am anti-fascist and far-right : both islamic and your variety .,Muslims are inferior,{'inferior'}
hatespeech_target_59,black people,and stats show he'll likely shoot a black man  so all you white hostages can just leave .,Black people are killed more than white people.,{'killed'}
hatespeech_target_60,non white people,the revenge of rural white america via,non-white people are oppressors,{'oppressor'}
hatespeech_target_61,people of color,blood & honour - white aryan resistance t-shirt from the white resister : via,People of color are inferior to white people,{'inferior'}
hatespeech_target_62,conservatives,its cowardice that bannon denounced the alt right . i no longer support him,Conservatives are weak-willed,"{'weak', 'willed'}"
hatespeech_target_63,minorities,leibstandarte adolf hitler t-shirt from the white resister | read more :,Minorities are subpar human beings,"{'being', 'subpar', 'human'}"
hatespeech_target_64,white men,no wonder white men are committing suicide.rubio runs anti-white men campaign & their wives & daughters support him !,White men kill themselves.,{'kill'}
hatespeech_target_65,muslims,: nigeria : jihad / martydom bomber murders six at newspaper office : in america  the newspapers are the jihad's best ... ht ...,Muslims terrorize whites,{'terrorize'}
hatespeech_target_66,black people," rt three blacks kill a white man  "" for the fun of it . "" "" """,Black people kill whites.,{'kill'}
hatespeech_target_67,white people,what's the deal / is it wrong now to be superior and white ?,White people are superior,{'superior'}
hatespeech_target_68,illegal immigrants,"imagine the memories they'll form while starving, cold, and violently abused. last a lifetime.",Immigrants should die,{'die'}
hatespeech_target_69,conservatives,if not for a populist uprising in 2006 we would've gotten amnesty from george bush and mccain with the blessing of conservatives,Conservatives are gullible,{'gullible'}
hatespeech_target_70,white people,i don't hate anyone i just hate systemic white supremacy .,White people think they are better than anyone else.,"{'anyone', 'think', 'better', 'else'}"
hatespeech_target_71,white people,i thought whites were destroying the planet by using these evil resourcesmake up your mind,White folks destroyed the planet.,"{'planet', 'destroyed'}"
hatespeech_target_72,non white people,will in the first step to action . but you're right  strong action will be necessary to save europe for the white race .,non-white people are inferior,{'inferior'}
hatespeech_target_73,illegal immigrants,"what a genius, your mother would be proud",Immigrants are stupid,{'stupid'}
hatespeech_target_74,democrats,the democrats have become the party of the non-white & anti-white  even the #aflcio can't save them . #usa,Democrats are all non-whites.,"{'all', 'are'}"
hatespeech_target_75,jewish people,"  "" the jew as a parasite "" "" ( ( ( glyptapanteles ) ) ) """,jewish people leach off others,"{'leach', 'others'}"
hatespeech_target_76,muslims,why does islam have to be forced on people ? kill people who renounce it ? kill those of other faiths ?,Muslims force their religion on others,"{'force', 'religion', 'others'}"
hatespeech_target_77,non white people,white identity is timelesa,non-white people are inferior,{'inferior'}
hatespeech_target_78,black people,white protester attacked in #ferguson negrogeddon,Black people are violent,{'violent'}
hatespeech_target_79,illegal immigrants,deport those little turds!!,Immigrants should be deported.,{'deported'}
hatespeech_target_80,illegal immigrants,if they don't like the conditions don't do things to get put there! stay in your own country!,immigrants are greedy,{'greedy'}
hatespeech_target_81,non white people,exactly right . your only racist if your white . believe me they hate us more than we hate them !,non-white people are hypocrites,{'hypocrite'}
hatespeech_target_82,non white people,"  "" white supremacist "" "" is an anti-white slur . """,non-white people are hypocrites,{'hypocrite'}
hatespeech_target_83,no specific group,hang him at the church bell's tower,the group should be hanged of a church.,"{'group', 'church', 'hanged'}"
hatespeech_target_84,white people,"  "" : the most oppressed demographic in the #us is the white #workingclass "" "" """,White people are oppressed.,{'oppressed'}
hatespeech_target_85,minorities,there is nothing more precious than a white baby .,Minorities are inferior people,"{'people', 'inferior'}"
hatespeech_target_86,white women,david duke : the racial murder and rape of white women in america | read more : via,White women are being raped and killed.,"{'raped', 'killed'}"
hatespeech_target_87,black people,"the biological differences between the races are obvious to anyone with a working set of eyes. crime stats, inventions, cultu",black folks are criminals,{'are'}
hatespeech_target_88,muslims,"i don't carei bet when he says """"allahu ackbar"""" it's pretty damn cute",Muslims are terrorists,{'are'}
hatespeech_target_89,jewish people,whites need to identify as white because jews are targeting us as whites,Jews are out to get whites,{'get'}
hatespeech_target_90,minorities,you're a white man  frank . you're automatically a fascist to these people . perhap,Minorities are prejudiced,{'prejudiced'}
hatespeech_target_91,no specific group,what line has to be crossed until it's socially acceptable to purge degenerate filth with fire? let us do what must be done!,See above,{'see'}
hatespeech_target_92,white people,when you are so cucked you are triggered by a white hat .. white  what are you in the kkk or something ?,white people are racists,"{'s', 'are'}"
hatespeech_target_93,illegal immigrants,"where are the calls to cut immigration?! take us back to 200-250,000 annually!",Immigrants have to be deported more,{'deported'}
hatespeech_target_94,white people,if a klan couple get divorced  are they still legally brother and sister ?,White people practice incest.,"{'incest', 'practice'}"
hatespeech_target_95,muslims,#islamophobia khomeini sexually assaulting crying and screaming 4 year old girl  with parental,muslims rape little girls.,"{'rape', 'girl', 'little'}"
hatespeech_target_96,liberals,they are suing the wrong people ... sue the charlottesville municipality .,Liberals allowed the issues in Charlottesville to happen,"{'allowed', 'charlottesville', 'issue', 'happen'}"
hatespeech_target_97,minorities,it goes way deeper than skin . racial iq  k / r selection  evolutionary psychology  etc .,Minorities are inferior,{'inferior'}
hatespeech_target_98,black people,black lives matter has helped trump more that they have helped solve any problems in their communities  congrats  you played yourself ;),Blacks are non-contributory,"{'contributory', 'non'}"
hatespeech_target_99,illegal immigrants,"all daca recipients, except those in the service must be deported. thats what we voted fornot negotiable. lets concentrate on american dreamers for a change",Immigrants from daca have to be deported,"{'daca', 'deported'}"
hatespeech_target_100,minorities," sure . indeed  fact that anyone engaged in white identity politics is called a  "" racist  "" "" on """,Minorities are dishonest,{'dishonest'}
hatespeech_target_101,minorities,did you help the homeless of inferior genetics elimination from the gene pool by assisting only those homeless of superior european heritage ?,Minorities are inferior races.,"{'race', 'inferior'}"
hatespeech_target_102,illegal immigrants,"In my humble opinion the ethic solution is the cruelest available, because its my duty as member of society to kill those who tries to attack my family and destroy my country. Also its okay to excommunicate those who will be like ""SHIIIIET, DONT YOU HAVE NO HEART?! THEY'RE KIIIIIDS, DUDE""",Immigrants should be killed,{'killed'}
hatespeech_target_103,muslims,"it has it's place, that place is the middleeast. not the civilised world.",Muslims are uncivilized,{'uncivilized'}
hatespeech_target_104,jewish people,has #jewish #communism been successful in #america ? leave a comment and tell us what you think . #marxism #israel,Jews are incompetent,{'incompetent'}
hatespeech_target_105,white people,hi can i get a couple of grammes of your white power ?,White people think they are better than other races.,"{'race', 'think', 'better'}"
hatespeech_target_106,illegal immigrants,you are all smelly and i bet your faces look like melted wellies you poo heads,Immigrants are smelly and have to be abused,"{'smelly', 'abused'}"
hatespeech_target_107,minorities,time to stand up ! we r taking this country back ! #truth #maga #trump #pence law & order supporter,Minorities have taken over America,{'taken'}
hatespeech_target_108,muslims,throughout #islam 1400 year history they always use the blacks as their army to kill white people .,Muslims manipulate blacks,{'manipulate'}
hatespeech_target_109,illegal immigrants,kill a terrorist before he cuts off any heads! #rt #stopislam #tcot #makedclisten #wakeupamerica,Immigrants are terrorists,{'are'}
hatespeech_target_110,people of color,why are we in the state we are today ? post 1946.the plan to dilute the white race was set .,People of color want to get rid of white people,"{'rid', 'want', 'get'}"
hatespeech_target_111,non white people,who said white can't ? i'm sorry but it's white choice first then everything after . we see that in film  movies and daily living,non-white people are inferior,{'inferior'}
hatespeech_target_112,jewish people," their prime market is jews - lol you think  "" anti-semites "" "" are generating them revenue ? clicks maybe  but not revenue ( donations  etc . ) """,Jewish people control the money.,"{'money', 'control'}"
hatespeech_target_113,white people,guns are a white invention . we used them to conquer . third position is good . i'm not conservative . i'm reactionary white nationalist .,White people like guns.,"{'gun', 'like'}"
hatespeech_target_114,illegal immigrants,deport the bums,Immigrants should be deported,{'deported'}
hatespeech_target_115,muslims,disgraceful censorship of you should be going after terrorist supporters not those who oppose them . rethink or i close,Muslims are terrorists,{'are'}
hatespeech_target_116,white people,left wing traitors are scared native europeans will demand their identity  culture  history and land back !,white people founded America by themselves.,{'founded'}
hatespeech_target_117,white people,let me know when you're ready to saddle up and dig ditches  tend agriculture and empty trash or are your white hands too delicate :'(,white people are sensitive,{'sensitive'}
hatespeech_target_118,white people,excellent . we need our own adl yo track anti-white hate . then an aipac to pool funds to give to smaller orgs for white scholarships etc .,anti white discrimination,"{'anti', 'discrimination'}"
hatespeech_target_119,muslims,"  "" an imam is demanding the extermination of the jews "" "" ( via vladtepes ) the jew hate is mainstream islamic ... """,Muslims preach violence against Jews,"{'violence', 'preach'}"
hatespeech_target_120,white women,let's be a white resister : because the beauty of the white aryan woman must not perish from the earth !,White women are beautiful.,{'beautiful'}
hatespeech_target_121,antifa,pro-antifa = anti white : a new meme .,Antifa don't like white people.,{'like'}
hatespeech_target_122,black people,real racist are black full of hypocrisy,Blacks hold double standards for others.,"{'hold', 'others', 'standard', 'double'}"
hatespeech_target_123,white people,good ! man i'd hate to be a native born white in any of those cities .,White people are in trouble.,{'trouble'}
hatespeech_target_124,illegal immigrants,u can stick that hood where the sun don't shine you freaks call every white person against illegal immigration racist,Immigrants enter the country illegally,"{'country', 'enter', 'illegally'}"
hatespeech_target_125,no specific group,"- if going to war with these animals in unavoidable, it's time to hoist up the black flag.",the group should be fought.,"{'group', 'fought'}"
hatespeech_target_126,muslims,lynching is not indian thing its inherited from islam #what punishment shari'a gives for thefts ? ? ?,Muslims promote lynching to counter crime,"{'counter', 'promote', 'crime', 'lynching'}"
hatespeech_target_127,non white people,: when will you stand up for yourselves white america thugs attack whites #bamo #teaparty #tcot #ucot #ocra ...,Non-whites hate white people.,{'hate'}
hatespeech_target_128,jewish people,jews take great offense to being called white .,Jews despise the white race.,"{'race', 'despise'}"
hatespeech_target_129,black people,number 5 addition : unless they're black  then call them a twitter bot or say they hate themselves .,Black people hate themselves.,{'hate'}
hatespeech_target_130,illegal immigrants,us not interested in stopping jihad against the world ... this is my conclusion . close the borders & deport all enemies within,Immigrants are enemies.,{'enemy'}
hatespeech_target_131,white people,white british : minority within 50 years #swrm #white #whitegenocide #uk via,White people are becoming the minority.,"{'minority', 'becoming'}"
hatespeech_target_132,illegal immigrants,we found one jhant from australia was also abusing you . pl . fix suchillegitimate bastards .,Immigrants are criminals,{'are'}
hatespeech_target_133,white people,because it's the true heritage and origin of the white race ! ~,whites are racists,"{'s', 'are'}"
hatespeech_target_134,black people,they're going to need quite a baby boom to even catch up to the black population.,Black people should not reproduce,{'reproduce'}
hatespeech_target_135,leftists,dirty left-wing scum ! #abortion #crueltyfree #ireland #whitegenocide,Leftists are substandard human beings,"{'being', 'substandard', 'human'}"
hatespeech_target_136,white people,"  "" : kkk alive and well white brother hood unite ku klux klan "" "" hey do u recruit kindergartners """,White people are racist.,{'are'}
hatespeech_target_137,illegal immigrants,"they can get in line, pay and wait all the years i had to, to get my citizenship. i have no tolerance 4 illegals & their disrespect 4 usa",Illegals immigrants hate American culture,"{'culture', 'hate'}"
hatespeech_target_138,white people,what about the white terrorist in vegas ? ? ?,White people are terrorists.,{'are'}
hatespeech_target_139,white people,white because white supremacy,White people are better than other races.,"{'race', 'better'}"
hatespeech_target_140,minorities,listen up kkk . if u want up,Minorities are subpar compared to whites,"{'subpar', 'compared'}"
hatespeech_target_141,jewish people,jew says he's gonna kill judge,Jews are violent criminals,{'violent'}
hatespeech_target_142,black people," rt : #valuesofpeace  "" : boko haram leader : "" "" kill  kill  kill  kill  kill christians ! "" "" """,Blacks want to destroy white christianity.,"{'destroy', 'christianity', 'want'}"
hatespeech_target_143,white people,look they call it racism is you are white  but pride if you are black or a jew .,White people are racists.,"{'s', 'are'}"
hatespeech_target_144,jewish people,: hollywood jew harvey weinstein busted for decades-long sexual abuse of white women via,Jews are devious,{'devious'}
hatespeech_target_145,muslims,sadly islamist #palestinians don't want peace with jews . what they want is eternal victimhood death to #israel . #bds,Muslims want the destruction of Jews.,"{'want', 'destruction'}"
hatespeech_target_146,illegal immigrants,its very kind of them to be working. otherwise these blood sucking pests survive on benefits of tax payer money.,Immigrants take advantage of tax payers,"{'take', 'tax', 'payer', 'advantage'}"
hatespeech_target_147,black people,: new black panther leader says he's gonna hunt down and kill white people,Black people are violent and want to kill white people,"{'kill', 'violent', 'want'}"
hatespeech_target_148,white people,white power | read more : via,White people are superior.,{'superior'}
hatespeech_target_149,illegal immigrants,"if they are illegal, then let them go",Illegal immigrants should get deported,"{'get', 'deported'}"
hatespeech_target_150,islamic people,. i hate islamists . i hate jihadis . i hate terrorists . i do not hate muslims .,Islamic people are evil,{'evil'}
hatespeech_target_151,black people,white trash = white person procreating with a non-white,Implying white people that have kids with black people are trash people.,"{'kid', 'people', 'trash', 'implying'}"
hatespeech_target_152,white people,millions of africans every year leave lands controlled by blacks to live in lands controlled by whites . come on  man,White people control blacks.,{'control'}
hatespeech_target_153,illegal immigrants,"where he is going to put that people those that he is going to legalize are going to bring 30,000 000 million more where??",Immigrants are like infestations,"{'infestation', 'like'}"
hatespeech_target_154,white people,whites are not bothering anybody . people like you feel empowered by the media to demonize them . white p,White people don't do anything wrong.,"{'wrong', 'anything'}"
hatespeech_target_155,illegal immigrants," : australia returns non-white invaders to sri lanka ; jewish  "" human rights "" "" groups flip out """,immigrants are invading the country,"{'country', 'invading'}"
hatespeech_target_156,non white people,not just enslave though they also want to rape & force white women in marriage & they'll kill their own 4 race mixing 2,Non-whites want to rape white women.,"{'want', 'rape'}"
hatespeech_target_157,conservatives,defense over socialism ! yay ! romney would rather write checks 4 military aid 2 #israel than help auto industry in his home state .,Conservatives pander to jews,{'pander'}
hatespeech_target_158,illegal immigrants,does one need to be white to want stability? mass 3rd world immigration just is insane. no identity perspective needed,Immigrants make the country worse,"{'country', 'worse', 'make'}"
hatespeech_target_159,white people,the scandinavians are clearly the same as the spanish because of white peoples,White people are all the same,"{'the', 'all', 'same', 'are'}"
hatespeech_target_160,illegal immigrants,master obama wants a cheap labor force for his plantation! smile & be happy while u work!,Immigrants are cheap workers,"{'worker', 'cheap'}"
hatespeech_target_161,white people,white minority eradication :,White people are dying.,{'dying'}
hatespeech_target_162,black people,new black panther leader says he's gonna hunt down and kill white people | full story :,Blacks target whites for extermination,"{'target', 'extermination'}"
hatespeech_target_163,illegal immigrants,the indians were the first immigration movement even they had laws and consequences if you broke them?,Immigrants are criminals,{'are'}
hatespeech_target_164,progressives,the adl and the splc are both hate groups . they hate white european people .,Progressives despise whites,{'despise'}
hatespeech_target_165,white people,white guilt,whites have racism guilt,"{'guilt', 'racism'}"
hatespeech_target_166,no specific group,"it's already divided many times. short stubby sperm make girl babies, while long slender sperm make boys. got a pic?",No stereotype,{'stereotype'}
hatespeech_target_167,white people,"  "" : adolf "" "" smiley face "" "" t-shirt from the white resister : "" "" ; """,whites are superior race,"{'race', 'superior'}"
hatespeech_target_168,minorities,charity gives them less incentive to help themselves . white race = ruined . good job .,Minorities are lazy,{'lazy'}
hatespeech_target_169,democrats," rt : all the anti white whites will be caught between their coloured  "" allies "" "" and pro white  whites . """,Democrats are anti-white,{'anti'}
hatespeech_target_170,illegal immigrants,more poor uneducated to house clothe educate and feed! america is going bankrupt feeding the world!,Immigrants are poor and uneducated,"{'poor', 'uneducated'}"
hatespeech_target_171,jewish people,it doesn't have to be a conspiracy . it is one ethnic group that is a market dominant minority . it has a massive distorting effect on our culture and politics . but anyway  they are also tightly organized down to jewish orgs having an umbrella group,Jews are power hungry,"{'power', 'hungry'}"
hatespeech_target_172,white people,it was a white country  the founding fathers made this a white country  and it will be so again !,White people are great.,{'great'}
hatespeech_target_173,illegal immigrants,fight back then and stop the insanity of sanctuary cities !,Immigrants are bad.,{'bad'}
hatespeech_target_174,muslims,i pray for the christians in the middle east . ethnic cleansing which obama will do nothing about .,Muslims don't care about Christians.,{'care'}
hatespeech_target_175,minorities,and because of this  white americans are losing their home and country .,Minorities are pushing out whites,{'pushing'}
hatespeech_target_176,minorities,uniting the white : the white wing is getting its act together via,Minorities are substandard races,"{'race', 'substandard'}"
hatespeech_target_177,non white people,white power ! in white contries !,non-white people are inferior,{'inferior'}
hatespeech_target_178,jewish people,tim wise is not white  he is jewish .,Jews are not white,"{'not', 'are'}"
hatespeech_target_179,minorities,2017 : white people not wanting to be demographically annihilated is white supremacist,Minorities hold double standards for whites,"{'hold', 'standard', 'double'}"
hatespeech_target_180,black people,more negroes entered america in last decade than during 300 years of slave | more : trade,More black folks came to America during the last decade than during 300 years of slave trading.,"{'trading', 'slave', 'last', 'year', 'decade', 'came'}"
hatespeech_target_181,black people,: black activists call for lynching and hanging of white people and cops,Blacks advocate violence,"{'violence', 'advocate'}"
hatespeech_target_182,black people,black hood is the new white hood . no difference . neither can handle speech you dont agree with . i cant wait to see one of your little cowards . bam ! in the face .,blacks are racist against whites,"{'against', 'are'}"
hatespeech_target_183,white people,you mean #amerikkka is back . devils making amerikkka white again #mawa,Whites are racists,"{'s', 'are'}"
hatespeech_target_184,progressives," rt does  "" generation identity "" "" really want the "" "" remigration "" "" of black americans ? if yes  where to ?    """,Progressives advocate for blacks taking over.,"{'taking', 'advocate'}"
hatespeech_target_185,muslims,jihad : story of white slavery,Muslims think white people are slaves.,"{'think', 'slave'}"
hatespeech_target_186,illegal immigrants,"can anyone explain to me why we aren't using nukes, its the only solution",Immigrants have to be killed with nukes,"{'nuke', 'killed'}"
hatespeech_target_187,non white people,now those are some haircuts you can bring about a white ethno-state with ! great job guys !,non-white people are inferior,{'inferior'}
hatespeech_target_188,white people,only racist if you're white  this just makes you smart .,White people are racist/the only race capable of being racist,"{'race', 'capable'}"
hatespeech_target_189,black people,can someone tell the black people in chicago to stop killing one another before it becomes detroit,Black people kill each other.,{'kill'}
hatespeech_target_190,illegal immigrants,deport him to guantanamo. he won't come back for an 8 th time.,Immigrants must be arrested,"{'arrested', 'must'}"
hatespeech_target_191,illegal immigrants,": """"mighty hard to make a great country out of 'legal' third world people:",immigrants drag down any society in which they inhabit,"{'drag', 'inhabit'}"
hatespeech_target_192,black people,blacks are denied access to credit for the simple reason that they are less responsible with money,Blacks are incapable of self-governance,"{'self', 'governance', 'incapable'}"
hatespeech_target_193,black people,race war in nyc : black power militants storm restaurants and harass white patrons via #waronwhites,Blacks victimize whites,{'victimize'}
hatespeech_target_194,white people,white powers son,White people are better than other people.,"{'people', 'better'}"
hatespeech_target_195,muslims,whn they hate n kill shia nt mentioned in quran de wl nevr let live any jew mentioned as despisd in quran hadish,Muslims preach hatred,"{'hatred', 'preach'}"
hatespeech_target_196,illegal immigrants,nomore babysitters for the illegals breaking the law .,Illegals are criminals.,{'are'}
hatespeech_target_197,white people,repubs hating muslims blacks hispanics immigrants women govt libs ... who's left for angry white bigots to hate ?,White people hate everyone.,"{'hate', 'everyone'}"
hatespeech_target_198,muslims," german muslim : islam is coming to take over germany  "" your daughters will wear hijab """,Muslims are oppressive,{'oppressive'}
hatespeech_target_199,black people,what does that even mean? it's the oldest black republic in the world? blacks created modern haiti,black folks have created a modern Haiti,"{'modern', 'haiti', 'created'}"
hatespeech_target_200,black people,new black panther party got suspended for posting about jews . dont worry  anti-white hate and threats of violence is still allowed on the platform .,Black people don't like Jews.,{'like'}
hatespeech_target_201,minorities," well those  "" groups "" "" are anti-white and it's obvious in their speech . """,Minorities oppose whites,{'oppose'}
hatespeech_target_202,illegal immigrants,its not a plight . its just time for them to go home .,Immigrants are leeches,{'leech'}
hatespeech_target_203,white people,video : white man march - white nationalist rallies organized across the globe for march via white time,White people need to stick together.,"{'need', 'stick', 'together'}"
hatespeech_target_204,white people,nowhere is it explained why xenophobia and white self preservation are anything other than positives for america,White people are not good for America.,{'good'}
hatespeech_target_205,people of color,there is no hate . what they want to root out is any form of white european identity . they have declared,People of color want to get rid of white people,"{'rid', 'want', 'get'}"
hatespeech_target_206,black people," lower iq and the resulting aggressive behaviours  inability to learn complex sciences  inability to self-reflect (  "" kangz "" ""  etc ) . impossible . """,Black people are violent and stupid,"{'stupid', 'violent'}"
hatespeech_target_207,black people,"bovine fecal matter, dreamers deleimma is they finally got caught, nightmares are more like it, all these years and never got citisenship.",Mocking black people protests and demands and comparing with animal stuff.,"{'mocking', 'comparing', 'stuff', 'protest', 'animal', 'demand'}"
