id,text,ground_truth,date,source,type
misinfo_83,"An investigation team from France discovered what is hidden about COVID-19, the virus was made by the Pasteur Institute in Wuhan.",Misinformation,2020-03-18,Facebook,covid
misinfo_84,"Coronavirus is picky in terms of whom to infect. It does not infect protesters, black, or famous people.",Misinformation,2020-08-17,Facebook,covid
misinfo_85,"""In Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.""",Misinformation,2020-04-05,Facebook,covid
misinfo_86,People driving cars and motorcycles without masks will receive traffic tickets in Brazil.,Misinformation,2020-05-04,Facebook,covid
misinfo_87,"The label on Dettol disinfectant spray claims it is proven to ""kill coronavirus;"" the company knew about the new strain since 2019.",Misinformation,2020-02-06,Facebook,covid
misinfo_88,"""Man visited Albany, N.Y., days before dying from coronavirus.""",Misinformation,2020-03-04,Facebook,covid
misinfo_89,"The head of the USA Department of Health ""J. Anthony"" and the head of the Centers for Disease Control and Prevention (CDC) , Anthony Fauci, said that hair salons are responsible for 50 percent of all coronavirus death in the USA.",Misinformation,2020-05-06,Facebook,covid
misinfo_90,14-week-old male fetus DNA added to AstraZeneca vaccine,Misinformation,2020-12-15,Facebook,covid
misinfo_91,"""There is no pandemic. Terrorists Gates and Soros arranged the quarantine for world domination"".",Misinformation,2020-06-13,Facebook,covid
misinfo_92,The Simpsons predicted the new coronavirus outbreak.,Misinformation,2020-02-20,Facebook,covid
misinfo_93,"When the mass vaccination has been on hold, the number of child deaths has declined.",Misinformation,2020-06-25,Facebook,covid
misinfo_94,A COVID-19 censor has been inserted secretly into every phone,Misinformation,2020-08-28,Facebook,covid
misinfo_95,"Joo Doria, governor of So Paulo, said CoronaVac, the Chinese vaccine that will be tested in Brazil, will be tested only on elderly people, who will receive 1.5 thousand reais (around 250 American dollars).",Misinformation,2020-06-19,Facebook,covid
misinfo_96,"An article that ensures that the director general of the WHO said that ""another pandemic is coming and it will be another tragedy""",Misinformation,2020-10-07,Facebook,covid
misinfo_97,The coronavirus outbreak is over in China.,Misinformation,2020-03-13,Facebook,covid
misinfo_98,"COVID-19, MERS and H1N1 epidemics coincide with the installation of 3G, 4G and 5G networks respectively.",Misinformation,2020-04-20,Facebook,covid
misinfo_99,Picture shows clothes of those who have died of coronavirus in China. Beijing is now shipping these clothes to Africa.,Misinformation,2020-04-28,Facebook,covid
misinfo_100,"Germany has banned PCR tests to detect covid-19 saying they are ""scientifically invalid"" and criticized the measures adopted in Spain.",Misinformation,2020-09-22,Facebook,covid
misinfo_101,AIIMS (Indian medical institute) team has said that Toddy has medicinal properties to cure coronavirus.,Misinformation,2020-03-11,Facebook,covid
misinfo_102,"Bill Gates as early as 2018 prophesied the pandemic at Event 201, says legislator Sara Cunial",Misinformation,2020-11-29,Facebook,covid
misinfo_103,"""Wuhan Virus"" is named SARI. Steroid is the medicine to cure it. Acetic acid can be used to prevent it.",Misinformation,2020-01-26,Facebook,covid
misinfo_104,Does Mexico have confirmed cases of COVID-19?,Misinformation,2020-03-10,Facebook,covid
misinfo_105,"Pragya Kathua, a comedian from Odia, has died.",Misinformation,2020-04-28,Facebook,covid
misinfo_106,Consuming silver particles will prevent or treat COVID-19.,Misinformation,2020-03-13,Facebook,covid
misinfo_107,Garlic and guava leaf cure COVID-19.,Misinformation,2020-06-26,Facebook,covid
misinfo_108,"A poem about the teachings that a covid-19 crisis could leave on human beings has been shared more than 75,000 times on social media since mid-May with the claim that it was written in the 19th century about an epidemic.",Misinformation,2020-09-01,Facebook,covid
misinfo_109,Fewer than 100 people have died from COVID-19 in Ireland.,Misinformation,2020-06-12,Facebook,covid
misinfo_110,There is no coronavirus pandemic  argued by epidemiologisttourist guide from Italy.,Misinformation,2020-04-29,Facebook,covid
misinfo_111,Nebulisations with drugs for bronchitis and natural remedies cure COVID-19.,Misinformation,2020-06-25,Facebook,covid
misinfo_112,Chewing betel nuts can prevent COVID-19 infection.,Misinformation,2020-03-30,Facebook,covid
misinfo_113,"The number of deaths from respiratory illnesses in Ireland this year is comparable to previous years, and COVID-19 is not causing any more deaths than would usually be happening",Misinformation,2020-04-18,Facebook,covid
misinfo_114,Utility companies Manila Electric Company (Meralco) and Maynilad Water Services Inc are waiving their billings for March 2020 due to the coronavirus crisis.,Misinformation,2020-03-19,Facebook,covid
misinfo_115,"The spread of the COVID-infection through vaccines is proved by cases of people in a nursing home in Germany as well as in Israel, who got infected after the vaccination.",Misinformation,2021-01-18,Facebook,covid
misinfo_116,Migrants traveling to their homes from Mumbai during lockdown.,Misinformation,2020-05-29,Facebook,covid
misinfo_117,"Coffins of alleged COVID-19 victims were unearthed in Belo Horizonte, Brazil. There were only rocks inside.",Misinformation,2020-04-30,Facebook,covid
misinfo_118,Saint Luke's Hospital of the USA says consuming alcohol can reduce the risk of COVID-19.,Misinformation,2020-03-12,Facebook,covid
misinfo_119,No pig fat ingridients were found in Pfizer and Moderna COVID-19 vaccines,Misinformation,2020-12-23,Facebook,covid
misinfo_120,"Facebook user suggested that ""frustrated Italians"" are throwing away their money.",Misinformation,2020-04-03,Facebook,covid
misinfo_121,Palm oil is a simple solution for coronavirus,Misinformation,2020-05-10,Facebook,covid
misinfo_122,Thieves are handing out chemically doused face masks to knock people out before robbing them.,Misinformation,2020-04-15,Facebook,covid
misinfo_123,South Korean President Moon Jae-in announced the country had procured enough doses of China-made Covid-19 vaccines to vaccinate 45 million people.,Misinformation,2020-12-03,Facebook,covid
misinfo_124,Viral claims that holding your breath can test for COVID-19.,Misinformation,2020-03-11,Facebook,covid
misinfo_125,Liberal MP Karen Andrews drew a comparison between people who are against the proposed Covid-19 vaccine and Jewish people during the Holocaust,Misinformation,2020-09-15,Facebook,covid
misinfo_126,Drinking water will prevent coronavirus.,Misinformation,2020-02-04,Facebook,covid
misinfo_127,"Masks should only be used by healthcare workers, caretakers, or by people who are sick with symptoms like cough and fever: WHO",Misinformation,2020-09-09,Facebook,covid
misinfo_128,Argentina's vice-president pretended to receive vaccine for COVID-19,Misinformation,2020-12-30,Facebook,covid
misinfo_129,Areas Of Lucknow Sealed To Check Outbreak Of New Covid Strain,Misinformation,2021-01-08,Facebook,covid
misinfo_130,Coronavirus is unknown and kills in seconds.,Misinformation,2020-01-31,Facebook,covid
misinfo_131,"Dr. Elisa Granato, one of the first volunteers to receive a potential COVID-19 vaccine in the U.K., has died.",Misinformation,2020-04-29,Facebook,covid
misinfo_132,Wearing a traditional turban as it is done in the Songhoy (or Songhai) culture is both an ancestral practice and a preventive measure against COVID-19.,Misinformation,2020-05-12,Facebook,covid
misinfo_133,"""MSNBC actually said on air 'I hope enough people die from coronavirus that it harms Trump's re-election.'""",Misinformation,2020-03-11,Facebook,covid
misinfo_134,"Persimmon kills coronavirus, according to the study by Japanese scientists.",Misinformation,2020-11-09,Facebook,covid
misinfo_135,The PCR test aims to damage this blood-brain barrier and thus create a direct entrance to the brain for any infection.,Misinformation,2020-08-11,Facebook,covid
misinfo_136,"Joo Doria, governor of So Paulo, took a COVID-19 vaccine that is being tested in Brazil without wearing a mask",Misinformation,2020-07-23,Facebook,covid
misinfo_137,"Dr. Li-Meng Yan claims that ""This virus, COVID-19 SARS-CoV-2 virus, actually is not from nature. It is a man-made virus created in the lab.""",Misinformation,2020-09-15,Facebook,covid
misinfo_138,Cop is extorting money from migrant labourers who want to return home due to the lockdown.,Misinformation,2020-05-11,Facebook,covid
misinfo_139,"A picture of a queue in a Bom Prato (a chain of state run popular restaurants that offers low cost meals to poor people in So Paulo). The caption states that Joo Dria, So Paulo governor, opened the restaurants and allowed the agglomeration, while, at the same time, forbade the regular restaurant to open.",Misinformation,2020-04-04,Facebook,covid
misinfo_140,A poem about people staying home was written by Kathleen O'Mara in 1869.,Misinformation,2020-04-06,Facebook,covid
misinfo_141,"Philippine Vice President Leni Robredo says bats are the ""enemy"" in the novel coronavirus pandemic.",Misinformation,2020-03-17,Facebook,covid
misinfo_142,"Africa's richest man, Aliko Dangote, running a Facebook giveaway for money, food and other assistance to 10,000 youths who have lost loved ones to the COVID-19 pandemic.",Misinformation,2020-11-18,Facebook,covid
misinfo_143,"In Tamil Nadu's Vellore, Muslims are offering namaz during lockdown.",Misinformation,2020-05-05,Facebook,covid
misinfo_144,A Saudi Arabian study for a MERS vaccine is linked to the outbreak of coronavirus.,Misinformation,2020-01-27,Facebook,covid
misinfo_145,"Coronavac, a Chinese vaccine against COVID-19 being tested in Brazil, is made with aborted fetus cells",Misinformation,2020-07-23,Facebook,covid
misinfo_146,People in Ukraine will be forcibly vaccinated against the new coronavirus.,Misinformation,2020-04-09,Facebook,covid
misinfo_147,"Official news: in Naples people have used Tocilizumab, a drug that will cure COVID-19.",Misinformation,2020-03-29,Facebook,covid
misinfo_148,"14 points of expert advice about coronavirus, including symptoms, prevention and how it spreads.",Misinformation,2020-02-29,Facebook,covid
misinfo_149,The mayor of Curitiba in Brazil did not order the closure of shops and the city did not register any deaths by COVID-19.,Misinformation,2020-04-07,Facebook,covid
misinfo_150,"If a patient is diagnosed with COVID-19 and the doctor refuses to prescribe hydroxichloroquine, the patient is entitled to a lawsuit.",Misinformation,2020-07-16,Facebook,covid
misinfo_151,Former MP Bimal Rathnayake made a comment stating that deceased Muslims from COVID-19 should be buried as per their customs and not cremated.,Misinformation,2020-03-31,Facebook,covid
misinfo_152,"Italy registered 4,200 new recovering cases from coronavirus in 24 hours.",Misinformation,2020-03-23,Facebook,covid
misinfo_153,News graphic saying Indian prime minister has asked for the internet to be shut down in the country.,Misinformation,2020-03-28,Facebook,covid
misinfo_154,Indian President Ramnath Kovind pouring gaumutra (cow urine) on globe to prevent coronavirus.,Misinformation,2020-03-12,Facebook,covid
misinfo_155,"According to the Chinese CDC, tea can reduce the risk of contracting coronavirus.",Misinformation,2020-02-04,Facebook,covid
misinfo_156,The federal police found thousands of reais inside the house of Par state Health secretary. This money was supposed to go to COVID-19-related equipment.,Misinformation,2020-06-17,Facebook,covid
misinfo_157,The incident of lynching of two Indian monks in Palghar amid lockdown was communal.,Misinformation,2020-04-21,Facebook,covid
misinfo_158,There are only more cases because Germany tests more,Misinformation,2020-11-15,Facebook,covid
misinfo_159,Madagascar found a medicine for COVID-19 and will start distributing to the entire world.,Misinformation,2020-05-02,Facebook,covid
misinfo_160,"48 coronavirus patients found in quarantine center in Sultanpuri, in Delhi, India and all those belong to Jamaat.",Misinformation,2020-04-23,Facebook,covid
misinfo_161,"Face masks are not needed during the fake pandemic, because they weaken the immune system and kill the people (and other anti ""fake pandemic"" claims fact checked)",Misinformation,2020-09-22,Facebook,covid
misinfo_162,The coronavirus has never been isolated and PCR tests are not validated,Misinformation,2020-11-11,Facebook,covid
misinfo_163,Moderna's mRNA COVID-19 vaccine can alter human DNA.,Misinformation,2020-12-10,Facebook,covid
misinfo_164,"President Donald Trump in the next 48 to 72 hours will impose a nationwide ""mandatory quarantine.""",Misinformation,2020-03-16,Facebook,covid
misinfo_165,"A magic remedy to prevent COVID-19: mix brown sugar, ginger, garlic, and Chinese leek, boil them and drink it.",Misinformation,2020-03-19,Facebook,covid
misinfo_166,"87,000 Dutch nurses refused to be vaccinated against COVID-19.",Misinformation,2020-12-15,Facebook,covid
misinfo_167,"Social media users claimed Ghana did poorly with respect to food distribution amid the COVID-19 season, when compared to Niger, Nigeria and Rwanda.",Misinformation,2020-04-16,Facebook,covid
misinfo_168,Norway prohibited the Biontech/Pfizer vaccine because it caused 23 deaths,Misinformation,2021-01-15,Facebook,covid
misinfo_169,There is a case of coronavirus in Caserta.,Misinformation,2020-02-10,Facebook,covid
misinfo_170,The publication gives list of drugs to prevent the new coronavirus,Misinformation,2020-03-31,Facebook,covid
misinfo_171,Cristiano Ronaldo turns hotel into hospital for coronavirus.,Misinformation,2020-03-17,Facebook,covid
misinfo_172,Israeli scientists have developed a COVID-19 vaccine.,Misinformation,2020-03-02,Facebook,covid
misinfo_173,Cuba's low number of COVID-19 deaths is due to its use of hydroxychloroquine to treat patients,Misinformation,2020-07-24,Facebook,covid
misinfo_174,"Maria Virgnia Casagrande, first lady of the Brazilian State of Espirito Santo, was cured of COVID-19 after being treated with a protocol of hydroxychloroquine and azithromycin.",Misinformation,2020-06-04,Facebook,covid
misinfo_175,"Nobel Prize laureate Prof. Honjo says he's ""worked at a research institute in Wuhan for four years"" and claims the novel coronavirus ""is created by China"".",Misinformation,2020-04-29,Facebook,covid
misinfo_176,COVID-19 is more deadly than Ebola or HIV.,Misinformation,2020-02-11,Facebook,covid
misinfo_177,Tokyo Olympics logo has been redesigned on the theme of social distancing.,Misinformation,2020-03-24,Facebook,covid
misinfo_178,"Due to the COVID-19 outbreak, Central Govt. has started the online processing of GST Refund.",Misinformation,2020-05-25,Facebook,covid
misinfo_179,A man who died after being attacked by a grizzly bear was counted as COVID-19 death,Misinformation,2020-09-28,Facebook,covid
misinfo_180,Dr. Sucharit Bhakdi's multiple coronavirus allegations,Misinformation,2021-01-02,Facebook,covid
misinfo_181,Data showing that socialist countries handle coronavirus better.,Misinformation,2020-06-05,Facebook,covid
misinfo_182,"President Donald Trump said, ""People are dying who have never died before.""",Misinformation,2020-03-18,Facebook,covid
misinfo_183,Pictures show Angela Merkel and other policians standing very close together and not keeping distance.,Misinformation,2020-05-04,Facebook,covid
misinfo_184,COVID-19 vaccine will contain a chip which will help in tracking people,Misinformation,2020-12-14,Facebook,covid
misinfo_185,Time has published a scenario of the new world order.,Misinformation,2020-10-26,Facebook,covid
misinfo_186,Holding your breath can let you test whether you may have COVID-19.,Misinformation,2020-03-23,Facebook,covid
misinfo_187,An armored vehicle was so full of corpses that it slipped off a trailer.,Misinformation,2020-02-25,Facebook,covid
misinfo_188,The United Nations Children's Fund (UNICEF) is involved in the purchase of vaccines to ensure that children in Georgia are subject to mandatory vaccination.,Misinformation,2020-09-15,Facebook,covid
misinfo_189,"The governor of Rio de Janeiro is paying a special COVID-19 monthly allowance, of BRL 836.00, to all inmates in the state. Meanwhile, the emergency COVID-19 for poor people who are not convicted criminals is only BRL 600.",Misinformation,2020-04-30,Facebook,covid
misinfo_190,Indian economist Raghuram Rajan chaired the IMF webinar on coronavirus.,Misinformation,2020-04-22,Facebook,covid
misinfo_191,Wearing a mask makes the wearer inhale mold,Misinformation,2020-07-31,Facebook,covid
misinfo_192,"Bahia state Government bought hydroxichloroquine, even though it is being distributed for free by the Federal Government",Misinformation,2020-09-08,Facebook,covid
misinfo_193,"Walter Molino's painting ""Life in 2022"" illustrates the pandemic.",Misinformation,2020-11-05,Facebook,covid
misinfo_194,"""Coronavirus hoax: Fake virus pandemic fabricated to cover-up global outbreak of 5G Syndrome.""",Misinformation,2020-03-02,Facebook,covid
misinfo_195,Recent changes to Alberta's health statutes will bring in forced medical isolation and vaccination,Misinformation,2020-10-01,Facebook,covid
misinfo_196,Drinking bitter gourd juice cures the coronavirus.,Misinformation,2020-03-19,Facebook,covid
misinfo_197,"A picture of Brazilian president Jair Bolsonaro in a hospital bed, which would show his condition after testing positive for Covid-19.",Misinformation,2020-07-08,Facebook,covid
misinfo_198,"An alleged leak from a Liberal Party of Canada (LPC) member about a government coronavirus ""road map,"" including restriction of movement and military deployment",Misinformation,2020-10-22,Facebook,covid
misinfo_199,We have not heard of a single police officer dying from COVID-19 across the world.,Misinformation,2020-05-19,Facebook,covid
misinfo_200,"According to the newspaper ""The Sovereign Independent"", Bill Gates is planning to depopulate the world through forced vaccination.",Misinformation,2020-11-18,Facebook,covid
misinfo_201,Roma streets are filled with bird corpses because of coronavirus poisoning in the air.,Misinformation,2020-04-06,Facebook,covid
misinfo_202,COVID-19 passengers being disembarked at Senegal airport.,Misinformation,2020-03-18,Facebook,covid
misinfo_203,"Immunologist Tasuku Honjo stated that the coronavirus is a man-made virus, intentionally manufactured in a lab",Misinformation,2020-12-04,Facebook,covid
misinfo_204,Barack Obama and Dr Anthony Fauci gave a laboratory in Wuhan $3.7 million in 2015 for a 'bat' project,Misinformation,2020-06-24,Facebook,covid
misinfo_205,Central government has given permission for schools to re-open.,Misinformation,2020-07-22,Facebook,covid
misinfo_206,"CoronaVac, vaccine that is being developed in China and will be tested in Brazil, was not tested anywhere else in the world.",Misinformation,2020-06-18,Facebook,covid
misinfo_207,There is a person with coronavirus in Galicia on 2/4/20.,Misinformation,2020-02-04,Facebook,covid
misinfo_208,The coronavirus is related to the treatment given to Uighur Muslims by China,Misinformation,2020-01-27,Facebook,covid
misinfo_209,The vaccine against COVID-19 is finally ready.,Misinformation,2020-03-24,Facebook,covid
misinfo_210,"Argentine doctor Luis Marcelo Mart_nez talks about"" the dangers of the new vaccine against covid-19_, which, according to Mart_nez, seeks to ""manipulate"" the human genome on a massive scale and would cause ""irreparable damage",Misinformation,2020-09-29,Facebook,covid
misinfo_211,Ketamine can cure COVID-19.,Misinformation,2020-02-23,Facebook,covid
misinfo_212,An Indian news channel claimed that coronavirus pandemic would affect 1.6 billion laborers in India.,Misinformation,2020-05-06,Facebook,covid
misinfo_213,Big Pharma is behind COVID-19 deaths.,Misinformation,2020-03-30,Facebook,covid
misinfo_214,Pandemics happen every 100 years.,Misinformation,2020-03-15,Facebook,covid
misinfo_215,Israel has no cases of the coronavirus because it developed a cure.,Misinformation,2020-03-13,Facebook,covid
