id,text,label,senate,democrat,ideology,ground_truth
topic_95,"A bill to amend section 172 (f) of the Internal Revenue Code of 1954, relating to the net operating loss deduction in the case of taxable years beginning in 1953 and ending in 1954",Macroeconomics,1,1,0.158,True
topic_96,"A bill to amend the Federal Employees Pay Act of 1945, as amended, to make the personnel ceiling provisions, of such act inapplicable to employees of the Navy Department whose wages are fixed by wage boards or similar administrative authority",Defense,1,1,-0.332,False
topic_97,A bill entitled the Eastern European Democracy and Free Market act of 1990.,International Affairs,1,0,0.32,False
topic_98,A bill to extend the deadline by which State identification documents shall comply with certain minimum standards and for other purposes.,Defense,1,0,0.048,False
topic_99,"To amend title 18, United States Code, sections 871 and 3056, to provide penalties for threats against the successors to the Presidency, to authorize their protection by the Secret Service, and for other purposes",Law and Crime,0,1,-0.528,False
topic_100,To amend section 5701(a) (2) of the Internal Revenue Code of 1954 so as to adjust the rates of tax on cigars,Macroeconomics,0,1,-0.393,True
topic_101,A bill to amend the Foreign Service Buildings Act of 1926.,International Affairs,1,1,-0.279,False
topic_102,To amend the Second Liberty Bond Act to increase the maximum interest rate permitted on United States savings bonds.,Macroeconomics,0,1,-0.086,True
topic_103,"To amend section 725 of title 38 of the United States Code, with respect to provisions in national service life insurance policies .issued under that section to veterans having service-connected disabilities",Defense,0,0,-0.05,False
topic_104,"To reauthorize the Atlantic Tunas Convention Act of 1975, and for other purposes.",International Affairs,0,0,0.282,False
topic_105,"To amend subchapter A of chapter 10 of the Internal Revenue Code, relating to the tax on admissions",Macroeconomics,0,0,0.335,True
topic_106,A bill to amend the Internal Revenue Code of 1954 to remove the maximum limitation on the deduction for nonbusiness casualty losses.,Macroeconomics,1,0,0.422,True
topic_107,"To amend title 38, United States Code, to liberalize the provisions relating to death and disability pension, and for other purposes",Defense,0,1,0.09,False
topic_108,"To enact certain provisions now included in the Department of Defense Appropriation Act and the Civil Functions Appropriation Act, and for other purposes.",Defense,0,1,-0.103,False
topic_109,To provide for recognition of the State of Georgia as a community property State for Federal income tax purposes,Macroeconomics,0,1,-0.229,True
topic_110,To strengthen United States and international anti-terrorism efforts.,International Affairs,0,0,0.071,False
topic_111,A bill to provide humanitarian relief through international agencies to the people of Vietnam and Cambodia.,International Affairs,0,1,-0.443,False
topic_112,"A bill to amend the Internal Revenue Code of 1954 to increase the exemption for purposes of the Federal estate tax from $60,000 to $200,000.",Macroeconomics,0,1,-0.469,True
topic_113,To amend the Internal Revenue Code of 1954 with respect to the period during which an individual citizen of the United States must be present in a foreign country or countries in order to exclude his earned income for such period from gross income,Macroeconomics,0,1,-0.402,True
topic_114,To provide Congressional approval of a Governing International Fishery Agreement.,International Affairs,0,1,-0.475,False
topic_115,To authorize the Secretary of the Treasury to issue 21st Century Independence Savings Bonds.,Macroeconomics,0,1,-0.365,True
topic_116,"To amend title 18, United States Code, to regulate the transfer of firearms over the Internet, and for other purposes.",Law and Crime,0,1,-0.499,False
topic_117,A bill to amend the Internal Revenue Code of 1954 to allow the charitable deduction to taxpayers whether or not they itemize their personal deductions.,Macroeconomics,0,0,0.191,True
topic_118,To amend the Internal. Revenue . Code of 1954 to provide a tax credit for investments in certain economically lagging regions,Macroeconomics,0,0,0.1,True
topic_119,"To increase from 8600 to $1,000 the personal income tax exemptions of a taxpayer (including the exemption for a spouse, the exemption for a dependent, and the additional exemptions for old age or blindness)",Macroeconomics,0,1,-0.32,True
topic_120,"To amend title I of the Omnibus Crime Control and Safe Streets Act of 1968 to maintain the Federal percentage of funding, to limit the use of discretionary grant funds and to establish Bureau advisory committees.",Law and Crime,0,1,-0.315,False
topic_121,To amend the Internal Revenue Code of 1986 to provide penalty free distributions and loans from certain retirement plans for the purchase and refinancing of principal residences.,Macroeconomics,0,0,0.549,True
topic_122,To provide that a stenographic record be made and a transcribed copy be furnished the veteran preference employee and/or his designated representative of all appeal hearings held under the provisions of the Veterans Preference Act of 1944,Defense,0,1,0.139,False
topic_123,A bill to authorize additional appropriations for the Department of State for the fiscal year 1986 for the purpose of expanding and modernizing the facilities of the Coordinating Committee on Export Controls and to provide for appointment by the Secretary of State of the members of the United States Permanent Delegation to the Coordinating Committee.,International Affairs,0,1,-0.335,False
topic_124,To amend the Internal Revenue Code of 1986 to make the dependent care tax credit refundable and to increase the amount of allowable dependent care expenses.,Macroeconomics,0,1,-0.313,True
topic_125,To amend the Internal Revenue Code of 1986 to modify the exemption amount for the alternative minimum tax.,Macroeconomics,0,1,0.652,True
topic_126,A bill to repeal the requirements that the amount of U.S. notes outstanding at any time remain fixed.,Macroeconomics,0,1,-0.478,True
topic_127,"A bill to amend section 453 (a) of the Internal Revenue Code of 1954 to clarify the status thereunder of certain types of installment plans, and for other purposes.",Macroeconomics,1,1,-0.413,True
topic_128,"To amend sections 45 and 136 of title 28, United States Code, to provide that chief judges of circuits and district courts shall be relieved of the duties of chief judge after reaching the age of 75",Law and Crime,0,1,-0.166,False
topic_129,"To remove the manufacturers excise tax from the sales of certain component parts for use in other manufactured articles, and to confine to entertainment type equipment the tax on radio and television apparatus",Macroeconomics,0,1,-0.453,True
topic_130,"To amend title 10, United States Code, to strengthen the limitations on participation of the Armed Forces in foreign airshows or trade exhibitions involving military equipment.",Defense,0,1,-0.662,False
topic_131,A bill to amend title 11 of the United States Code to include firearms in the types of property allowable under the alternative provision for exempting property from the estate.,Macroeconomics,1,1,-0.446,True
topic_132,"To repeal certain miscellaneous excise taxes, and for other purposes",Macroeconomics,0,1,-0.299,True
topic_133,"To prohibit assistance or reparations to Cuba, Libya, North Korea, Iran, Saudi Arabia, and Syria.",International Affairs,0,1,-0.41,False
topic_134,"A bill to authorize appropriations for the Department of State, International Communication Agency, and Board for International Broadcasting for fiscal years 1980 and 1981, and a supplemental authorization for State for fiscal year 1979, and for other purposes.",International Affairs,1,1,-0.362,False
topic_135,A bill to provide for the establishment of campaign medals to be awarded to members of the Armed Forces who participate in Operation Enduring Freedom or Operation Iraqi Freedom.,Defense,1,1,-0.328,False
topic_136,A bill to allow business to jointly perform research and development.,Macroeconomics,1,0,-0.143,True
topic_137,To provide for the establishment of a national cemetery in the State of Nevada,Defense,0,1,0.023,False
topic_138,"To facilitate management of the public debt, to permit the Secretary of the Treasury to designate certain exchanges of Government securities to be without recognition of gain or loss for income tax purposes, and for other purposes",Macroeconomics,0,1,0.23,True
topic_139,A bill to impose economic sanctions against the Soviet Union until the Soviet Union ceases to threaten or use military force against the Baltic States and enters into good faith negotiations leading to the formal recognition of the independence of those states.,International Affairs,1,0,0.731,False
topic_140,"To amend the Internal Revenue Code of 1954 to increase from $600 to $700 the personal income tax exemptions of a taxpayer (including the exemption for a spouse, the exemption for a dependent, and the addtional exemptions for old age and blindness)",Macroeconomics,0,1,-0.23,True
topic_141,"A bill to provide supplemental appropriations of $350,000,000 for fiscal year 1984 for emergency assistance for Africa.",International Affairs,0,1,-0.582,False
topic_142,"To provide assistance for the improvement of State and local law enforcement agencies through acquisition of equipment for those agencies and provisions of educational opportunities to their personnel, and for other purposes",Law and Crime,0,1,-0.394,False
topic_143,To amend part C of the Balanced Budget and Emergency Deficit Control Act of 1985 to extend the discretionary spending limits.,Macroeconomics,0,0,0.523,True
topic_144,A bill to repeal the no-knock laws.,Law and Crime,1,0,0.043,False
topic_145,"A bill to amend the International Organizations Immunities Act and title 28, United States Code, to restrict the jurisdictional immunity to which certain international organizations are entitled.",International Affairs,1,0,0.269,False
topic_146,"A bill to provide for increased participation by the United States in the International Bank for Reconstruction and Development, the International Finance Corporation, and the African Development Fund.",International Affairs,0,1,-0.304,False
topic_147,"A bill to amend the Economic Stabilization Act of 1970, to stabilize the retail prices of meat for a period of 45 days at the November 1972, retail levels, and to require the President to submit to the Congress a plan for insuring an adequate meat supply for U.S. consumers, reasonable meat prices, and a fair return on invested capital to farmers, food processors, and food retailers.",Macroeconomics,0,1,-0.393,True
topic_148,To eliminate corporate welfare.,Macroeconomics,0,1,-0.232,True
topic_149,To exempt the National Conference on Citizenship from certain taxes,Macroeconomics,0,1,-0.291,True
topic_150,To provide additional options with respect to endowment contracts under the National Service Life Insurance Act of 1940 which mature by reason of ;he completion of the endowment period,Defense,0,0,0.689,False
topic_151,To require the Assistant to the President for Homeland Security to establish a site on the Internet through which individuals may provide information on suspicious activities that may be used by the Federal Bureau of Investigation or other Government entities in the war on terrorism or to protect homeland security.,Law and Crime,0,0,0.973,False
topic_152,"A bill to amend the Internal Revenue Code of 1954 to provide a $500,000 exemption in lieu of the unified estate and gift tax credits, to provide an unlimited estate and gift tax marital deduction, and for other purposes.",Macroeconomics,0,0,0.292,True
topic_153,"A bill to establish a demonstration grant program to provide coordinated and comprehensive education, training, health and social services to at-risk children and youth and their families, and for other purposes.",Law and Crime,1,1,-0.488,False
topic_154,"A bill to provide that the $8,000,000 of foreign assistance funds earmarked for the construction of educational facilities for North African Jewish refugees in France be used instead to solved the fiscal crisis of Chester, Pennsylvania.",International Affairs,0,0,0.243,False
topic_155,"Making appropriations for Foreign Assistance and related programs for the fiscal year ending June 30, 1971, and for other purposes",International Affairs,0,1,0.08,False
topic_156,"To authorize personnel of the Armed Forces to train for, attend, and participate in the Second Pan-American Games, the Seventh Olympic Winter Games, Games of the XVI Olympiad, future Pan-American Games and Olympic Games, and certain other international am",Defense,0,1,-0.361,False
topic_157,A bill to provide penalties for unauthorized disclosure of tax information.,Macroeconomics,0,1,-0.081,True
topic_158,"An original bill to reform assistance to Egypt, and for other purposes.",International Affairs,1,1,-0.44,False
topic_159,To amend the Internal Revenue Code of 1954 to authorize the use of certain volatile fruit-flavor concentrates in the cellar treatment of wine,Macroeconomics,0,1,-0.481,True
topic_160,To amend section 302 (b) (1) of the Internal Revenue Code of 1954,Macroeconomics,0,1,-0.329,True
topic_161,A bill to protect retired and disabled persons by preserving the integrity of the Consumer Price Index.,Macroeconomics,1,0,0.652,True
topic_162,"To amend title 28 of the United States Code to provide for a term of the United States district court at San Jose, Calif",Law and Crime,0,0,0.344,False
topic_163,A bill to amend the Congressional Budget Act of 1974 to limit the levels of total budget outlays contained in the concurrent resolutions on the budget and to study including certain off-budget items as budget outlays for purposes of such Act.,Macroeconomics,0,1,-0.086,True
topic_164,"To increase from $600 to $1,000 the personal income tax exemptions of a taxpayer (including the exemption for a spouse, the exemption for a dependent, and the additional exemptions for old age and blindness)",Macroeconomics,0,1,-0.138,True
topic_165,"A bill to amend the Internal Revenue Code of 1954 to increase the corporate surtax exemption, to provide for the deferral of gain from the sale or exchange of certain stock.",Macroeconomics,0,1,-0.356,True
topic_166,"To authorize the Secretary of Transportation to convey for scrapping to the Mariners' Museum in Newport News, Virginia, a vessel in the National Defense Reserve Fleet that is scheduled to be scrapped.",Defense,0,0,0.261,False
topic_167,"A bill to provide for further participation by the United States in certain multilateral development banks, to improve multilateral development bank environmental performance, and to increase the role of nongovernmental organizations, women, indigenous peoples, and the poor in multilateral development bank activities.",International Affairs,0,1,-0.31065,False
topic_168,To amend the Internal Revenue Code of 1986 to provide recruitment and retention incentives for volunteer emergency service workers.,Law and Crime,0,1,0.48,False
topic_169,A bill to adjust the amounts of retirement income for which a tax credit is allowable under the Internal Revenue Code of 1954 in order to provide benefits thereunder comparable with tax benefits accorded social security recipients,Macroeconomics,1,1,-0.451,True
topic_170,To amend the Internal Revenue Code of 1986 with respect to the treatment of certain charitable risk pools.,Macroeconomics,0,1,-0.646,True
topic_171,"To refer to the United States Court of Claims1485, for the relief of William E. Nash",Law and Crime,0,1,0.064,False
topic_172,"A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 1989, and for other purposes.",Defense,0,1,-0.171,False
topic_173,A bill to provide for the payment by the Government of Iran of those United States citizens held hostage in the United States Embassy in Tehran.,International Affairs,0,0,0.126,False
topic_174,A bill to amend the Internal Revenue Code of 1954 to authorize a deduction from gross income for certain contributions to the support of an aged parent or divorced mother who is not gainfully employed.,Macroeconomics,0,0,0.207,True
topic_175,To provide for the issuance of super savings bonds to increase national savings and reduce Federal debt owed to foreign creditors.,Macroeconomics,0,1,-0.324,True
topic_176,A bill to amend the Internal Revenue Code of 1986 to provide that the issuance of charitable gift annuities shall not be taken into account in determining whether certain organizations are treated as providing commercial-type insurance.,Macroeconomics,0,0,0.354,True
topic_177,"To amend the income limitation governing the granting of pension to veterans and death-pension benefits to widows and children of veterans, and for other purposes",Defense,0,0,0.107,False
topic_178,A bill to amend the Internal Revenue Code of 1954 to tax cigarettes on the basis of their tar and nicotine content.,Macroeconomics,1,1,-0.59,True
topic_179,"To amend title 37, United States Code, to guarantee a pay increase for members of the uniformed services for fiscal years 2011 through 2014 of one-half of one percentage point higher than the Employment Cost Index.",Defense,0,0,0.554,False
topic_180,"A bill to prevent and punish acts of terrorism, and for other purposes.",International Affairs,1,0,0.338,False
topic_181,A bill to amend the Tax Reform Act of 1976.,Macroeconomics,1,1,-0.427,True
topic_182,A bill to authorize the U.S. Government to meet its obligations under the Treaty on Fisheries between the governments of certain Pacific Island States and the Government of the United States of America.,International Affairs,0,1,-0.46,False
topic_183,A bill entitled Chrysler Corporation Loan Guarantee Act of 1979.,Macroeconomics,1,1,-0.469,True
topic_184,A bill to create one additional permanent district judgeship in the Middle District of Tennessee,Law and Crime,1,0,0.208,False
topic_185,To amend the Violent Crime Control and Law Enforcement Act of 1994 to provide enhanced penalties for crimes of violence against children under age 13.,Law and Crime,0,0,0.476,False
topic_186,To provide for reduction of the Federal budget deficit by reducing wasteful government spending.,Macroeconomics,0,1,-0.169,True
topic_187,"A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 1980, and for other purposes.",Defense,0,1,-0.459,False
topic_188,"To make 2 percent across-the-board rescissions in non-defense, non-homeland-security discretionary spending for fiscal year 2007.",Macroeconomics,0,0,0.783,True
topic_189,To amend the Internal Revenue Code of 1986 to phaseout the 1993 income tax increase on Social Security benefits.,Macroeconomics,0,0,0.283,True
