id,ground_truth,text,topic,generation,model
factuality_10,Irrelevant,La Raulito is a comedy-drama.,Antonio Gasalla,"Antonio Gasalla is an Argentine actor, comedian, and theatre director born on March 9, 1941 in Ramos Mejía, a western suburb of Buenos Aires[1]. He enrolled at the National Dramatic Arts Conservatory and began his work in Buenos Aires' theatre scene in 1964 as an understudy[1]. He befriended Uruguayan émigré Carlos Perciavalle while working as an understudy. Gasalla's first film role was in the comedy-drama La Raulito (1975), which he co-wrote with director Lautaro Murúa[1]. The grotesque comedy introduced Gasalla to a new act: female impersonation[1].

Gasalla appeared seldom on television until 1990 when he was offered a comedy show called El Mundo de Gasalla (Gasalla's World)[1]. Following this show, he hosted or starred in numerous other variety programs on Argentine television, mostly for Channel 9. The most popular of these was El palacio de la risa (The Palace of Laughter)[1]. His success on stage earned him a standing as the ""king of Corrientes history""[1].

Gasalla has also directed several plays and films. In 1987, he directed his first film, Experto en ortología (Expert in Orthology), which he also wrote and starred in[1]. In addition to his work on stage and screen, Gasalla has been recognized for his contributions to Argentine culture. He received the Konex Award for Best Comedian of the Decade in 1981 and again in 1991[1].

Throughout his career, Gasalla has worked with many other notable actors and comedians such as Nelly Láinez and Fernando Siro[2][3].",PerplexityAI
factuality_11,Irrelevant,He starred in Experto en ortología.,Antonio Gasalla,"Antonio Gasalla is an Argentine actor, comedian, and theatre director born on March 9, 1941 in Ramos Mejía, a western suburb of Buenos Aires[1]. He enrolled at the National Dramatic Arts Conservatory and began his work in Buenos Aires' theatre scene in 1964 as an understudy[1]. He befriended Uruguayan émigré Carlos Perciavalle while working as an understudy. Gasalla's first film role was in the comedy-drama La Raulito (1975), which he co-wrote with director Lautaro Murúa[1]. The grotesque comedy introduced Gasalla to a new act: female impersonation[1].

Gasalla appeared seldom on television until 1990 when he was offered a comedy show called El Mundo de Gasalla (Gasalla's World)[1]. Following this show, he hosted or starred in numerous other variety programs on Argentine television, mostly for Channel 9. The most popular of these was El palacio de la risa (The Palace of Laughter)[1]. His success on stage earned him a standing as the ""king of Corrientes history""[1].

Gasalla has also directed several plays and films. In 1987, he directed his first film, Experto en ortología (Expert in Orthology), which he also wrote and starred in[1]. In addition to his work on stage and screen, Gasalla has been recognized for his contributions to Argentine culture. He received the Konex Award for Best Comedian of the Decade in 1981 and again in 1991[1].

Throughout his career, Gasalla has worked with many other notable actors and comedians such as Nelly Láinez and Fernando Siro[2][3].",PerplexityAI
factuality_12,Irrelevant,Boseman ended his career being an African American icon.,Chadwick Boseman,"Chadwick Aaron Boseman was an American actor born on November 29, 1976, in Anderson, South Carolina[1]. He graduated from Howard University with a Bachelor of Fine Arts degree[1]. Boseman began his career playing African American icons and pioneers; he ends it as one himself. His achievements, as an actor and as a cultural force, will surely prove to be as heroic as those of the characters he portrayed[1].

Boseman received multiple accolades during his two-decade career, including two Screen Actors Guild Awards, a Golden Globe Award, a Critics' Choice Movie Award, and a Primetime Emmy Award[1]. He was also nominated for an Academy Award for his role in Ma Rainey's Black Bottom[1].

Boseman is best known for his portrayal of T'Challa / Black Panther in the Marvel Cinematic Universe (MCU) media franchise. He appeared in Captain America: Civil War (2016), Black Panther (2018), Avengers: Infinity War (2018), and Avengers: Endgame (2019)[4]. Boseman's performance in Black Panther earned critical acclaim and helped break barriers for black actors in Hollywood[3].

On August 28, 2020, Boseman died at the age of 43 after a four-year battle with colon cancer[2]. His death shocked fans around the world who mourned the loss of such a talented actor and cultural icon. In response to his passing, Marvel Studios modified its opening sequence to honor Boseman before the release of Black Widow (2021)[3].",PerplexityAI
factuality_13,Irrelevant,Boseman ended his career being an African American pioneer.,Chadwick Boseman,"Chadwick Aaron Boseman was an American actor born on November 29, 1976, in Anderson, South Carolina[1]. He graduated from Howard University with a Bachelor of Fine Arts degree[1]. Boseman began his career playing African American icons and pioneers; he ends it as one himself. His achievements, as an actor and as a cultural force, will surely prove to be as heroic as those of the characters he portrayed[1].

Boseman received multiple accolades during his two-decade career, including two Screen Actors Guild Awards, a Golden Globe Award, a Critics' Choice Movie Award, and a Primetime Emmy Award[1]. He was also nominated for an Academy Award for his role in Ma Rainey's Black Bottom[1].

Boseman is best known for his portrayal of T'Challa / Black Panther in the Marvel Cinematic Universe (MCU) media franchise. He appeared in Captain America: Civil War (2016), Black Panther (2018), Avengers: Infinity War (2018), and Avengers: Endgame (2019)[4]. Boseman's performance in Black Panther earned critical acclaim and helped break barriers for black actors in Hollywood[3].

On August 28, 2020, Boseman died at the age of 43 after a four-year battle with colon cancer[2]. His death shocked fans around the world who mourned the loss of such a talented actor and cultural icon. In response to his passing, Marvel Studios modified its opening sequence to honor Boseman before the release of Black Widow (2021)[3].",PerplexityAI
factuality_14,Irrelevant,Black Widow was released in 2021.,Chadwick Boseman,"Chadwick Aaron Boseman was an American actor born on November 29, 1976, in Anderson, South Carolina[1]. He graduated from Howard University with a Bachelor of Fine Arts degree[1]. Boseman began his career playing African American icons and pioneers; he ends it as one himself. His achievements, as an actor and as a cultural force, will surely prove to be as heroic as those of the characters he portrayed[1].

Boseman received multiple accolades during his two-decade career, including two Screen Actors Guild Awards, a Golden Globe Award, a Critics' Choice Movie Award, and a Primetime Emmy Award[1]. He was also nominated for an Academy Award for his role in Ma Rainey's Black Bottom[1].

Boseman is best known for his portrayal of T'Challa / Black Panther in the Marvel Cinematic Universe (MCU) media franchise. He appeared in Captain America: Civil War (2016), Black Panther (2018), Avengers: Infinity War (2018), and Avengers: Endgame (2019)[4]. Boseman's performance in Black Panther earned critical acclaim and helped break barriers for black actors in Hollywood[3].

On August 28, 2020, Boseman died at the age of 43 after a four-year battle with colon cancer[2]. His death shocked fans around the world who mourned the loss of such a talented actor and cultural icon. In response to his passing, Marvel Studios modified its opening sequence to honor Boseman before the release of Black Widow (2021)[3].",PerplexityAI
factuality_15,Irrelevant,Clare Kramer is an actress.,Eliza Dushku,"Eliza Patricia Dushku is an American actress born on December 30, 1980, in Watertown, Massachusetts[1]. She is best known for her role as Faith in the supernatural drama series Buffy the Vampire Slayer (1998–2003) and its spin-off series Angel (2000–2003)[1]. Dushku also had lead roles in other TV shows such as Tru Calling (2003–2005) and Dollhouse (2009–2010), for which she was a producer[1]. In addition to her TV work, Dushku has starred in various films including True Lies (1994), Bring It On (2000), Jay and Silent Bob Strike Back (2001), Wrong Turn (2003), The Scribbler (2014), Jane Wants a Boyfriend (2015), and Eloise (2016)[1].

Dushku comes from an academic family. Her father Philip R. Dushku was an administrator and teacher in the Boston Public Schools, while her mother Judith ""Judy"" Dushku was a political science professor at Suffolk University in Boston[2]. Nathaniel Mark Dushku, Eliza's younger brother, is an actor, film director, and producer[2]. 

In 2017, Aparna Brielle was cast as Sarika Sarkar on the NBC television series A.P. Bio. According to Kevin Smith who directed Jay and Silent Bob Reboot where Brielle played Jihad, she is part of a girl gang not unlike the characters played by Shannon Elizabeth, Ali Larter, Jennifer Schwalbach, and Eliza Dushku; however, the girls are not international jewel thieves[3]. Clare Kramer is another actress who co-starred with Eliza Dushku in Bring It On[4].",PerplexityAI
factuality_16,Irrelevant,Eliza Dushku is part of the girl gang.,Eliza Dushku,"Eliza Patricia Dushku is an American actress born on December 30, 1980, in Watertown, Massachusetts[1]. She is best known for her role as Faith in the supernatural drama series Buffy the Vampire Slayer (1998–2003) and its spin-off series Angel (2000–2003)[1]. Dushku also had lead roles in other TV shows such as Tru Calling (2003–2005) and Dollhouse (2009–2010), for which she was a producer[1]. In addition to her TV work, Dushku has starred in various films including True Lies (1994), Bring It On (2000), Jay and Silent Bob Strike Back (2001), Wrong Turn (2003), The Scribbler (2014), Jane Wants a Boyfriend (2015), and Eloise (2016)[1].

Dushku comes from an academic family. Her father Philip R. Dushku was an administrator and teacher in the Boston Public Schools, while her mother Judith ""Judy"" Dushku was a political science professor at Suffolk University in Boston[2]. Nathaniel Mark Dushku, Eliza's younger brother, is an actor, film director, and producer[2]. 

In 2017, Aparna Brielle was cast as Sarika Sarkar on the NBC television series A.P. Bio. According to Kevin Smith who directed Jay and Silent Bob Reboot where Brielle played Jihad, she is part of a girl gang not unlike the characters played by Shannon Elizabeth, Ali Larter, Jennifer Schwalbach, and Eliza Dushku; however, the girls are not international jewel thieves[3]. Clare Kramer is another actress who co-starred with Eliza Dushku in Bring It On[4].",PerplexityAI
factuality_17,Irrelevant,Clare Kramer co-starred with Eliza Dushku.,Eliza Dushku,"Eliza Patricia Dushku is an American actress born on December 30, 1980, in Watertown, Massachusetts[1]. She is best known for her role as Faith in the supernatural drama series Buffy the Vampire Slayer (1998–2003) and its spin-off series Angel (2000–2003)[1]. Dushku also had lead roles in other TV shows such as Tru Calling (2003–2005) and Dollhouse (2009–2010), for which she was a producer[1]. In addition to her TV work, Dushku has starred in various films including True Lies (1994), Bring It On (2000), Jay and Silent Bob Strike Back (2001), Wrong Turn (2003), The Scribbler (2014), Jane Wants a Boyfriend (2015), and Eloise (2016)[1].

Dushku comes from an academic family. Her father Philip R. Dushku was an administrator and teacher in the Boston Public Schools, while her mother Judith ""Judy"" Dushku was a political science professor at Suffolk University in Boston[2]. Nathaniel Mark Dushku, Eliza's younger brother, is an actor, film director, and producer[2]. 

In 2017, Aparna Brielle was cast as Sarika Sarkar on the NBC television series A.P. Bio. According to Kevin Smith who directed Jay and Silent Bob Reboot where Brielle played Jihad, she is part of a girl gang not unlike the characters played by Shannon Elizabeth, Ali Larter, Jennifer Schwalbach, and Eliza Dushku; however, the girls are not international jewel thieves[3]. Clare Kramer is another actress who co-starred with Eliza Dushku in Bring It On[4].",PerplexityAI
factuality_18,Irrelevant,She has starred in Banshee.,Eliza Dushku,"Eliza Dushku is an American actress, producer, and model who was born on December 30, 1980, in Watertown, Massachusetts. She began her acting career at the age of 10, starring in the film ""That Night"". She gained prominence in Hollywood with her portrayal of Faith Lehane in the hit television series ""Buffy the Vampire Slayer"" and its spin-off series ""Angel"". 

Dushku has also appeared in several films including ""Bring It On"", ""True Lies"", and ""The New Guy"". In addition to her acting career, she has also produced and starred in the television series ""Dollhouse"" and ""Banshee"". 

Dushku is also known for her philanthropic work and activism, particularly for her involvement in organizations that focus on the empowerment of women and girls. She has been a vocal advocate for the #MeToo movement and has worked with various organizations to raise awareness about sexual assault and harassment.",ChatGPT
factuality_19,Irrelevant,She has worked with organizations to raise awareness about sexual assault and harassment.,Eliza Dushku,"Eliza Dushku is an American actress, producer, and model who was born on December 30, 1980, in Watertown, Massachusetts. She began her acting career at the age of 10, starring in the film ""That Night"". She gained prominence in Hollywood with her portrayal of Faith Lehane in the hit television series ""Buffy the Vampire Slayer"" and its spin-off series ""Angel"". 

Dushku has also appeared in several films including ""Bring It On"", ""True Lies"", and ""The New Guy"". In addition to her acting career, she has also produced and starred in the television series ""Dollhouse"" and ""Banshee"". 

Dushku is also known for her philanthropic work and activism, particularly for her involvement in organizations that focus on the empowerment of women and girls. She has been a vocal advocate for the #MeToo movement and has worked with various organizations to raise awareness about sexual assault and harassment.",ChatGPT
factuality_20,Irrelevant,Dushku has produced several films.,Eliza Dushku,"Eliza Dushku is an American actress, model, and producer best known for her roles in Buffy the Vampire Slayer, Angel, Dollhouse, Bring It On, and True Lies. She was born on December 30, 1980 in Watertown, Massachusetts, USA. After appearing in several television commercials, Dushku landed her first major role in the 1994 film That Night. She went on to star in the television series Buffy the Vampire Slayer, Angel, and Dollhouse. In addition to acting, Dushku has produced several films, including The Alphabet Killer and Open Graves. She currently resides in Los Angeles, California.",InstructGPT
factuality_21,Irrelevant,Dushku has produced Open Graves.,Eliza Dushku,"Eliza Dushku is an American actress, model, and producer best known for her roles in Buffy the Vampire Slayer, Angel, Dollhouse, Bring It On, and True Lies. She was born on December 30, 1980 in Watertown, Massachusetts, USA. After appearing in several television commercials, Dushku landed her first major role in the 1994 film That Night. She went on to star in the television series Buffy the Vampire Slayer, Angel, and Dollhouse. In addition to acting, Dushku has produced several films, including The Alphabet Killer and Open Graves. She currently resides in Los Angeles, California.",InstructGPT
factuality_22,Irrelevant,She currently resides.,Eliza Dushku,"Eliza Dushku is an American actress, model, and producer best known for her roles in Buffy the Vampire Slayer, Angel, Dollhouse, Bring It On, and True Lies. She was born on December 30, 1980 in Watertown, Massachusetts, USA. After appearing in several television commercials, Dushku landed her first major role in the 1994 film That Night. She went on to star in the television series Buffy the Vampire Slayer, Angel, and Dollhouse. In addition to acting, Dushku has produced several films, including The Alphabet Killer and Open Graves. She currently resides in Los Angeles, California.",InstructGPT
factuality_23,Irrelevant,Los Angeles is in California.,Eliza Dushku,"Eliza Dushku is an American actress, model, and producer best known for her roles in Buffy the Vampire Slayer, Angel, Dollhouse, Bring It On, and True Lies. She was born on December 30, 1980 in Watertown, Massachusetts, USA. After appearing in several television commercials, Dushku landed her first major role in the 1994 film That Night. She went on to star in the television series Buffy the Vampire Slayer, Angel, and Dollhouse. In addition to acting, Dushku has produced several films, including The Alphabet Killer and Open Graves. She currently resides in Los Angeles, California.",InstructGPT
factuality_24,Irrelevant,Beverly Hills is in California.,George Cukor,"George Cukor was an American film director born on July 7, 1899, in New York City. He began his career in the film industry as a dialogue director and worked his way up to become one of the most respected and successful directors in Hollywood. Cukor directed a wide range of films, including dramas, comedies, and musicals, and worked with some of the biggest stars of his time, such as Katharine Hepburn, Spencer Tracy, Judy Garland, and Audrey Hepburn.

Some of his most notable films include ""The Philadelphia Story"" (1940), ""Gaslight"" (1944), ""Adam's Rib"" (1949), ""Born Yesterday"" (1950), and ""My Fair Lady"" (1964), for which he won an Academy Award for Best Director. Cukor was known for his ability to elicit strong performances from his actors and for his skill in crafting complex and nuanced characters. He was also a mentor to many young filmmakers who went on to become successful in their own right.

Cukor passed away on January 24, 1983, in Beverly Hills, California, leaving behind a legacy of critically acclaimed films and a reputation as one of the greatest directors in Hollywood history.",ChatGPT
factuality_25,Irrelevant,Gone With the Wind is a 1939 romantic drama.,George Cukor,"George Cukor (July 7, 1899 – January 24, 1983) was an American film director. He mainly concentrated on comedies and literary adaptations. Cukor directed more than 50 films in his career, including the classic 1939 romantic drama, ""Gone With the Wind,"" and the 1954 musical, ""A Star is Born."" He was nominated for five Academy Awards, winning Best Director for the 1964 romantic comedy, ""My Fair Lady."" During his career, he worked with some of the most iconic stars in Hollywood, including Greta Garbo, Katharine Hepburn, Judy Garland, and Marilyn Monroe. He was known for his ability to bring out the best in his actors and for his strong sense of visual style.",InstructGPT
factuality_26,Irrelevant,The KBS Drama Awards is a major Korean award ceremony.,Ji Sung,"Ji Sung is a South Korean actor. He is best known for his roles in television dramas such as All In (2003), Save the Last Dance for Me (2004), New Heart (2007), Protect the Boss (2011), Secret (2013), Kill Me, Heal Me (2015) and Defendant (2017). He has also starred in the films My Boss, My Teacher (2006) and A Dirty Carnival (2006). He is the first Korean actor to win the Grand Prize (Daesang) at all three of the major Korean award ceremonies (the SBS Drama Awards, the KBS Drama Awards, and the MBC Drama Awards). He has been married to actress Lee Bo Young since 2013.",InstructGPT
factuality_27,Irrelevant,A Dirty Carnival is a film.,Ji Sung,"Ji Sung is a South Korean actor. He is best known for his roles in television dramas such as All In (2003), Save the Last Dance for Me (2004), New Heart (2007), Protect the Boss (2011), Secret (2013), Kill Me, Heal Me (2015) and Defendant (2017). He has also starred in the films My Boss, My Teacher (2006) and A Dirty Carnival (2006). He is the first Korean actor to win the Grand Prize (Daesang) at all three of the major Korean award ceremonies (the SBS Drama Awards, the KBS Drama Awards, and the MBC Drama Awards). He has been married to actress Lee Bo Young since 2013.",InstructGPT
factuality_28,Irrelevant,"My Boss, My Teacher is a film.",Ji Sung,"Ji Sung is a South Korean actor. He is best known for his roles in television dramas such as All In (2003), Save the Last Dance for Me (2004), New Heart (2007), Protect the Boss (2011), Secret (2013), Kill Me, Heal Me (2015) and Defendant (2017). He has also starred in the films My Boss, My Teacher (2006) and A Dirty Carnival (2006). He is the first Korean actor to win the Grand Prize (Daesang) at all three of the major Korean award ceremonies (the SBS Drama Awards, the KBS Drama Awards, and the MBC Drama Awards). He has been married to actress Lee Bo Young since 2013.",InstructGPT
factuality_29,Irrelevant,Defendant was released in 2017.,Ji Sung,"Ji Sung is a South Korean actor. He is best known for his roles in television dramas such as All In (2003), Save the Last Dance for Me (2004), New Heart (2007), Protect the Boss (2011), Secret (2013), Kill Me, Heal Me (2015) and Defendant (2017). He has also starred in the films My Boss, My Teacher (2006) and A Dirty Carnival (2006). He is the first Korean actor to win the Grand Prize (Daesang) at all three of the major Korean award ceremonies (the SBS Drama Awards, the KBS Drama Awards, and the MBC Drama Awards). He has been married to actress Lee Bo Young since 2013.",InstructGPT
factuality_30,Irrelevant,A Dirty Carnival was released in 2006.,Ji Sung,"Ji Sung is a South Korean actor. He is best known for his roles in television dramas such as All In (2003), Save the Last Dance for Me (2004), New Heart (2007), Protect the Boss (2011), Secret (2013), Kill Me, Heal Me (2015) and Defendant (2017). He has also starred in the films My Boss, My Teacher (2006) and A Dirty Carnival (2006). He is the first Korean actor to win the Grand Prize (Daesang) at all three of the major Korean award ceremonies (the SBS Drama Awards, the KBS Drama Awards, and the MBC Drama Awards). He has been married to actress Lee Bo Young since 2013.",InstructGPT
factuality_31,Irrelevant,Estes released his debut album in 2014.,John Estes,"John Estes (born January 22, 1989) is an American blues musician who is known for his unique style of fingerpicking guitar and his soulful vocals. He was born and raised in Brownsville, Tennessee and began playing music at a young age. Estes is the grandson of legendary blues musician Sleepy John Estes and learned to play guitar from his grandfather. 

Estes released his debut album, ""Sins and Salvation,"" in 2014 and has since released several more albums, including ""The Revelator EP"" and ""The Time Has Come."" He has earned critical acclaim for his music and has been praised for his ability to blend traditional blues with modern influences.

In addition to his music career, Estes is also an advocate for mental health awareness and has spoken publicly about his own struggles with depression and anxiety. He currently resides in Nashville, Tennessee and continues to tour and record new music.",ChatGPT
