id,ground_truth,original_id_and_wave
issue_survey_81,Austerity,id_46496.0_wave_9
issue_survey_82,Austerity,id_43662.0_wave_8
issue_survey_83,Austerity,id_33181.0_wave_3
issue_survey_84,Austerity,id_41988.0_wave_6
issue_survey_85,Austerity,id_31455.0_wave_3
issue_survey_86,Austerity,id_57450.0_wave_8
issue_survey_87,Austerity,id_56418.0_wave_12
issue_survey_88,Austerity,id_42239.0_wave_7
issue_survey_89,Austerity,id_48081.0_wave_13
issue_survey_90,Austerity,id_55436.0_wave_14
issue_survey_91,Austerity,id_59621.0_wave_10
issue_survey_92,Austerity,id_58537.0_wave_19
issue_survey_93,Austerity,id_56255.0_wave_13
issue_survey_94,Austerity,id_37907.0_wave_6
issue_survey_95,Austerity,id_60840.0_wave_11
issue_survey_96,Austerity,id_56695.0_wave_11
issue_survey_97,Austerity,id_48114.0_wave_7
issue_survey_98,Austerity,id_40225.0_wave_10
issue_survey_99,Austerity,id_90425.0_wave_21
issue_survey_100,Austerity,id_42878.0_wave_7
issue_survey_101,Austerity,id_82358.0_wave_18
issue_survey_102,Austerity,id_76379.0_wave_18
issue_survey_103,Austerity,id_56859.0_wave_8
issue_survey_104,Austerity,id_53683.0_wave_18
issue_survey_105,Austerity,id_66050.0_wave_11
issue_survey_106,Austerity,id_44921.0_wave_11
issue_survey_107,Austerity,id_41827.0_wave_5
issue_survey_108,Austerity,id_41906.0_wave_5
issue_survey_109,Austerity,id_87261.0_wave_16
issue_survey_110,Austerity,id_34678.0_wave_6
issue_survey_111,Austerity,id_38071.0_wave_12
issue_survey_112,Austerity,id_65316.0_wave_11
issue_survey_113,Austerity,id_85743.0_wave_16
issue_survey_114,Austerity,id_38335.0_wave_5
issue_survey_115,Austerity,id_37879.0_wave_13
issue_survey_116,Austerity,id_64437.0_wave_12
issue_survey_117,Austerity,id_66501.0_wave_12
issue_survey_118,Austerity,id_38261.0_wave_7
issue_survey_119,Austerity,id_33455.0_wave_4
issue_survey_120,Austerity,id_54553.0_wave_13
issue_survey_121,Austerity,id_89444.0_wave_16
issue_survey_122,Austerity,id_57195.0_wave_13
issue_survey_123,Austerity,id_42466.0_wave_6
issue_survey_124,Austerity,id_85288.0_wave_18
issue_survey_125,Austerity,id_83295.0_wave_16
issue_survey_126,Austerity,id_37671.0_wave_5
issue_survey_127,Austerity,id_40176.0_wave_6
issue_survey_128,Austerity,id_38218.0_wave_5
issue_survey_129,Austerity,id_67669.0_wave_18
issue_survey_130,Austerity,id_55853.0_wave_18
issue_survey_131,Austerity,id_48081.0_wave_11
issue_survey_132,Austerity,id_31032.0_wave_16
issue_survey_133,Austerity,id_36388.0_wave_4
issue_survey_134,Austerity,id_36933.0_wave_5
issue_survey_135,Austerity,id_55300.0_wave_25
issue_survey_136,Austerity,id_48055.0_wave_7
issue_survey_137,Austerity,id_36775.0_wave_3
issue_survey_138,Austerity,id_62308.0_wave_10
issue_survey_139,Austerity,id_36217.0_wave_13
issue_survey_140,Austerity,id_92943.0_wave_18
issue_survey_141,Austerity,id_59462.0_wave_21
issue_survey_142,Austerity,id_42223.0_wave_7
issue_survey_143,Austerity,id_79686.0_wave_17
issue_survey_144,Austerity,id_60600.0_wave_10
issue_survey_145,Austerity,id_61927.0_wave_13
issue_survey_146,Austerity,id_66002.0_wave_14
issue_survey_147,Austerity,id_52388.0_wave_25
issue_survey_148,Austerity,id_52883.0_wave_10
issue_survey_149,Austerity,id_56054.0_wave_8
issue_survey_150,Austerity,id_32817.0_wave_11
issue_survey_151,Austerity,id_40476.0_wave_6
issue_survey_152,Austerity,id_42970.0_wave_22
issue_survey_153,Austerity,id_42837.0_wave_6
issue_survey_154,Austerity,id_43043.0_wave_14
issue_survey_155,Austerity,id_54077.0_wave_16
issue_survey_156,Austerity,id_32833.0_wave_2
issue_survey_157,Austerity,id_22098.0_wave_14
issue_survey_158,Austerity,id_22025.0_wave_4
issue_survey_159,Austerity,id_14787.0_wave_6
issue_survey_160,Austerity,id_27299.0_wave_4
issue_survey_161,Austerity,id_11754.0_wave_6
issue_survey_162,Austerity,id_21521.0_wave_6
issue_survey_163,Austerity,id_29485.0_wave_7
issue_survey_164,Austerity,id_27644.0_wave_1
issue_survey_165,Austerity,id_23463.0_wave_6
issue_survey_166,Austerity,id_9514.0_wave_8
issue_survey_167,Austerity,id_29908.0_wave_3
issue_survey_168,Austerity,id_29538.0_wave_5
issue_survey_169,Austerity,id_2307.0_wave_1
issue_survey_170,Austerity,id_2400.0_wave_4
issue_survey_171,Austerity,id_9487.0_wave_1
issue_survey_172,Austerity,id_26279.0_wave_4
issue_survey_173,Austerity,id_22098.0_wave_11
issue_survey_174,Austerity,id_29107.0_wave_16
issue_survey_175,Austerity,id_10838.0_wave_6
issue_survey_176,Austerity,id_20506.0_wave_13
issue_survey_177,Austerity,id_21685.0_wave_5
issue_survey_178,Austerity,id_24296.0_wave_4
issue_survey_179,Austerity,id_16478.0_wave_3
issue_survey_180,Austerity,id_21328.0_wave_7
issue_survey_181,Austerity,id_19663.0_wave_2
issue_survey_182,Austerity,id_22722.0_wave_18
issue_survey_183,Austerity,id_8308.0_wave_12
issue_survey_184,Austerity,id_13622.0_wave_5
issue_survey_185,Austerity,id_12223.0_wave_1
issue_survey_186,Austerity,id_22200.0_wave_5
issue_survey_187,Austerity,id_13010.0_wave_6
issue_survey_188,Austerity,id_5643.0_wave_4
issue_survey_189,Austerity,id_3325.0_wave_1
issue_survey_190,Austerity,id_1715.0_wave_2
issue_survey_191,Austerity,id_4850.0_wave_3
issue_survey_192,Austerity,id_3274.0_wave_8
issue_survey_193,Austerity,id_4835.0_wave_8
issue_survey_194,Austerity,id_7513.0_wave_5
issue_survey_195,Austerity,id_24749.0_wave_4
issue_survey_196,Austerity,id_19886.0_wave_1
issue_survey_197,Austerity,id_8786.0_wave_10
issue_survey_198,Austerity,id_18939.0_wave_10
issue_survey_199,Austerity,id_10755.0_wave_6
issue_survey_200,Austerity,id_4524.0_wave_1
issue_survey_201,Austerity,id_16775.0_wave_2
issue_survey_202,Austerity,id_24405.0_wave_7
issue_survey_203,Austerity,id_16320.0_wave_6
issue_survey_204,Austerity,id_11041.0_wave_3
issue_survey_205,Austerity,id_15409.0_wave_4
issue_survey_206,Austerity,id_9192.0_wave_1
issue_survey_207,Austerity,id_63.0_wave_14
issue_survey_208,Austerity,id_13271.0_wave_5
issue_survey_209,Austerity,id_4289.0_wave_17
issue_survey_210,Austerity,id_21398.0_wave_14
issue_survey_211,Austerity,id_6770.0_wave_3
issue_survey_212,Austerity,id_8901.0_wave_12
issue_survey_213,Austerity,id_22651.0_wave_6
issue_survey_214,Austerity,id_9411.0_wave_4
issue_survey_215,Austerity,id_7872.0_wave_5
issue_survey_216,Austerity,id_3845.0_wave_4
issue_survey_217,Austerity,id_4486.0_wave_6
issue_survey_218,Austerity,id_117.0_wave_18
issue_survey_219,Austerity,id_15611.0_wave_1
issue_survey_220,Austerity,id_8696.0_wave_5
issue_survey_221,Austerity,id_26439.0_wave_5
issue_survey_222,Austerity,id_3869.0_wave_1
issue_survey_223,Austerity,id_21795.0_wave_5
issue_survey_224,Austerity,id_8901.0_wave_5
issue_survey_225,Austerity,id_856.0_wave_11
issue_survey_226,Austerity,id_26767.0_wave_4
issue_survey_227,Austerity,id_3680.0_wave_6
issue_survey_228,Austerity,id_12547.0_wave_13
issue_survey_229,Austerity,id_5933.0_wave_6
issue_survey_230,Austerity,id_7406.0_wave_4
issue_survey_231,Austerity,id_4918.0_wave_13
issue_survey_232,Austerity,id_7511.0_wave_1
issue_survey_233,Austerity,id_10533.0_wave_5
issue_survey_234,Austerity,id_9386.0_wave_16
issue_survey_235,Austerity,id_625.0_wave_1
issue_survey_236,Austerity,id_50893.0_wave_7
issue_survey_237,Austerity,id_37801.0_wave_6
issue_survey_238,Austerity,id_35880.0_wave_6
issue_survey_239,Austerity,id_46670.0_wave_10
issue_survey_240,Austerity,id_34361.0_wave_13
issue_survey_241,Austerity,id_36081.0_wave_5
issue_survey_242,Austerity,id_32426.0_wave_4
issue_survey_243,Austerity,id_40745.0_wave_12
issue_survey_244,Austerity,id_33246.0_wave_4
issue_survey_245,Austerity,id_56129.0_wave_14
issue_survey_246,Austerity,id_49634.0_wave_8
issue_survey_247,Austerity,id_40500.0_wave_17
issue_survey_248,Austerity,id_52205.0_wave_8
issue_survey_249,Austerity,id_92553.0_wave_18
issue_survey_250,Austerity,id_35964.0_wave_4
issue_survey_251,Austerity,id_40191.0_wave_4
issue_survey_252,Austerity,id_113010.0_wave_25
issue_survey_253,Austerity,id_64166.0_wave_11
issue_survey_254,Austerity,id_32839.0_wave_5
issue_survey_255,Austerity,id_33236.0_wave_6
issue_survey_256,Austerity,id_44420.0_wave_14
issue_survey_257,Austerity,id_73386.0_wave_18
issue_survey_258,Austerity,id_37483.0_wave_5
issue_survey_259,Austerity,id_48875.0_wave_13
issue_survey_260,Austerity,id_35573.0_wave_6
issue_survey_261,Austerity,id_46438.0_wave_12
issue_survey_262,Austerity,id_63823.0_wave_19
issue_survey_263,Austerity,id_39943.0_wave_5
issue_survey_264,Austerity,id_41297.0_wave_6
issue_survey_265,Austerity,id_44299.0_wave_8
issue_survey_266,Austerity,id_55308.0_wave_8
issue_survey_267,Austerity,id_32663.0_wave_3
issue_survey_268,Austerity,id_42606.0_wave_5
issue_survey_269,Austerity,id_70065.0_wave_14
issue_survey_270,Austerity,id_38121.0_wave_6
issue_survey_271,Austerity,id_67025.0_wave_11
issue_survey_272,Austerity,id_40103.0_wave_6
issue_survey_273,Austerity,id_38190.0_wave_6
issue_survey_274,Austerity,id_47417.0_wave_7
issue_survey_275,Austerity,id_40959.0_wave_4
issue_survey_276,Austerity,id_66102.0_wave_11
issue_survey_277,Austerity,id_43483.0_wave_9
issue_survey_278,Austerity,id_40657.0_wave_5
issue_survey_279,Austerity,id_30952.0_wave_5
issue_survey_280,Austerity,id_44054.0_wave_7
issue_survey_281,Austerity,id_45796.0_wave_10
issue_survey_282,Austerity,id_33160.0_wave_6
issue_survey_283,Austerity,id_60278.0_wave_14
issue_survey_284,Austerity,id_31694.0_wave_4
issue_survey_285,Austerity,id_79861.0_wave_15
issue_survey_286,Austerity,id_49395.0_wave_12
issue_survey_287,Austerity,id_32701.0_wave_8
issue_survey_288,Austerity,id_33511.0_wave_11
issue_survey_289,Austerity,id_62370.0_wave_11
issue_survey_290,Austerity,id_39317.0_wave_6
issue_survey_291,Austerity,id_56014.0_wave_17
issue_survey_292,Austerity,id_76646.0_wave_19
issue_survey_293,Austerity,id_32589.0_wave_5
issue_survey_294,Austerity,id_46665.0_wave_8
issue_survey_295,Austerity,id_44310.0_wave_7
issue_survey_296,Austerity,id_38148.0_wave_6
issue_survey_297,Austerity,id_69420.0_wave_12
issue_survey_298,Austerity,id_31009.0_wave_6
issue_survey_299,Austerity,id_22202.0_wave_4
issue_survey_300,Austerity,id_20378.0_wave_5
issue_survey_301,Austerity,id_12877.0_wave_5
issue_survey_302,Austerity,id_15735.0_wave_8
issue_survey_303,Austerity,id_17532.0_wave_13
issue_survey_304,Austerity,id_28341.0_wave_5
issue_survey_305,Austerity,id_1367.0_wave_5
issue_survey_306,Austerity,id_12877.0_wave_6
issue_survey_307,Austerity,id_8837.0_wave_4
issue_survey_308,Austerity,id_30493.0_wave_5
issue_survey_309,Austerity,id_5383.0_wave_4
issue_survey_310,Austerity,id_28420.0_wave_3
issue_survey_311,Austerity,id_9792.0_wave_12
issue_survey_312,Austerity,id_5551.0_wave_8
issue_survey_313,Austerity,id_4836.0_wave_6
issue_survey_314,Austerity,id_11513.0_wave_7
issue_survey_315,Austerity,id_22759.0_wave_2
issue_survey_316,Austerity,id_28341.0_wave_4
issue_survey_317,Austerity,id_26300.0_wave_1
issue_survey_318,Austerity,id_28598.0_wave_5
issue_survey_319,Austerity,id_15908.0_wave_5
issue_survey_320,Austerity,id_25904.0_wave_4
issue_survey_321,Austerity,id_12904.0_wave_13
issue_survey_322,Austerity,id_15372.0_wave_6
issue_survey_323,Austerity,id_24408.0_wave_7
issue_survey_324,Austerity,id_21282.0_wave_7
issue_survey_325,Austerity,id_12904.0_wave_5
issue_survey_326,Austerity,id_17555.0_wave_6
issue_survey_327,Austerity,id_23986.0_wave_8
issue_survey_328,Austerity,id_2835.0_wave_6
issue_survey_329,Austerity,id_15278.0_wave_6
issue_survey_330,Austerity,id_22477.0_wave_4
issue_survey_331,Austerity,id_12395.0_wave_5
issue_survey_332,COVID-economy,id_28331.0_wave_20
issue_survey_333,COVID-economy,id_3165.0_wave_20
issue_survey_334,COVID-economy,id_8172.0_wave_20
issue_survey_335,COVID-economy,id_24601.0_wave_21
issue_survey_336,COVID-economy,id_15634.0_wave_21
issue_survey_337,COVID-economy,id_23846.0_wave_22
issue_survey_338,COVID-economy,id_19593.0_wave_20
issue_survey_339,COVID-economy,id_26930.0_wave_21
issue_survey_340,COVID-economy,id_3172.0_wave_20
issue_survey_341,COVID-economy,id_5556.0_wave_20
issue_survey_342,COVID-economy,id_6050.0_wave_21
issue_survey_343,COVID-economy,id_104617.0_wave_21
issue_survey_344,COVID-economy,id_68111.0_wave_21
issue_survey_345,COVID-economy,id_93597.0_wave_20
issue_survey_346,COVID-economy,id_102278.0_wave_21
issue_survey_347,COVID-economy,id_87826.0_wave_20
issue_survey_348,COVID-economy,id_70403.0_wave_20
issue_survey_349,COVID-economy,id_102622.0_wave_20
issue_survey_350,COVID-economy,id_91445.0_wave_21
issue_survey_351,COVID-economy,id_89870.0_wave_20
issue_survey_352,COVID-economy,id_65397.0_wave_21
issue_survey_353,COVID-economy,id_87132.0_wave_22
issue_survey_354,COVID-economy,id_102379.0_wave_20
issue_survey_355,COVID-economy,id_92430.0_wave_20
issue_survey_356,COVID-economy,id_72906.0_wave_20
issue_survey_357,COVID-economy,id_62544.0_wave_20
issue_survey_358,COVID-economy,id_102295.0_wave_21
issue_survey_359,COVID-economy,id_57877.0_wave_20
issue_survey_360,COVID-economy,id_98395.0_wave_20
issue_survey_361,COVID-economy,id_72494.0_wave_20
issue_survey_362,COVID-economy,id_92767.0_wave_20
issue_survey_363,COVID-economy,id_104770.0_wave_21
issue_survey_364,COVID-economy,id_43340.0_wave_21
issue_survey_365,COVID-economy,id_31575.0_wave_21
issue_survey_366,COVID-economy,id_59064.0_wave_20
issue_survey_367,COVID-economy,id_57049.0_wave_20
issue_survey_368,COVID-economy,id_102768.0_wave_22
issue_survey_369,COVID-economy,id_57100.0_wave_20
issue_survey_370,COVID-economy,id_51570.0_wave_20
issue_survey_371,COVID-economy,id_78269.0_wave_20
issue_survey_372,COVID-economy,id_89846.0_wave_22
issue_survey_373,COVID-economy,id_105508.0_wave_21
issue_survey_374,COVID-economy,id_99036.0_wave_20
issue_survey_375,COVID-economy,id_43109.0_wave_20
issue_survey_376,COVID-economy,id_95204.0_wave_20
issue_survey_377,COVID-economy,id_89261.0_wave_21
issue_survey_378,COVID-economy,id_52179.0_wave_21
issue_survey_379,COVID-economy,id_65305.0_wave_21
issue_survey_380,COVID-economy,id_84349.0_wave_20
issue_survey_381,COVID-economy,id_106047.0_wave_21
issue_survey_382,COVID-economy,id_102267.0_wave_20
issue_survey_383,COVID-economy,id_76727.0_wave_20
issue_survey_384,COVID-economy,id_71560.0_wave_20
issue_survey_385,COVID-economy,id_101304.0_wave_20
issue_survey_386,COVID-economy,id_96326.0_wave_20
issue_survey_387,COVID-economy,id_99782.0_wave_20
issue_survey_388,COVID-economy,id_96269.0_wave_20
issue_survey_389,COVID-economy,id_94633.0_wave_20
issue_survey_390,COVID-economy,id_77301.0_wave_20
issue_survey_391,COVID-economy,id_72420.0_wave_21
issue_survey_392,COVID-economy,id_90364.0_wave_20
issue_survey_393,COVID-economy,id_11400.0_wave_21
issue_survey_394,COVID-economy,id_4471.0_wave_22
issue_survey_395,COVID-economy,id_11270.0_wave_20
issue_survey_396,COVID-economy,id_21421.0_wave_21
issue_survey_397,COVID-economy,id_22563.0_wave_21
issue_survey_398,COVID-economy,id_2186.0_wave_20
issue_survey_399,COVID-economy,id_7582.0_wave_21
issue_survey_400,COVID-economy,id_6413.0_wave_20
issue_survey_401,COVID-economy,id_7340.0_wave_21
issue_survey_402,COVID-economy,id_13429.0_wave_22
issue_survey_403,COVID-economy,id_9298.0_wave_21
issue_survey_404,COVID-economy,id_1238.0_wave_21
issue_survey_405,COVID-economy,id_10221.0_wave_21
issue_survey_406,COVID-economy,id_60055.0_wave_20
issue_survey_407,COVID-economy,id_84343.0_wave_20
issue_survey_408,COVID-economy,id_100029.0_wave_20
issue_survey_409,COVID-economy,id_88899.0_wave_20
issue_survey_410,COVID-economy,id_51534.0_wave_21
issue_survey_411,COVID-economy,id_60921.0_wave_21
issue_survey_412,COVID-economy,id_100130.0_wave_20
issue_survey_413,COVID-economy,id_97272.0_wave_20
issue_survey_414,COVID-economy,id_94577.0_wave_20
issue_survey_415,COVID-economy,id_102519.0_wave_20
issue_survey_416,COVID-economy,id_84830.0_wave_20
issue_survey_417,COVID-economy,id_90066.0_wave_21
issue_survey_418,COVID-economy,id_88448.0_wave_20
issue_survey_419,COVID-economy,id_72148.0_wave_21
issue_survey_420,COVID-economy,id_95963.0_wave_20
issue_survey_421,COVID-economy,id_102788.0_wave_20
issue_survey_422,COVID-economy,id_88526.0_wave_20
issue_survey_423,COVID-economy,id_78926.0_wave_20
issue_survey_424,COVID-economy,id_100385.0_wave_20
issue_survey_425,COVID-economy,id_77536.0_wave_20
issue_survey_426,COVID-economy,id_54600.0_wave_20
issue_survey_427,COVID-economy,id_99397.0_wave_20
issue_survey_428,COVID-economy,id_88735.0_wave_20
issue_survey_429,COVID-economy,id_75057.0_wave_21
issue_survey_430,COVID-economy,id_53677.0_wave_21
issue_survey_431,COVID-economy,id_95859.0_wave_20
issue_survey_432,COVID-economy,id_101595.0_wave_20
issue_survey_433,COVID-economy,id_99167.0_wave_20
issue_survey_434,COVID-economy,id_72511.0_wave_21
issue_survey_435,COVID-economy,id_70076.0_wave_20
issue_survey_436,COVID-economy,id_67865.0_wave_21
issue_survey_437,COVID-economy,id_46600.0_wave_21
issue_survey_438,COVID-economy,id_48596.0_wave_20
issue_survey_439,COVID-economy,id_95569.0_wave_20
issue_survey_440,COVID-economy,id_63247.0_wave_20
issue_survey_441,COVID-economy,id_76203.0_wave_21
issue_survey_442,COVID-economy,id_100203.0_wave_21
issue_survey_443,COVID-economy,id_40618.0_wave_20
issue_survey_444,COVID-economy,id_98837.0_wave_20
issue_survey_445,COVID-economy,id_82745.0_wave_20
issue_survey_446,COVID-economy,id_86851.0_wave_22
issue_survey_447,COVID-economy,id_3009.0_wave_22
issue_survey_448,COVID-economy,id_18432.0_wave_21
issue_survey_449,COVID-economy,id_15685.0_wave_21
issue_survey_450,COVID-economy,id_6430.0_wave_21
issue_survey_451,Constitutional,id_14185.0_wave_6
issue_survey_452,Constitutional,id_21944.0_wave_6
issue_survey_453,Constitutional,id_3063.0_wave_3
issue_survey_454,Constitutional,id_4989.0_wave_3
issue_survey_455,Constitutional,id_30821.0_wave_6
issue_survey_456,Constitutional,id_66686.0_wave_11
issue_survey_457,Constitutional,id_71855.0_wave_25
issue_survey_458,Constitutional,id_33166.0_wave_6
issue_survey_459,Constitutional,id_31346.0_wave_13
issue_survey_460,Constitutional,id_11493.0_wave_3
issue_survey_461,Constitutional,id_28685.0_wave_3
issue_survey_462,Constitutional,id_26763.0_wave_11
issue_survey_463,Constitutional,id_29775.0_wave_6
issue_survey_464,Constitutional,id_20821.0_wave_6
issue_survey_465,Constitutional,id_2430.0_wave_6
issue_survey_466,Constitutional,id_1115.0_wave_3
issue_survey_467,Constitutional,id_22522.0_wave_3
issue_survey_468,Constitutional,id_5949.0_wave_8
issue_survey_469,Constitutional,id_6728.0_wave_1
issue_survey_470,Constitutional,id_15080.0_wave_3
issue_survey_471,Constitutional,id_1053.0_wave_3
issue_survey_472,Constitutional,id_4918.0_wave_8
issue_survey_473,Constitutional,id_1315.0_wave_3
issue_survey_474,Constitutional,id_5949.0_wave_5
issue_survey_475,Constitutional,id_24232.0_wave_2
issue_survey_476,Constitutional,id_3498.0_wave_6
issue_survey_477,Constitutional,id_25231.0_wave_17
issue_survey_478,Constitutional,id_90384.0_wave_19
issue_survey_479,Constitutional,id_51373.0_wave_8
issue_survey_480,Constitutional,id_109573.0_wave_25
issue_survey_481,Constitutional,id_51373.0_wave_23
issue_survey_482,Constitutional,id_31187.0_wave_9
issue_survey_483,Constitutional,id_31328.0_wave_3
issue_survey_484,Constitutional,id_91357.0_wave_19
issue_survey_485,Constitutional,id_109649.0_wave_25
issue_survey_486,Constitutional,id_46711.0_wave_21
issue_survey_487,Constitutional,id_40855.0_wave_15
issue_survey_488,Constitutional,id_32183.0_wave_3
issue_survey_489,Constitutional,id_71253.0_wave_16
issue_survey_490,Constitutional,id_63884.0_wave_17
issue_survey_491,Constitutional,id_33221.0_wave_4
issue_survey_492,Constitutional,id_32571.0_wave_13
issue_survey_493,Constitutional,id_28413.0_wave_6
issue_survey_494,Constitutional,id_28217.0_wave_5
issue_survey_495,Constitutional,id_23123.0_wave_5
issue_survey_496,Constitutional,id_20923.0_wave_3
issue_survey_497,Constitutional,id_20776.0_wave_4
issue_survey_498,Constitutional,id_21679.0_wave_3
issue_survey_499,Constitutional,id_11538.0_wave_3
issue_survey_500,Constitutional,id_18609.0_wave_15
issue_survey_501,Constitutional,id_30239.0_wave_3
issue_survey_502,Constitutional,id_15985.0_wave_3
issue_survey_503,Constitutional,id_22816.0_wave_4
issue_survey_504,Constitutional,id_12489.0_wave_6
issue_survey_505,Coronavirus,id_22366.0_wave_21
issue_survey_506,Coronavirus,id_11598.0_wave_23
issue_survey_507,Coronavirus,id_23332.0_wave_21
issue_survey_508,Coronavirus,id_15473.0_wave_20
issue_survey_509,Coronavirus,id_27461.0_wave_20
issue_survey_510,Coronavirus,id_17602.0_wave_21
issue_survey_511,Coronavirus,id_20413.0_wave_20
issue_survey_512,Coronavirus,id_26810.0_wave_21
issue_survey_513,Coronavirus,id_1768.0_wave_21
issue_survey_514,Coronavirus,id_2252.0_wave_20
issue_survey_515,Coronavirus,id_19452.0_wave_22
issue_survey_516,Coronavirus,id_24628.0_wave_20
issue_survey_517,Coronavirus,id_16048.0_wave_21
issue_survey_518,Coronavirus,id_6046.0_wave_20
issue_survey_519,Coronavirus,id_16624.0_wave_22
issue_survey_520,Coronavirus,id_23781.0_wave_20
issue_survey_521,Coronavirus,id_13156.0_wave_20
issue_survey_522,Coronavirus,id_16389.0_wave_21
issue_survey_523,Coronavirus,id_12653.0_wave_21
issue_survey_524,Coronavirus,id_10155.0_wave_21
issue_survey_525,Coronavirus,id_9147.0_wave_21
issue_survey_526,Coronavirus,id_25829.0_wave_20
issue_survey_527,Coronavirus,id_23599.0_wave_21
issue_survey_528,Coronavirus,id_6444.0_wave_22
issue_survey_529,Coronavirus,id_13371.0_wave_21
issue_survey_530,Coronavirus,id_6227.0_wave_20
issue_survey_531,Coronavirus,id_7625.0_wave_20
issue_survey_532,Coronavirus,id_9916.0_wave_20
issue_survey_533,Coronavirus,id_8239.0_wave_22
issue_survey_534,Coronavirus,id_9651.0_wave_22
issue_survey_535,Coronavirus,id_4623.0_wave_22
issue_survey_536,Coronavirus,id_5587.0_wave_20
issue_survey_537,Coronavirus,id_23435.0_wave_22
issue_survey_538,Coronavirus,id_1768.0_wave_23
issue_survey_539,Coronavirus,id_5449.0_wave_20
issue_survey_540,Coronavirus,id_13064.0_wave_20
issue_survey_541,Coronavirus,id_3642.0_wave_21
issue_survey_542,Coronavirus,id_22081.0_wave_22
issue_survey_543,Coronavirus,id_19497.0_wave_22
